Non-Penalty Goals,0.23,50
Non-Penalty xG,0.10,4
Shots Total,0.93,3
Assists,0.12,15
xAG,0.12,12
npxG + xAG,0.22,2
Shot-Creating Actions,2.67,8
Passes Attempted,40.48,56
Pass Completion %,82.5,86
Progressive Passes,4.06,57
Progressive Carries,1.28,2
Successful Take-Ons,0.35,1
Touches (Att Pen),4.18,53
Progressive Passes Rec,5.22,8
Tackles,1.04,34
Interceptions,0.23,15
Blocks,0.93,50
Clearances,0.23,21
Aerials won,1.04,85
Goals,0.23,36
Assists,0.12,15
Goals + Assists,0.35,25
Non-Penalty Goals,0.23,50
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.00,96
Red Cards,0.00,56
xG,0.10,3
Non-Penalty xG,0.10,4
xAG,0.12,12
npxG + xAG,0.22,2
Progressive Carries,1.28,2
Progressive Passes,4.06,57
Progressive Passes Rec,5.22,8
Goals,0.23,36
Shots Total,0.93,3
Shots on target,0.58,22
Shots on target %,62.5,99
Goals/Shot,0.25,99
Goals/Shot on target,0.40,80
Average Shot Distance,13.30,98
Shots from free kicks,0.00,21
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
xG,0.10,3
Non-Penalty xG,0.10,4
npxG/Sh,0.11,63
Goals - xG,0.13,86
Non-Penalty Goals - npxG,0.13,84
Passes Completed,33.40,63
Passes Attempted,40.48,56
Pass Completion %,82.5,86
Total Passing Distance,387.02,36
Progressive Passing Distance,82.23,21
Passes Completed (Short),22.04,81
Passes Attempted (Short),24.70,78
Pass Completion % (Short),89.2,84
Passes Completed (Medium),7.31,25
Passes Attempted (Medium),9.63,24
Pass Completion % (Medium),75.9,28
Passes Completed (Long),0.70,2
Passes Attempted (Long),1.04,1
Pass Completion % (Long),66.7,87
Assists,0.12,15
xAG,0.12,12
Expected Assists,0.14,30
Key Passes,1.62,42
Passes into Final Third,2.78,71
Passes into Penalty Area,1.04,21
Crosses into Penalty Area,0.12,18
Progressive Passes,4.06,57
Passes Attempted,40.48,56
Live-ball passes,38.74,60
Dead-ball passes,1.51,41
Passes from Free Kicks,0.23,32
Through Balls,0.00,3
Switches,0.00,3
Crosses,0.35,2
Throw-Ins taken,0.23,21
Corner Kicks,0.12,25
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,16
Straight Corner Kicks,0.00,39
Passes Completed,33.40,63
Passes Offside,0.23,42
Passes Blocked,0.70,96
Shot-Creating Actions,2.67,8
SCA (PassLive),2.67,46
SCA (PassDead),0.00,10
SCA (TO),0.00,1
SCA (Sh),0.00,1
SCA (Fld),0.00,1
SCA (Def),0.00,17
Goal-Creating Actions,0.35,23
GCA (PassLive),0.35,59
GCA (PassDead),0.00,28
GCA (TO),0.00,22
GCA (Sh),0.00,18
GCA (Fld),0.00,22
GCA (Def),0.00,43
Tackles,1.04,34
Tackles Won,0.46,18
Tackles (Def 3rd),0.70,85
Tackles (Mid 3rd),0.23,6
Tackles (Att 3rd),0.12,7
Dribblers Tackled,0.00,1
Dribbles Challenged,0.93,29
% of dribblers tackled,0.0,1
Challenges Lost,0.93,29
Blocks,0.93,50
Shots Blocked,0.12,81
Passes Blocked,0.81,41
Interceptions,0.23,15
Tkl+Int,1.28,18
Clearances,0.23,21
Errors,0.00,59
Touches,47.78,37
Touches (Def Pen),0.93,79
Touches (Def 3rd),5.80,61
Touches (Mid 3rd),23.08,59
Touches (Att 3rd),19.02,8
Touches (Att Pen),4.18,53
Touches (Live-Ball),47.78,37
Take-Ons Attempted,0.81,1
Successful Take-Ons,0.35,1
Successful Take-On %,42.9,42
Times Tackled During Take-On,0.46,1
Tackled During Take-On Percentage,57.1,12
Carries,25.75,11
Total Carrying Distance,107.05,1
Progressive Carrying Distance,53.35,2
Progressive Carries,1.28,2
Carries into Final Third,0.70,1
Carries into Penalty Area,0.46,12
Miscontrols,1.86,78
Dispossessed,1.39,64
Passes Received,36.65,42
Progressive Passes Rec,5.22,8
Yellow Cards,0.00,96
Red Cards,0.00,56
Second Yellow Card,0.00,54
Fouls Committed,0.23,99
Fouls Drawn,0.81,11
Offsides,0.00,99
Crosses,0.35,2
Interceptions,0.23,15
Tackles Won,0.46,18
Penalty Kicks Won,0.00,27
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,3.13,5
Aerials won,1.04,85
Aerials lost,1.04,45
% of Aerials Won,50.0,86
