Non-Penalty Goals,0.00,19
Non-Penalty xG,0.09,90
Shots Total,0.96,95
Assists,0.00,31
xAG,0.01,16
npxG + xAG,0.10,75
Shot-Creating Actions,0.79,61
Passes Attempted,69.87,87
Pass Completion %,85.1,54
Progressive Passes,4.71,84
Progressive Carries,0.74,65
Successful Take-Ons,0.06,15
Touches (Att Pen),1.36,90
Progressive Passes Rec,0.34,69
Tackles,0.91,9
Interceptions,0.91,17
Blocks,1.36,71
Clearances,3.23,33
Aerials won,3.01,90
Goals,0.00,19
Assists,0.00,31
Goals + Assists,0.00,12
Non-Penalty Goals,0.00,19
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.11,84
Red Cards,0.00,63
xG,0.09,90
Non-Penalty xG,0.09,90
xAG,0.01,16
npxG + xAG,0.10,75
Progressive Carries,0.74,65
Progressive Passes,4.71,84
Progressive Passes Rec,0.34,69
Goals,0.00,19
Shots Total,0.96,95
Shots on target,0.06,23
Shots on target %,5.9,10
Goals/Shot,0.00,19
Goals/Shot on target,0.00,19
Average Shot Distance,11.40,65
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.09,90
Non-Penalty xG,0.09,90
npxG/Sh,0.10,60
Goals - xG,-0.09,1
Non-Penalty Goals - npxG,-0.09,1
Passes Completed,59.49,82
Passes Attempted,69.87,87
Pass Completion %,85.1,54
Total Passing Distance,1121.06,80
Progressive Passing Distance,427.66,86
Passes Completed (Short),21.78,83
Passes Attempted (Short),23.88,83
Pass Completion % (Short),91.2,60
Passes Completed (Medium),30.85,81
Passes Attempted (Medium),34.93,86
Pass Completion % (Medium),88.3,26
Passes Completed (Long),6.18,73
Passes Attempted (Long),9.41,66
Pass Completion % (Long),65.7,64
Assists,0.00,31
xAG,0.01,16
Expected Assists,0.02,49
Key Passes,0.17,39
Passes into Final Third,5.27,92
Passes into Penalty Area,0.23,66
Crosses into Penalty Area,0.06,75
Progressive Passes,4.71,84
Passes Attempted,69.87,87
Live-ball passes,66.35,86
Dead-ball passes,3.46,80
Passes from Free Kicks,1.47,46
Through Balls,0.00,23
Switches,0.34,37
Crosses,0.11,48
Throw-Ins taken,1.98,89
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,59.49,82
Passes Offside,0.06,80
Passes Blocked,0.40,46
Shot-Creating Actions,0.79,61
SCA (PassLive),0.74,67
SCA (PassDead),0.06,86
SCA (TO),0.00,38
SCA (Sh),0.00,15
SCA (Fld),0.00,35
SCA (Def),0.00,33
Goal-Creating Actions,0.06,47
GCA (PassLive),0.06,61
GCA (PassDead),0.00,48
GCA (TO),0.00,49
GCA (Sh),0.00,41
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,0.91,9
Tackles Won,0.57,16
Tackles (Def 3rd),0.40,3
Tackles (Mid 3rd),0.45,49
Tackles (Att 3rd),0.06,54
Dribblers Tackled,0.40,8
Dribbles Challenged,0.62,8
% of dribblers tackled,63.6,45
Challenges Lost,0.23,85
Blocks,1.36,71
Shots Blocked,0.85,76
Passes Blocked,0.51,52
Interceptions,0.91,17
Tkl+Int,1.81,10
Clearances,3.23,33
Errors,0.11,8
Touches,78.43,86
Touches (Def Pen),7.49,48
Touches (Def 3rd),35.84,80
Touches (Mid 3rd),37.88,81
Touches (Att 3rd),5.10,84
Touches (Att Pen),1.36,90
Touches (Live-Ball),78.43,86
Take-Ons Attempted,0.34,58
Successful Take-Ons,0.06,15
Successful Take-On %,16.7,5
Times Tackled During Take-On,0.23,84
Tackled During Take-On Percentage,66.7,7
Carries,48.71,81
Total Carrying Distance,234.95,74
Progressive Carrying Distance,139.17,78
Progressive Carries,0.74,65
Carries into Final Third,0.68,72
Carries into Penalty Area,0.00,23
Miscontrols,0.45,50
Dispossessed,0.17,50
Passes Received,53.59,83
Progressive Passes Rec,0.34,69
Yellow Cards,0.11,84
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,0.51,92
Fouls Drawn,0.28,16
Offsides,0.00,76
Crosses,0.11,48
Interceptions,0.91,17
Tackles Won,0.57,16
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.00,74
Own Goals,0.06,4
Ball Recoveries,6.41,78
Aerials won,3.01,90
Aerials lost,1.25,55
% of Aerials Won,70.7,89
