Non-Penalty Goals,0.07,51
Non-Penalty xG,0.17,92
Shots Total,2.16,96
Assists,0.00,11
xAG,0.07,46
npxG + xAG,0.25,78
Shot-Creating Actions,2.93,72
Passes Attempted,49.97,52
Pass Completion %,86.2,78
Progressive Passes,4.99,49
Progressive Carries,1.40,59
Successful Take-Ons,0.96,73
Touches (Att Pen),1.40,59
Progressive Passes Rec,2.13,57
Tackles,2.60,77
Interceptions,0.80,24
Blocks,0.93,23
Clearances,0.47,8
Aerials won,0.73,44
Non-Penalty Goals,0.07,7
Non-Penalty xG,0.17,26
Shots Total,2.16,44
Assists,0.00,1
xAG,0.07,4
npxG + xAG,0.25,5
Shot-Creating Actions,2.93,15
Passes Attempted,49.97,83
Pass Completion %,86.2,99
Progressive Passes,4.99,75
Progressive Carries,1.40,6
Successful Take-Ons,0.96,18
Touches (Att Pen),1.40,1
Progressive Passes Rec,2.13,1
Tackles,2.60,99
Interceptions,0.80,83
Blocks,0.93,51
Clearances,0.47,61
Aerials won,0.73,75
Goals,0.20,87
Assists,0.00,11
Goals + Assists,0.20,63
Non-Penalty Goals,0.07,51
Penalty Kicks Made,0.13,99
Penalty Kicks Attempted,0.17,98
Yellow Cards,0.27,34
Red Cards,0.00,58
xG,0.31,99
Non-Penalty xG,0.17,92
xAG,0.07,46
npxG + xAG,0.25,78
Progressive Carries,1.40,59
Progressive Passes,4.99,49
Progressive Passes Rec,2.13,57
Goals,0.20,87
Shots Total,2.16,96
Shots on target,0.60,91
Shots on target %,27.7,49
Goals/Shot,0.03,29
Goals/Shot on target,0.11,28
Average Shot Distance,23.20,32
Shots from free kicks,0.30,97
Penalty Kicks Made,0.13,99
Penalty Kicks Attempted,0.17,98
xG,0.31,99
Non-Penalty xG,0.17,92
npxG/Sh,0.08,63
Goals - xG,-0.11,1
Non-Penalty Goals - npxG,-0.11,1
Passes Completed,43.09,59
Passes Attempted,49.97,52
Pass Completion %,86.2,78
Total Passing Distance,712.88,55
Progressive Passing Distance,183.79,42
Passes Completed (Short),20.93,63
