Non-Penalty Goals,0.00,13
Non-Penalty xG,0.08,58
Shots Total,1.31,72
Assists,0.00,11
xAG,0.06,34
npxG + xAG,0.14,47
Shot-Creating Actions,2.02,40
Passes Attempted,63.64,81
Pass Completion %,83.8,61
Progressive Passes,5.94,71
Progressive Carries,1.31,55
Successful Take-Ons,0.71,60
Touches (Att Pen),0.71,30
Progressive Passes Rec,0.59,9
Tackles,1.42,12
Interceptions,0.71,18
Blocks,1.19,44
Clearances,0.83,32
Aerials won,0.24,3
Goals,0.00,12
Assists,0.00,11
Goals + Assists,0.00,5
Non-Penalty Goals,0.00,13
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.12,83
Red Cards,0.00,58
xG,0.08,55
Non-Penalty xG,0.08,58
xAG,0.06,34
npxG + xAG,0.14,47
Progressive Carries,1.31,55
Progressive Passes,5.94,71
Progressive Passes Rec,0.59,9
Goals,0.00,12
Shots Total,1.31,72
Shots on target,0.24,42
Shots on target %,18.2,16
Goals/Shot,0.00,13
Goals/Shot on target,0.00,13
Average Shot Distance,20.70,55
Shots from free kicks,0.12,84
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.08,55
Non-Penalty xG,0.08,58
npxG/Sh,0.06,38
Goals - xG,-0.08,4
Non-Penalty Goals - npxG,-0.08,3
Passes Completed,53.31,81
Passes Attempted,63.64,81
Pass Completion %,83.8,61
Total Passing Distance,959.13,85
Progressive Passing Distance,281.75,84
Passes Completed (Short),24.22,77
Passes Attempted (Short),26.60,77
Pass Completion % (Short),91.1,76
Passes Completed (Medium),20.66,80
Passes Attempted (Medium),23.39,80
Pass Completion % (Medium),88.3,60
Passes Completed (Long),7.12,94
Passes Attempted (Long),11.28,93
Pass Completion % (Long),63.2,43
Assists,0.00,11
xAG,0.06,34
Expected Assists,0.10,62
Key Passes,0.71,34
Passes into Final Third,4.75,64
Passes into Penalty Area,1.31,87
Crosses into Penalty Area,0.36,91
Progressive Passes,5.94,71
Passes Attempted,63.64,81
Live-ball passes,58.18,79
Dead-ball passes,5.22,88
Passes from Free Kicks,1.31,60
Through Balls,0.00,5
Switches,0.83,83
Crosses,3.68,88
Throw-Ins taken,0.36,72
Corner Kicks,2.37,89
Inswinging Corner Kicks,0.95,88
Outswinging Corner Kicks,1.31,95
Straight Corner Kicks,0.00,46
Passes Completed,53.31,81
Passes Offside,0.24,32
Passes Blocked,0.47,93
Shot-Creating Actions,2.02,40
SCA (PassLive),1.42,28
SCA (PassDead),0.47,81
SCA (TO),0.00,15
SCA (Sh),0.12,62
SCA (Fld),0.00,8
SCA (Def),0.00,14
Goal-Creating Actions,0.12,21
GCA (PassLive),0.12,35
GCA (PassDead),0.00,40
GCA (TO),0.00,41
GCA (Sh),0.00,36
GCA (Fld),0.00,38
GCA (Def),0.00,43
Tackles,1.42,12
Tackles Won,0.47,1
Tackles (Def 3rd),0.59,21
Tackles (Mid 3rd),0.71,21
Tackles (Att 3rd),0.12,13
Dribblers Tackled,0.36,1
Dribbles Challenged,2.26,76
% of dribblers tackled,15.8,1
Challenges Lost,1.90,4
Blocks,1.19,44
Shots Blocked,0.36,74
Passes Blocked,0.83,38
Interceptions,0.71,18
Tkl+Int,2.14,10
Clearances,0.83,32
Errors,0.00,71
Touches,71.95,78
Touches (Def Pen),1.78,36
Touches (Def 3rd),18.88,90
Touches (Mid 3rd),39.54,71
Touches (Att 3rd),14.60,65
Touches (Att Pen),0.71,30
Touches (Live-Ball),71.95,78
Take-Ons Attempted,1.19,51
Successful Take-Ons,0.71,60
Successful Take-On %,60.0,74
Times Tackled During Take-On,0.47,49
Tackled During Take-On Percentage,40.0,50
Carries,45.83,79
Total Carrying Distance,238.77,81
Progressive Carrying Distance,108.29,77
Progressive Carries,1.31,55
Carries into Final Third,1.42,63
Carries into Penalty Area,0.12,45
Miscontrols,1.31,44
Dispossessed,0.71,59
Passes Received,51.89,82
Progressive Passes Rec,0.59,9
Yellow Cards,0.12,83
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,1.19,66
Fouls Drawn,0.95,36
Offsides,0.00,79
Crosses,3.68,88
Interceptions,0.71,18
Tackles Won,0.47,1
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,6.41,51
Aerials won,0.24,3
Aerials lost,0.95,47
% of Aerials Won,20.0,1
