Non-Penalty Goals,0.17,11
Non-Penalty xG,0.43,68
Shots Total,2.70,57
Assists,0.17,71
xAG,0.15,66
npxG + xAG,0.58,70
Shot-Creating Actions,2.53,56
Passes Attempted,17.60,15
Pass Completion %,79.5,92
Progressive Passes,1.66,45
Progressive Carries,1.31,47
Successful Take-Ons,0.74,47
Touches (Att Pen),5.10,61
Progressive Passes Rec,6.23,54
Tackles,0.78,69
Interceptions,0.30,81
Blocks,1.00,89
Clearances,1.00,78
Aerials won,2.48,68
Goals,0.17,8
Assists,0.17,71
Goals + Assists,0.35,20
Non-Penalty Goals,0.17,11
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.00,17
Yellow Cards,0.00,96
Red Cards,0.00,56
xG,0.43,58
Non-Penalty xG,0.43,68
xAG,0.15,66
npxG + xAG,0.58,70
Progressive Carries,1.31,47
Progressive Passes,1.66,45
Progressive Passes Rec,6.23,54
Goals,0.17,8
Shots Total,2.70,57
Shots on target,1.09,51
Shots on target %,40.3,50
Goals/Shot,0.06,8
Goals/Shot on target,0.16,8
Average Shot Distance,12.80,80
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.00,17
xG,0.43,58
Non-Penalty xG,0.43,68
npxG/Sh,0.16,73
Goals - xG,-0.26,1
Non-Penalty Goals - npxG,-0.26,1
Passes Completed,13.98,38
Passes Attempted,17.60,15
Pass Completion %,79.5,92
Total Passing Distance,162.58,23
Progressive Passing Distance,27.53,15
Passes Completed (Short),9.28,54
Passes Attempted (Short),11.02,36
Pass Completion % (Short),84.2,84
Passes Completed (Medium),3.22,21
Passes Attempted (Medium),3.92,6
Pass Completion % (Medium),82.2,92
Passes Completed (Long),0.17,1
Passes Attempted (Long),0.44,2
Pass Completion % (Long),40.0,10
Assists,0.17,71
xAG,0.15,66
Expected Assists,0.07,46
Key Passes,1.31,75
Passes into Final Third,1.00,48
Passes into Penalty Area,0.52,45
Crosses into Penalty Area,0.00,13
Progressive Passes,1.66,45
Passes Attempted,17.60,15
Live-ball passes,17.21,21
Dead-ball passes,0.26,4
Passes from Free Kicks,0.00,24
Through Balls,0.17,71
Switches,0.00,8
Crosses,0.04,2
Throw-Ins taken,0.04,29
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,45
Straight Corner Kicks,0.00,49
Passes Completed,13.98,38
Passes Offside,0.13,45
Passes Blocked,0.30,96
Shot-Creating Actions,2.53,56
SCA (PassLive),1.87,63
SCA (PassDead),0.00,35
SCA (TO),0.09,29
SCA (Sh),0.26,49
SCA (Fld),0.26,71
SCA (Def),0.04,60
Goal-Creating Actions,0.44,79
GCA (PassLive),0.22,63
GCA (PassDead),0.00,48
GCA (TO),0.04,69
GCA (Sh),0.04,54
GCA (Fld),0.13,98
GCA (Def),0.00,46
Tackles,0.78,69
Tackles Won,0.44,66
Tackles (Def 3rd),0.00,7
Tackles (Mid 3rd),0.39,75
Tackles (Att 3rd),0.39,88
Dribblers Tackled,0.26,71
Dribbles Challenged,0.44,24
% of dribblers tackled,60.0,95
Challenges Lost,0.17,88
Blocks,1.00,89
Shots Blocked,0.13,75
Passes Blocked,0.87,89
Interceptions,0.30,81
Tkl+Int,1.09,77
Clearances,1.00,78
Errors,0.00,55
Touches,29.49,21
Touches (Def Pen),1.09,66
Touches (Def 3rd),1.79,13
Touches (Mid 3rd),9.41,3
Touches (Att 3rd),18.51,71
Touches (Att Pen),5.10,61
Touches (Live-Ball),29.49,21
Take-Ons Attempted,1.44,32
Successful Take-Ons,0.74,47
Successful Take-On %,51.5,83
Times Tackled During Take-On,0.65,29
Tackled During Take-On Percentage,45.5,70
Carries,17.60,29
Total Carrying Distance,79.55,26
Progressive Carrying Distance,33.02,39
Progressive Carries,1.31,47
Carries into Final Third,0.57,17
Carries into Penalty Area,0.39,21
Miscontrols,3.22,29
Dispossessed,1.09,77
Passes Received,22.65,27
Progressive Passes Rec,6.23,54
Yellow Cards,0.00,96
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.22,54
Fouls Drawn,0.70,13
Offsides,0.22,97
Crosses,0.04,2
Interceptions,0.30,81
Tackles Won,0.44,66
Penalty Kicks Won,0.09,88
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,1.61,6
Aerials won,2.48,68
Aerials lost,2.61,48
% of Aerials Won,48.7,72
