Non-Penalty Goals,0.00,21
Non-Penalty xG,0.03,26
Shots Total,0.56,57
Assists,0.08,93
xAG,0.04,80
npxG + xAG,0.07,50
Shot-Creating Actions,1.28,90
Passes Attempted,45.68,36
Pass Completion %,81.1,39
Progressive Passes,3.68,77
Progressive Carries,0.72,66
Successful Take-Ons,0.48,92
Touches (Att Pen),0.96,57
Progressive Passes Rec,0.40,77
Tackles,2.48,99
Interceptions,1.20,35
Blocks,1.84,98
Clearances,2.96,12
Aerials won,2.64,65
Goals,0.00,21
Assists,0.08,93
Goals + Assists,0.08,66
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.40,5
Red Cards,0.00,64
xG,0.03,26
Non-Penalty xG,0.03,26
xAG,0.04,80
npxG + xAG,0.07,50
Progressive Carries,0.72,66
Progressive Passes,3.68,77
Progressive Passes Rec,0.40,77
Goals,0.00,21
Shots Total,0.56,57
Shots on target,0.00,5
Shots on target %,0.0,5
Goals/Shot,0.00,21
Average Shot Distance,16.80,14
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.03,26
Non-Penalty xG,0.03,26
npxG/Sh,0.05,8
Goals - xG,-0.03,34
Non-Penalty Goals - npxG,-0.03,33
Passes Completed,37.04,38
Passes Attempted,45.68,36
Pass Completion %,81.1,39
Total Passing Distance,779.44,43
Progressive Passing Distance,339.60,65
Passes Completed (Short),11.04,37
Passes Attempted (Short),13.44,46
Pass Completion % (Short),82.1,9
Passes Completed (Medium),18.96,31
Passes Attempted (Medium),21.12,27
Pass Completion % (Medium),89.8,50
Passes Completed (Long),6.48,75
Passes Attempted (Long),9.60,62
Pass Completion % (Long),67.5,82
Assists,0.08,93
xAG,0.04,80
Expected Assists,0.02,33
Key Passes,0.40,85
Passes into Final Third,3.20,71
Passes into Penalty Area,0.08,34
Crosses into Penalty Area,0.00,29
Progressive Passes,3.68,77
Passes Attempted,45.68,36
Live-ball passes,44.40,43
Dead-ball passes,1.04,7
Passes from Free Kicks,0.96,20
Through Balls,0.08,89
Switches,0.64,73
Crosses,0.08,42
Throw-Ins taken,0.08,18
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,37.04,38
Passes Offside,0.24,10
Passes Blocked,0.16,88
Shot-Creating Actions,1.28,90
SCA (PassLive),1.04,91
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.08,62
SCA (Fld),0.08,94
SCA (Def),0.08,96
Goal-Creating Actions,0.08,62
GCA (PassLive),0.08,74
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,2.48,99
Tackles Won,1.36,94
Tackles (Def 3rd),1.44,93
Tackles (Mid 3rd),1.04,99
Tackles (Att 3rd),0.00,21
Dribblers Tackled,1.60,99
Dribbles Challenged,2.08,97
% of dribblers tackled,76.9,90
Challenges Lost,0.48,38
Blocks,1.84,98
Shots Blocked,0.72,47
Passes Blocked,1.12,99
Interceptions,1.20,35
Tkl+Int,3.68,90
Clearances,2.96,12
Errors,0.00,75
Touches,56.96,40
Touches (Def Pen),6.00,21
Touches (Def 3rd),26.64,21
Touches (Mid 3rd),28.32,69
Touches (Att 3rd),2.64,60
Touches (Att Pen),0.96,57
Touches (Live-Ball),56.96,40
Take-Ons Attempted,0.72,90
Successful Take-Ons,0.48,92
Successful Take-On %,66.7,58
Times Tackled During Take-On,0.24,88
Tackled During Take-On Percentage,33.3,45
Carries,32.40,55
Total Carrying Distance,235.36,88
Progressive Carrying Distance,141.52,88
Progressive Carries,0.72,66
Carries into Final Third,0.64,81
Carries into Penalty Area,0.08,88
Miscontrols,0.48,40
Dispossessed,0.56,3
Passes Received,29.68,24
Progressive Passes Rec,0.40,77
Yellow Cards,0.40,5
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.80,60
Fouls Drawn,1.12,93
Offsides,0.00,76
Crosses,0.08,42
Interceptions,1.20,35
Tackles Won,1.36,94
Penalty Kicks Won,0.08,99
Penalty Kicks Conceded,0.00,71
Own Goals,0.00,60
Ball Recoveries,7.12,95
Aerials won,2.64,65
Aerials lost,2.16,10
% of Aerials Won,55.0,27
