Non-Penalty Goals,0.44,88
Non-Penalty xG,0.19,35
Shots Total,1.68,22
Assists,0.09,11
xAG,0.24,64
npxG + xAG,0.42,50
Shot-Creating Actions,3.53,37
Passes Attempted,42.44,63
Pass Completion %,79.6,73
Progressive Passes,3.88,51
Progressive Carries,5.56,95
Successful Take-Ons,2.38,90
Touches (Att Pen),6.00,90
Progressive Passes Rec,10.41,85
Tackles,2.03,91
Interceptions,0.62,68
Blocks,1.06,67
Clearances,0.71,82
Aerials won,0.62,67
Goals,0.44,81
Assists,0.09,11
Goals + Assists,0.53,60
Non-Penalty Goals,0.44,88
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.00,96
Red Cards,0.00,56
xG,0.19,27
Non-Penalty xG,0.19,35
xAG,0.24,64
npxG + xAG,0.42,50
Progressive Carries,5.56,95
Progressive Passes,3.88,51
Progressive Passes Rec,10.41,85
Goals,0.44,81
Shots Total,1.68,22
Shots on target,0.97,70
Shots on target %,57.9,99
Goals/Shot,0.26,99
Goals/Shot on target,0.45,90
Average Shot Distance,12.30,99
Shots from free kicks,0.00,21
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
xG,0.19,27
Non-Penalty xG,0.19,35
npxG/Sh,0.11,63
Goals - xG,0.26,99
Non-Penalty Goals - npxG,0.26,98
Passes Completed,33.79,64
Passes Attempted,42.44,63
Pass Completion %,79.6,73
Total Passing Distance,467.12,54
Progressive Passing Distance,106.50,46
Passes Completed (Short),22.06,81
Passes Attempted (Short),24.71,78
Pass Completion % (Short),89.3,86
Passes Completed (Medium),9.62,50
Passes Attempted (Medium),12.26,54
Pass Completion % (Medium),78.4,49
Passes Completed (Long),1.15,22
Passes Attempted (Long),1.94,13
Pass Completion % (Long),59.1,66
Assists,0.09,11
xAG,0.24,64
Expected Assists,0.25,83
Key Passes,1.24,19
Passes into Final Third,1.68,33
Passes into Penalty Area,1.32,45
Crosses into Penalty Area,0.00,1
Progressive Passes,3.88,51
Passes Attempted,42.44,63
Live-ball passes,40.85,67
Dead-ball passes,1.15,31
Passes from Free Kicks,0.00,6
Through Balls,0.09,17
Switches,0.18,37
Crosses,1.85,30
Throw-Ins taken,0.97,90
Corner Kicks,0.18,29
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,16
Straight Corner Kicks,0.00,39
Passes Completed,33.79,64
Passes Offside,0.44,5
Passes Blocked,1.24,37
Shot-Creating Actions,3.53,37
SCA (PassLive),2.74,49
SCA (PassDead),0.00,10
SCA (TO),0.44,79
SCA (Sh),0.18,27
SCA (Fld),0.18,47
SCA (Def),0.00,17
Goal-Creating Actions,0.53,61
GCA (PassLive),0.35,59
GCA (PassDead),0.00,28
GCA (TO),0.09,83
GCA (Sh),0.09,90
GCA (Fld),0.00,22
GCA (Def),0.00,43
Tackles,2.03,91
Tackles Won,1.32,93
Tackles (Def 3rd),0.79,93
Tackles (Mid 3rd),0.79,82
Tackles (Att 3rd),0.44,84
Dribblers Tackled,0.88,92
Dribbles Challenged,1.50,64
% of dribblers tackled,58.8,97
Challenges Lost,0.62,65
Blocks,1.06,67
Shots Blocked,0.00,11
Passes Blocked,1.06,77
Interceptions,0.62,68
Tkl+Int,2.65,87
Clearances,0.71,82
Errors,0.00,59
Touches,55.32,65
Touches (Def Pen),0.97,81
Touches (Def 3rd),7.15,85
Touches (Mid 3rd),20.21,48
Touches (Att 3rd),28.68,75
Touches (Att Pen),6.00,90
Touches (Live-Ball),55.32,65
Take-Ons Attempted,4.59,80
Successful Take-Ons,2.38,90
Successful Take-On %,51.9,83
Times Tackled During Take-On,1.59,52
Tackled During Take-On Percentage,34.6,93
Carries,36.62,68
Total Carrying Distance,275.47,89
Progressive Carrying Distance,159.18,93
Progressive Carries,5.56,95
Carries into Final Third,3.09,92
Carries into Penalty Area,2.74,95
Miscontrols,2.56,48
Dispossessed,1.24,70
Passes Received,41.74,64
Progressive Passes Rec,10.41,85
Yellow Cards,0.00,96
Red Cards,0.00,56
Second Yellow Card,0.00,54
Fouls Committed,0.71,75
Fouls Drawn,0.97,19
Offsides,0.35,33
Crosses,1.85,30
Interceptions,0.62,68
Tackles Won,1.32,93
Penalty Kicks Won,0.00,27
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,4.59,52
Aerials won,0.62,67
Aerials lost,0.44,89
% of Aerials Won,58.3,96
