Non-Penalty Goals,0.44,88
Non-Penalty xG,0.28,70
Shots Total,2.29,53
Assists,0.15,29
xAG,0.18,41
npxG + xAG,0.47,55
Shot-Creating Actions,3.73,43
Passes Attempted,38.89,51
Pass Completion %,72.6,26
Progressive Passes,4.76,69
Progressive Carries,3.47,63
Successful Take-Ons,1.37,46
Touches (Att Pen),5.91,86
Progressive Passes Rec,8.53,60
Tackles,0.96,26
Interceptions,0.52,49
Blocks,1.22,82
Clearances,0.26,25
Aerials won,0.30,30
Non-Penalty Goals,0.44,99
Non-Penalty xG,0.28,99
Shots Total,2.29,99
Assists,0.15,78
xAG,0.18,89
npxG + xAG,0.47,99
Shot-Creating Actions,3.73,95
Passes Attempted,38.89,5
Pass Completion %,72.6,20
Progressive Passes,4.76,74
Progressive Carries,3.47,91
Successful Take-Ons,1.37,92
Touches (Att Pen),5.91,99
Progressive Passes Rec,8.53,95
Tackles,0.96,2
Interceptions,0.52,3
Blocks,1.22,64
Clearances,0.26,1
Aerials won,0.30,7
Goals,0.44,81
Assists,0.15,29
Goals + Assists,0.59,67
Non-Penalty Goals,0.44,88
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.07,76
Red Cards,0.00,56
xG,0.28,57
Non-Penalty xG,0.28,70
xAG,0.18,41
npxG + xAG,0.47,55
Progressive Carries,3.47,63
Progressive Passes,4.76,69
Progressive Passes Rec,8.53,60
Goals,0.44,81
Shots Total,2.29,53
Shots on target,0.96,68
Shots on target %,41.9,75
Goals/Shot,0.19,90
Goals/Shot on target,0.46,91
Average Shot Distance,15.50,84
Shots from free kicks,0.00,21
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
xG,0.28,57
Non-Penalty xG,0.28,70
npxG/Sh,0.12,72
Goals - xG,0.16,92
Non-Penalty Goals - npxG,0.16,92
Passes Completed,28.22,42
Passes Attempted,38.89,51
Pass Completion %,72.6,26
Total Passing Distance,448.23,49
Progressive Passing Distance,127.19,58
Passes Completed (Short),14.96,39
Passes Attempted (Short),17.95,40
Pass Completion % (Short),83.3,25
Passes Completed (Medium),9.57,49
Passes Attempted (Medium),12.93,62
Pass Completion % (Medium),74.0,24
Passes Completed (Long),2.47,59
Passes Attempted (Long),4.17,53
Pass Completion % (Long),59.3,67
Assists,0.15,29
xAG,0.18,41
Expected Assists,0.19,56
Key Passes,1.62,42
Passes into Final Third,2.33,59
Passes into Penalty Area,1.85,78
Crosses into Penalty Area,0.37,76
Progressive Passes,4.76,69
Passes Attempted,38.89,51
Live-ball passes,37.00,57
Dead-ball passes,1.66,42
Passes from Free Kicks,0.15,26
Through Balls,0.44,88
Switches,0.70,87
Crosses,2.29,42
Throw-Ins taken,0.92,87
Corner Kicks,0.26,35
Inswinging Corner Kicks,0.15,41
Outswinging Corner Kicks,0.00,16
Straight Corner Kicks,0.00,39
Passes Completed,28.22,42
Passes Offside,0.22,42
Passes Blocked,1.29,30
Shot-Creating Actions,3.73,43
SCA (PassLive),2.84,56
SCA (PassDead),0.04,25
SCA (TO),0.52,88
SCA (Sh),0.30,65
SCA (Fld),0.04,7
SCA (Def),0.00,17
Goal-Creating Actions,0.59,72
GCA (PassLive),0.37,63
GCA (PassDead),0.00,28
GCA (TO),0.18,97
GCA (Sh),0.00,18
GCA (Fld),0.04,55
GCA (Def),0.00,43
Tackles,0.96,26
Tackles Won,0.55,29
Tackles (Def 3rd),0.44,55
Tackles (Mid 3rd),0.11,1
Tackles (Att 3rd),0.41,81
Dribblers Tackled,0.26,16
Dribbles Challenged,0.89,25
% of dribblers tackled,29.2,12
Challenges Lost,0.63,64
Blocks,1.22,82
Shots Blocked,0.15,90
Passes Blocked,1.07,77
Interceptions,0.52,49
Tkl+Int,1.48,33
Clearances,0.26,25
Errors,0.00,59
Touches,50.34,44
Touches (Def Pen),0.59,50
Touches (Def 3rd),4.51,32
Touches (Mid 3rd),18.32,38
Touches (Att 3rd),28.18,72
Touches (Att Pen),5.91,86
Touches (Live-Ball),50.34,44
Take-Ons Attempted,2.73,33
Successful Take-Ons,1.37,46
Successful Take-On %,50.0,78
Times Tackled During Take-On,1.11,22
Tackled During Take-On Percentage,40.5,77
Carries,32.17,43
Total Carrying Distance,197.03,46
Progressive Carrying Distance,97.16,53
Progressive Carries,3.47,63
Carries into Final Third,2.03,44
