Non-Penalty Goals,0.00,19
Non-Penalty xG,0.04,40
Shots Total,0.19,11
Assists,0.00,31
xAG,0.02,54
npxG + xAG,0.06,39
Shot-Creating Actions,0.97,76
Passes Attempted,82.42,97
Pass Completion %,89.4,85
Progressive Passes,3.89,73
Progressive Carries,1.17,87
Successful Take-Ons,0.00,3
Touches (Att Pen),0.19,2
Progressive Passes Rec,0.19,48
Tackles,0.19,1
Interceptions,1.17,41
Blocks,0.39,1
Clearances,2.72,15
Aerials won,2.92,89
Goals,0.00,19
Assists,0.00,31
Goals + Assists,0.00,12
Non-Penalty Goals,0.00,19
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.00,99
Red Cards,0.00,63
xG,0.04,39
Non-Penalty xG,0.04,40
xAG,0.02,54
npxG + xAG,0.06,39
Progressive Carries,1.17,87
Progressive Passes,3.89,73
Progressive Passes Rec,0.19,48
Goals,0.00,19
Shots Total,0.19,11
Shots on target,0.00,5
Shots on target %,0.0,5
Goals/Shot,0.00,19
Average Shot Distance,8.10,96
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.04,39
Non-Penalty xG,0.04,40
npxG/Sh,0.18,94
Goals - xG,-0.04,18
Non-Penalty Goals - npxG,-0.04,17
Passes Completed,73.67,96
Passes Attempted,82.42,97
Pass Completion %,89.4,85
Total Passing Distance,1315.21,94
Progressive Passing Distance,544.86,98
Passes Completed (Short),31.30,99
Passes Attempted (Short),34.41,99
Pass Completion % (Short),91.0,58
Passes Completed (Medium),34.41,91
Passes Attempted (Medium),37.52,91
Pass Completion % (Medium),91.7,58
Passes Completed (Long),6.80,82
Passes Attempted (Long),8.55,51
Pass Completion % (Long),79.5,98
Assists,0.00,31
xAG,0.02,54
Expected Assists,0.04,80
Key Passes,0.39,86
Passes into Final Third,4.47,83
Passes into Penalty Area,0.58,97
Crosses into Penalty Area,0.00,28
Progressive Passes,3.89,73
Passes Attempted,82.42,97
Live-ball passes,77.75,96
Dead-ball passes,4.28,89
Passes from Free Kicks,1.56,50
Through Balls,0.19,98
Switches,0.19,19
Crosses,0.00,8
Throw-Ins taken,1.94,88
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,73.67,96
Passes Offside,0.39,1
Passes Blocked,0.39,47
Shot-Creating Actions,0.97,76
SCA (PassLive),0.97,91
SCA (PassDead),0.00,31
SCA (TO),0.00,38
SCA (Sh),0.00,15
SCA (Fld),0.00,35
SCA (Def),0.00,33
Goal-Creating Actions,0.19,95
GCA (PassLive),0.19,98
GCA (PassDead),0.00,48
GCA (TO),0.00,49
GCA (Sh),0.00,41
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,0.19,1
Tackles Won,0.19,1
Tackles (Def 3rd),0.00,1
Tackles (Mid 3rd),0.19,7
Tackles (Att 3rd),0.00,15
Dribblers Tackled,0.00,1
Dribbles Challenged,0.19,1
% of dribblers tackled,0.0,1
Challenges Lost,0.19,90
Blocks,0.39,1
Shots Blocked,0.19,1
Passes Blocked,0.19,4
Interceptions,1.17,41
Tkl+Int,1.36,3
Clearances,2.72,15
Errors,0.00,82
Touches,88.06,95
Touches (Def Pen),9.52,82
Touches (Def 3rd),46.65,99
Touches (Mid 3rd),38.88,83
Touches (Att 3rd),2.92,59
Touches (Att Pen),0.19,2
Touches (Live-Ball),88.06,95
Take-Ons Attempted,0.00,2
Successful Take-Ons,0.00,3
Times Tackled During Take-On,0.00,11
Carries,57.73,92
Total Carrying Distance,324.04,94
Progressive Carrying Distance,202.16,97
Progressive Carries,1.17,87
Carries into Final Third,0.39,48
Carries into Penalty Area,0.00,23
Miscontrols,0.19,90
Dispossessed,0.19,39
Passes Received,63.17,94
Progressive Passes Rec,0.19,48
Yellow Cards,0.00,99
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,0.19,99
Fouls Drawn,0.58,57
Offsides,0.00,76
Crosses,0.00,8
Interceptions,1.17,41
Tackles Won,0.19,1
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.00,74
Own Goals,0.00,61
Ball Recoveries,6.61,80
Aerials won,2.92,89
Aerials lost,0.97,79
% of Aerials Won,75.0,98
