Non-Penalty Goals,0.03,40
Non-Penalty xG,0.05,56
Shots Total,0.66,78
Assists,0.00,31
xAG,0.01,26
npxG + xAG,0.06,41
Shot-Creating Actions,0.66,42
Passes Attempted,74.17,93
Pass Completion %,88.2,78
Progressive Passes,3.46,58
Progressive Carries,0.51,48
Successful Take-Ons,0.09,27
Touches (Att Pen),1.31,88
Progressive Passes Rec,0.06,13
Tackles,0.49,1
Interceptions,0.80,10
Blocks,1.03,31
Clearances,3.23,33
Aerials won,2.17,58
Goals,0.03,39
Assists,0.00,31
Goals + Assists,0.03,26
Non-Penalty Goals,0.03,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.11,84
Red Cards,0.00,63
xG,0.05,55
Non-Penalty xG,0.05,56
xAG,0.01,26
npxG + xAG,0.06,41
Progressive Carries,0.51,48
Progressive Passes,3.46,58
Progressive Passes Rec,0.06,13
Goals,0.03,39
Shots Total,0.66,78
Shots on target,0.14,61
Shots on target %,21.7,40
Goals/Shot,0.04,39
Goals/Shot on target,0.20,41
Average Shot Distance,11.10,67
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.05,55
Non-Penalty xG,0.05,56
npxG/Sh,0.08,35
Goals - xG,-0.02,31
Non-Penalty Goals - npxG,-0.02,30
Passes Completed,65.39,92
Passes Attempted,74.17,93
Pass Completion %,88.2,78
Total Passing Distance,1313.76,94
Progressive Passing Distance,473.29,94
Passes Completed (Short),20.75,79
Passes Attempted (Short),22.15,78
Pass Completion % (Short),93.7,88
Passes Completed (Medium),35.58,92
Passes Attempted (Medium),37.81,92
Pass Completion % (Medium),94.1,86
Passes Completed (Long),8.20,93
Passes Attempted (Long),12.55,92
Pass Completion % (Long),65.4,63
Assists,0.00,31
xAG,0.01,26
Expected Assists,0.01,28
Key Passes,0.11,17
Passes into Final Third,4.14,80
Passes into Penalty Area,0.11,35
Crosses into Penalty Area,0.00,28
Progressive Passes,3.46,58
Passes Attempted,74.17,93
Live-ball passes,71.14,92
Dead-ball passes,2.92,69
Passes from Free Kicks,2.43,90
Through Balls,0.06,76
Switches,0.60,64
Crosses,0.06,30
Throw-Ins taken,0.14,31
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,65.39,92
Passes Offside,0.11,53
Passes Blocked,0.34,56
Shot-Creating Actions,0.66,42
SCA (PassLive),0.54,45
SCA (PassDead),0.03,65
SCA (TO),0.00,38
SCA (Sh),0.09,73
SCA (Fld),0.00,35
SCA (Def),0.00,33
Goal-Creating Actions,0.09,66
GCA (PassLive),0.06,62
GCA (PassDead),0.03,96
GCA (TO),0.00,49
GCA (Sh),0.00,41
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,0.49,1
Tackles Won,0.31,2
Tackles (Def 3rd),0.34,1
Tackles (Mid 3rd),0.11,1
Tackles (Att 3rd),0.03,32
Dribblers Tackled,0.20,1
Dribbles Challenged,0.60,7
% of dribblers tackled,33.3,1
Challenges Lost,0.40,53
Blocks,1.03,31
Shots Blocked,0.77,67
Passes Blocked,0.26,12
Interceptions,0.80,10
Tkl+Int,1.29,2
Clearances,3.23,33
Errors,0.06,31
Touches,82.03,90
Touches (Def Pen),10.63,92
Touches (Def 3rd),43.04,98
Touches (Mid 3rd),36.67,78
Touches (Att 3rd),2.54,49
Touches (Att Pen),1.31,88
Touches (Live-Ball),82.03,90
Take-Ons Attempted,0.09,10
Successful Take-Ons,0.09,27
Successful Take-On %,100.0,92
Times Tackled During Take-On,0.00,11
Tackled During Take-On Percentage,0.0,89
Carries,52.85,88
Total Carrying Distance,259.83,81
Progressive Carrying Distance,132.04,73
Progressive Carries,0.51,48
Carries into Final Third,0.37,46
Carries into Penalty Area,0.03,49
Miscontrols,0.40,56
Dispossessed,0.09,77
Passes Received,59.45,92
Progressive Passes Rec,0.06,13
Yellow Cards,0.11,84
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,0.37,98
Fouls Drawn,0.49,41
Offsides,0.03,47
Crosses,0.06,30
Interceptions,0.80,10
Tackles Won,0.31,2
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.09,7
Own Goals,0.03,19
Ball Recoveries,6.57,80
Aerials won,2.17,58
Aerials lost,1.46,36
% of Aerials Won,59.8,41
