Non-Penalty Goals,0.07,56
Non-Penalty xG,0.07,46
Shots Total,0.91,42
Assists,0.07,54
xAG,0.07,40
npxG + xAG,0.13,39
Shot-Creating Actions,2.18,49
Passes Attempted,54.78,66
Pass Completion %,87.1,83
Progressive Passes,5.45,59
Progressive Carries,0.94,32
Successful Take-Ons,0.69,58
Touches (Att Pen),1.09,48
Progressive Passes Rec,1.45,39
Tackles,2.72,82
Interceptions,1.49,81
Blocks,1.38,67
Clearances,0.94,42
Aerials won,1.20,68
Goals,0.07,52
Assists,0.07,54
Goals + Assists,0.15,50
Non-Penalty Goals,0.07,56
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.29,26
Red Cards,0.00,58
xG,0.07,43
Non-Penalty xG,0.07,46
xAG,0.07,40
npxG + xAG,0.13,39
Progressive Carries,0.94,32
Progressive Passes,5.45,59
Progressive Passes Rec,1.45,39
Goals,0.07,52
Shots Total,0.91,42
Shots on target,0.33,56
Shots on target %,36.0,75
Goals/Shot,0.08,59
Goals/Shot on target,0.22,48
Average Shot Distance,21.50,47
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.07,43
Non-Penalty xG,0.07,46
npxG/Sh,0.07,50
Goals - xG,0.01,61
Non-Penalty Goals - npxG,0.01,61
Passes Completed,47.74,71
Passes Attempted,54.78,66
Pass Completion %,87.1,83
Total Passing Distance,733.76,58
Progressive Passing Distance,195.03,49
Passes Completed (Short),26.07,84
Passes Attempted (Short),28.68,85
Pass Completion % (Short),90.9,75
Passes Completed (Medium),16.70,58
Passes Attempted (Medium),18.84,55
Pass Completion % (Medium),88.6,63
Passes Completed (Long),3.38,46
Passes Attempted (Long),4.14,24
Pass Completion % (Long),81.6,97
Assists,0.07,54
xAG,0.07,40
Expected Assists,0.07,42
Key Passes,1.02,59
Passes into Final Third,4.03,50
Passes into Penalty Area,1.02,74
Crosses into Penalty Area,0.15,66
Progressive Passes,5.45,59
Passes Attempted,54.78,66
Live-ball passes,54.53,72
Dead-ball passes,0.22,1
Passes from Free Kicks,0.11,3
Through Balls,0.29,85
Switches,0.22,22
Crosses,0.33,25
Throw-Ins taken,0.11,30
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,46
Passes Completed,47.74,71
Passes Offside,0.04,95
Passes Blocked,0.84,53
Shot-Creating Actions,2.18,49
SCA (PassLive),1.96,61
SCA (PassDead),0.00,21
SCA (TO),0.07,62
SCA (Sh),0.11,55
SCA (Fld),0.00,8
SCA (Def),0.04,41
Goal-Creating Actions,0.22,51
GCA (PassLive),0.22,67
GCA (PassDead),0.00,40
GCA (TO),0.00,41
GCA (Sh),0.00,36
GCA (Fld),0.00,38
GCA (Def),0.00,43
Tackles,2.72,82
Tackles Won,1.42,72
Tackles (Def 3rd),0.98,66
Tackles (Mid 3rd),1.34,81
Tackles (Att 3rd),0.40,84
Dribblers Tackled,1.02,66
Dribbles Challenged,1.67,34
% of dribblers tackled,60.9,88
Challenges Lost,0.65,84
Blocks,1.38,67
Shots Blocked,0.25,54
Passes Blocked,1.13,71
Interceptions,1.49,81
Tkl+Int,4.21,82
Clearances,0.94,42
Errors,0.07,9
Touches,64.88,65
Touches (Def Pen),2.76,76
Touches (Def 3rd),14.56,66
Touches (Mid 3rd),36.49,61
Touches (Att 3rd),14.78,66
Touches (Att Pen),1.09,48
Touches (Live-Ball),64.88,65
Take-Ons Attempted,1.20,51
Successful Take-Ons,0.69,58
Successful Take-On %,57.6,70
Times Tackled During Take-On,0.51,53
Tackled During Take-On Percentage,42.4,43
Carries,36.70,57
Total Carrying Distance,153.57,37
Progressive Carrying Distance,70.90,37
Progressive Carries,0.94,32
Carries into Final Third,0.91,27
Carries into Penalty Area,0.18,60
Miscontrols,1.23,50
Dispossessed,0.98,38
Passes Received,45.16,67
Progressive Passes Rec,1.45,39
Yellow Cards,0.29,26
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,1.82,20
Fouls Drawn,1.34,60
Offsides,0.04,53
Crosses,0.33,25
Interceptions,1.49,81
Tackles Won,1.42,72
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,6.93,70
Aerials won,1.20,68
Aerials lost,0.65,76
% of Aerials Won,64.7,93
