Non-Penalty Goals,0.07,4
Non-Penalty xG,0.26,20
Shots Total,2.43,41
Assists,0.00,7
xAG,0.07,14
npxG + xAG,0.32,13
Shot-Creating Actions,1.82,21
Passes Attempted,23.38,57
Pass Completion %,76.1,84
Progressive Passes,1.75,51
Progressive Carries,1.28,46
Successful Take-Ons,0.61,34
Touches (Att Pen),3.84,19
Progressive Passes Rec,5.46,31
Tackles,0.74,62
Interceptions,0.20,56
Blocks,0.54,41
Clearances,0.00,1
Aerials won,1.08,23
Goals,0.07,3
Assists,0.00,7
Goals + Assists,0.07,1
Non-Penalty Goals,0.07,4
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.07,63
Yellow Cards,0.40,1
Red Cards,0.00,56
xG,0.31,28
Non-Penalty xG,0.26,20
xAG,0.07,14
npxG + xAG,0.32,13
Progressive Carries,1.28,46
Progressive Passes,1.75,51
Progressive Passes Rec,5.46,31
Goals,0.07,3
Shots Total,2.43,41
Shots on target,0.67,14
Shots on target %,27.8,10
Goals/Shot,0.03,3
Goals/Shot on target,0.10,1
Average Shot Distance,16.80,14
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.07,63
xG,0.31,28
Non-Penalty xG,0.26,20
npxG/Sh,0.10,15
Goals - xG,-0.24,2
Non-Penalty Goals - npxG,-0.19,4
Passes Completed,17.78,68
Passes Attempted,23.38,57
Pass Completion %,76.1,84
Total Passing Distance,226.35,60
Progressive Passing Distance,27.82,16
Passes Completed (Short),11.25,77
Passes Attempted (Short),13.07,65
Pass Completion % (Short),86.1,93
Passes Completed (Medium),4.85,65
Passes Attempted (Medium),6.13,54
Pass Completion % (Medium),79.1,80
Passes Completed (Long),0.40,19
Passes Attempted (Long),0.74,19
Pass Completion % (Long),54.5,33
Assists,0.00,7
xAG,0.07,14
Expected Assists,0.04,4
Key Passes,0.67,10
Passes into Final Third,0.81,28
Passes into Penalty Area,0.74,72
Crosses into Penalty Area,0.07,58
Progressive Passes,1.75,51
Passes Attempted,23.38,57
Live-ball passes,20.82,52
Dead-ball passes,2.49,94
Passes from Free Kicks,0.13,87
Through Balls,0.13,65
Switches,0.07,36
Crosses,0.20,14
Throw-Ins taken,0.40,98
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,45
Straight Corner Kicks,0.00,49
Passes Completed,17.78,68
Passes Offside,0.07,67
Passes Blocked,1.15,14
Shot-Creating Actions,1.82,21
SCA (PassLive),0.94,6
SCA (PassDead),0.00,35
SCA (TO),0.20,57
SCA (Sh),0.40,84
SCA (Fld),0.27,73
SCA (Def),0.00,23
Goal-Creating Actions,0.00,1
GCA (PassLive),0.00,3
GCA (PassDead),0.00,48
GCA (TO),0.00,27
GCA (Sh),0.00,18
GCA (Fld),0.00,26
GCA (Def),0.00,46
Tackles,0.74,62
Tackles Won,0.40,58
Tackles (Def 3rd),0.13,50
Tackles (Mid 3rd),0.13,15
Tackles (Att 3rd),0.47,95
Dribblers Tackled,0.13,32
Dribbles Challenged,0.27,9
% of dribblers tackled,50.0,83
Challenges Lost,0.13,92
Blocks,0.54,41
Shots Blocked,0.00,8
Passes Blocked,0.54,57
Interceptions,0.20,56
Tkl+Int,0.94,65
Clearances,0.00,1
Errors,0.00,55
Touches,32.54,42
Touches (Def Pen),0.13,3
Touches (Def 3rd),1.68,10
Touches (Mid 3rd),13.81,37
Touches (Att 3rd),17.31,65
Touches (Att Pen),3.84,19
Touches (Live-Ball),32.47,42
Take-Ons Attempted,1.41,31
Successful Take-Ons,0.61,34
Successful Take-On %,42.9,52
Times Tackled During Take-On,0.81,43
Tackled During Take-On Percentage,57.1,22
Carries,19.94,50
Total Carrying Distance,86.83,38
Progressive Carrying Distance,35.97,45
Progressive Carries,1.28,46
Carries into Final Third,1.28,76
Carries into Penalty Area,0.54,38
Miscontrols,2.36,68
Dispossessed,1.48,45
Passes Received,24.52,45
Progressive Passes Rec,5.46,31
Yellow Cards,0.40,1
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.35,44
Fouls Drawn,1.68,70
Offsides,0.20,98
Crosses,0.20,14
Interceptions,0.20,56
Tackles Won,0.40,58
Penalty Kicks Won,0.00,26
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,2.63,56
Aerials won,1.08,23
Aerials lost,2.63,48
% of Aerials Won,29.1,11
