Non-Penalty Goals,0.26,96
Non-Penalty xG,0.14,83
Shots Total,0.94,45
Assists,0.16,83
xAG,0.26,98
npxG + xAG,0.40,96
Shot-Creating Actions,3.92,92
Passes Attempted,60.13,76
Pass Completion %,76.0,18
Progressive Passes,7.03,86
Progressive Carries,1.43,60
Successful Take-Ons,0.36,20
Touches (Att Pen),2.82,94
Progressive Passes Rec,5.64,97
Tackles,1.52,17
Interceptions,0.55,8
Blocks,0.97,27
Clearances,0.55,14
Aerials won,0.32,9
Non-Penalty Goals,0.26,58
Non-Penalty xG,0.14,14
Shots Total,0.94,4
Assists,0.16,33
xAG,0.26,78
npxG + xAG,0.40,45
Shot-Creating Actions,3.92,53
Passes Attempted,60.13,95
Pass Completion %,76.0,46
Progressive Passes,7.03,96
Progressive Carries,1.43,6
Successful Take-Ons,0.36,1
Touches (Att Pen),2.82,19
Progressive Passes Rec,5.64,17
Tackles,1.52,71
Interceptions,0.55,58
Blocks,0.97,54
Clearances,0.55,72
Aerials won,0.32,36
Non-Penalty Goals,0.26,99
Non-Penalty xG,0.14,96
Shots Total,0.94,74
Assists,0.16,80
xAG,0.26,96
npxG + xAG,0.40,98
Shot-Creating Actions,3.92,97
Passes Attempted,60.13,76
Pass Completion %,76.0,43
Progressive Passes,7.03,97
Progressive Carries,1.43,17
Successful Take-Ons,0.36,21
Touches (Att Pen),2.82,92
Progressive Passes Rec,5.64,72
Tackles,1.52,22
Interceptions,0.55,5
Blocks,0.97,31
Clearances,0.55,1
Aerials won,0.32,8
Goals,0.26,93
Assists,0.16,83
Goals + Assists,0.42,92
Non-Penalty Goals,0.26,96
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.10,88
Red Cards,0.00,58
xG,0.14,80
Non-Penalty xG,0.14,83
xAG,0.26,98
npxG + xAG,0.40,96
Progressive Carries,1.43,60
Progressive Passes,7.03,86
Progressive Passes Rec,5.64,97
Goals,0.26,93
Shots Total,0.94,45
Shots on target,0.45,76
Shots on target %,48.3,97
Goals/Shot,0.28,99
Goals/Shot on target,0.57,93
Average Shot Distance,15.60,92
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.14,80
Non-Penalty xG,0.14,83
npxG/Sh,0.14,97
Goals - xG,0.12,97
Non-Penalty Goals - npxG,0.12,97
Passes Completed,45.71,66
Passes Attempted,60.13,76
Pass Completion %,76.0,18
Total Passing Distance,786.22,67
Progressive Passing Distance,240.87,69
Passes Completed (Short),21.93,68
Passes Attempted (Short),24.62,69
Pass Completion % (Short),89.1,58
Passes Completed (Medium),17.62,62
Passes Attempted (Medium),21.32,68
