Non-Penalty Goals,0.00,21
Non-Penalty xG,0.02,34
Shots Total,0.48,36
Assists,0.16,80
xAG,0.14,80
npxG + xAG,0.17,61
Shot-Creating Actions,2.26,59
Passes Attempted,60.93,79
Pass Completion %,78.8,59
Progressive Passes,4.48,72
Progressive Carries,2.90,82
Successful Take-Ons,0.56,46
Touches (Att Pen),1.61,64
Progressive Passes Rec,6.37,81
Tackles,2.30,69
Interceptions,1.29,74
Blocks,0.89,20
Clearances,2.18,61
Aerials won,1.33,77
Goals,0.00,21
Assists,0.16,80
Goals + Assists,0.16,61
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.20,43
Red Cards,0.00,60
xG,0.02,33
Non-Penalty xG,0.02,34
xAG,0.14,80
npxG + xAG,0.17,61
Progressive Carries,2.90,82
Progressive Passes,4.48,72
Progressive Passes Rec,6.37,81
Goals,0.00,21
Shots Total,0.48,36
Shots on target,0.08,24
Shots on target %,16.7,20
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,20.90,38
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.02,33
Non-Penalty xG,0.02,34
npxG/Sh,0.05,31
Goals - xG,-0.02,25
Non-Penalty Goals - npxG,-0.02,24
Passes Completed,48.02,75
Passes Attempted,60.93,79
Pass Completion %,78.8,59
Total Passing Distance,708.75,62
Progressive Passing Distance,255.89,57
Passes Completed (Short),27.66,83
Passes Attempted (Short),30.69,83
Pass Completion % (Short),90.1,69
Passes Completed (Medium),16.21,56
Passes Attempted (Medium),20.52,59
Pass Completion % (Medium),79.0,43
Passes Completed (Long),2.42,30
Passes Attempted (Long),4.52,22
Pass Completion % (Long),53.6,68
Assists,0.16,80
xAG,0.14,80
Expected Assists,0.13,73
Key Passes,1.17,69
Passes into Final Third,2.78,45
Passes into Penalty Area,1.61,85
Crosses into Penalty Area,0.60,71
Progressive Passes,4.48,72
Passes Attempted,60.93,79
Live-ball passes,52.06,83
Dead-ball passes,8.63,30
Passes from Free Kicks,0.77,38
Through Balls,0.08,72
Switches,0.36,70
Crosses,3.31,65
Throw-Ins taken,7.86,36
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,33
Outswinging Corner Kicks,0.00,32
Straight Corner Kicks,0.00,48
Passes Completed,48.02,75
Passes Offside,0.24,32
Passes Blocked,2.02,4
Shot-Creating Actions,2.26,59
SCA (PassLive),2.10,79
SCA (PassDead),0.04,18
SCA (TO),0.04,37
SCA (Sh),0.00,15
SCA (Fld),0.08,59
SCA (Def),0.00,25
Goal-Creating Actions,0.28,71
GCA (PassLive),0.24,77
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.00,40
GCA (Fld),0.04,85
GCA (Def),0.00,47
Tackles,2.30,69
Tackles Won,1.41,69
Tackles (Def 3rd),1.41,76
Tackles (Mid 3rd),0.52,35
Tackles (Att 3rd),0.36,88
Dribblers Tackled,1.21,70
Dribbles Challenged,1.94,59
% of dribblers tackled,62.5,61
Challenges Lost,0.73,51
Blocks,0.89,20
Shots Blocked,0.32,70
Passes Blocked,0.56,13
Interceptions,1.29,74
Tkl+Int,3.59,77
Clearances,2.18,61
Errors,0.04,29
Touches,71.90,81
Touches (Def Pen),3.71,80
Touches (Def 3rd),20.89,77
Touches (Mid 3rd),30.69,66
Touches (Att 3rd),20.89,78
Touches (Att Pen),1.61,64
Touches (Live-Ball),71.90,81
Take-Ons Attempted,1.57,58
Successful Take-Ons,0.56,46
Successful Take-On %,35.9,20
Times Tackled During Take-On,0.85,65
Tackled During Take-On Percentage,53.8,28
Carries,39.35,71
Total Carrying Distance,190.24,55
Progressive Carrying Distance,103.23,57
Progressive Carries,2.90,82
Carries into Final Third,1.49,46
Carries into Penalty Area,0.44,72
Miscontrols,1.05,61
Dispossessed,1.05,11
Passes Received,43.06,77
Progressive Passes Rec,6.37,81
Yellow Cards,0.20,43
Red Cards,0.00,60
Second Yellow Card,0.00,54
Fouls Committed,1.21,33
Fouls Drawn,0.85,43
Offsides,0.20,17
Crosses,3.31,65
Interceptions,1.29,74
Tackles Won,1.41,69
Penalty Kicks Won,0.04,92
Penalty Kicks Conceded,0.00,66
Own Goals,0.04,6
Ball Recoveries,6.73,86
Aerials won,1.33,77
Aerials lost,0.97,42
% of Aerials Won,57.9,77
