player,url,position
Levi Colwill,players/Brighton/levi_colwill.csv,DF
Pervis Estupiñán,players/Brighton/pervis_estupiñán.csv,DF
Lewis Dunk,players/Brighton/lewis_dunk.csv,DF
Billy Gilmour,players/Brighton/billy_gilmour.csv,MF
Moisés Caicedo,players/Brighton/moisés_caicedo.csv,MF
Pascal Groß,players/Brighton/pascal_groß.csv,MFDF
Leandro Trossard,players/Brighton/leandro_trossard.csv,FWMF
Neal Maupay,players/Brighton/neal_maupay.csv,FWMF
Adam Lallana,players/Brighton/adam_lallana.csv,MFFW
Kaoru Mitoma,players/Brighton/kaoru_mitoma.csv,FWMF
Jan Paul van Hecke,players/Brighton/jan_paul_van_hecke.csv,DF
Adam Webster,players/Brighton/adam_webster.csv,DF
Enock Mwepu,players/Brighton/enock_mwepu.csv,FWMF
Danny Welbeck,players/Brighton/danny_welbeck.csv,FW
Robert Sánchez,players/Brighton/robert_sánchez.csv,GK
Solly March,players/Brighton/solly_march.csv,FWDF
Tariq Lamptey,players/Brighton/tariq_lamptey.csv,DF
Joël Veltman,players/Brighton/joël_veltman.csv,DF
Alexis Mac Allister,players/Brighton/alexis_mac_allister.csv,MF
