PSxG-GA,-0.05,43
Goals Against,1.29,53
Save Percentage,68.0,25
PSxG/SoT,0.28,63
Save% (Penalty Kicks),14.3,50
Clean Sheet Percentage,28.6,50
Touches,37.00,49
Launch %,29.7,29
Goal Kicks,6.03,22
Avg. Length of Goal Kicks,43.1,55
Crosses Stopped %,9.0,92
Def. Actions Outside Pen. Area,0.57,9
Avg. Distance of Def. Actions,12.2,8
Goals Against,1.29,53
Shots on Target Against,3.49,20
Saves,2.26,13
Save Percentage,68.0,25
Wins,0.43,61
Draws,0.23,53
Losses,0.34,44
Clean Sheets,0.29,52
Clean Sheet Percentage,28.6,50
Penalty Kicks Attempted,0.20,77
Penalty Kicks Allowed,0.17,18
Penalty Kicks Saved,0.03,58
Penalty Kicks Missed,0.00,39
Save% (Penalty Kicks),14.3,50
Goals Against,1.29,53
Penalty Kicks Allowed,0.17,18
Free Kick Goals Against,0.03,39
Corner Kick Goals Against,0.14,54
Own Goals Scored Against Goalkeeper,0.09,16
Post-Shot Expected Goals,1.15,60
PSxG/SoT,0.28,63
PSxG-GA,-0.05,43
Passes Completed (Launched),2.97,9
Passes Attempted (Launched),11.71,32
Pass Completion Percentage (Launched),25.4,3
Passes Attempted,28.77,58
Throws Attempted,4.69,57
Launch %,29.7,29
Average Pass Length,31.6,28
Goal Kicks,6.03,22
Launch% (Goal Kicks),52.6,53
Avg. Length of Goal Kicks,43.1,55
Crosses Faced,11.09,18
Crosses Stopped,1.00,81
Crosses Stopped %,9.0,92
Def. Actions Outside Pen. Area,0.57,9
Avg. Distance of Def. Actions,12.2,8
