Non-Penalty Goals,0.00,21
Non-Penalty xG,0.05,58
Shots Total,1.39,92
Assists,0.00,10
xAG,0.09,52
npxG + xAG,0.14,49
Shot-Creating Actions,2.68,77
Passes Attempted,49.67,33
Pass Completion %,78.8,59
Progressive Passes,3.24,25
Progressive Carries,5.46,99
Successful Take-Ons,1.30,90
Touches (Att Pen),2.22,82
Progressive Passes Rec,9.25,98
Tackles,1.85,41
Interceptions,1.02,47
Blocks,0.93,25
Clearances,0.93,5
Aerials won,0.37,12
Goals,0.00,21
Assists,0.00,10
Goals + Assists,0.00,5
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.28,21
Red Cards,0.00,60
xG,0.05,56
Non-Penalty xG,0.05,58
xAG,0.09,52
npxG + xAG,0.14,49
Progressive Carries,5.46,99
Progressive Passes,3.24,25
Progressive Passes Rec,9.25,98
Goals,0.00,21
Shots Total,1.39,92
Shots on target,0.19,52
Shots on target %,13.3,16
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,22.50,26
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.05,56
Non-Penalty xG,0.05,58
npxG/Sh,0.03,8
Goals - xG,-0.05,8
Non-Penalty Goals - npxG,-0.05,8
Passes Completed,39.13,42
Passes Attempted,49.67,33
Pass Completion %,78.8,59
Total Passing Distance,558.96,22
Progressive Passing Distance,127.18,1
Passes Completed (Short),22.57,61
Passes Attempted (Short),24.97,59
Pass Completion % (Short),90.4,72
Passes Completed (Medium),14.43,37
Passes Attempted (Medium),18.04,33
Pass Completion % (Medium),80.0,52
Passes Completed (Long),0.83,1
Passes Attempted (Long),3.51,7
Pass Completion % (Long),23.7,1
Assists,0.00,10
xAG,0.09,52
Expected Assists,0.15,79
Key Passes,0.74,38
Passes into Final Third,2.13,19
Passes into Penalty Area,1.48,82
Crosses into Penalty Area,0.83,90
Progressive Passes,3.24,25
Passes Attempted,49.67,33
Live-ball passes,43.94,53
Dead-ball passes,5.73,3
Passes from Free Kicks,0.56,24
Through Balls,0.28,99
Switches,0.00,2
Crosses,5.46,88
Throw-Ins taken,5.18,5
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,33
Outswinging Corner Kicks,0.00,32
Straight Corner Kicks,0.00,48
Passes Completed,39.13,42
Passes Offside,0.00,98
Passes Blocked,1.39,34
Shot-Creating Actions,2.68,77
SCA (PassLive),2.13,81
SCA (PassDead),0.00,6
SCA (TO),0.19,91
SCA (Sh),0.09,66
SCA (Fld),0.28,97
SCA (Def),0.00,25
Goal-Creating Actions,0.09,21
GCA (PassLive),0.09,34
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.00,40
GCA (Fld),0.00,39
GCA (Def),0.00,47
Tackles,1.85,41
Tackles Won,1.20,53
Tackles (Def 3rd),0.83,23
Tackles (Mid 3rd),0.83,73
Tackles (Att 3rd),0.19,43
Dribblers Tackled,0.74,21
Dribbles Challenged,1.11,11
% of dribblers tackled,66.7,76
Challenges Lost,0.37,88
Blocks,0.93,25
Shots Blocked,0.37,76
Passes Blocked,0.56,12
Interceptions,1.02,47
Tkl+Int,2.87,39
Clearances,0.93,5
Errors,0.00,71
Touches,63.08,45
Touches (Def Pen),2.22,17
Touches (Def 3rd),11.93,4
Touches (Mid 3rd),24.51,24
Touches (Att 3rd),27.66,94
Touches (Att Pen),2.22,82
Touches (Live-Ball),63.08,45
Take-Ons Attempted,3.79,97
Successful Take-Ons,1.30,90
Successful Take-On %,34.1,17
Times Tackled During Take-On,1.85,98
Tackled During Take-On Percentage,48.8,44
Carries,40.05,74
Total Carrying Distance,258.99,88
Progressive Carrying Distance,142.63,92
Progressive Carries,5.46,99
Carries into Final Third,3.33,99
Carries into Penalty Area,0.83,92
Miscontrols,3.05,1
Dispossessed,0.83,22
Passes Received,42.55,74
Progressive Passes Rec,9.25,98
Yellow Cards,0.28,21
Red Cards,0.00,60
Second Yellow Card,0.00,54
Fouls Committed,1.57,8
Fouls Drawn,2.40,99
Offsides,0.28,4
Crosses,5.46,88
Interceptions,1.02,47
Tackles Won,1.20,53
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.00,66
Own Goals,0.00,55
Ball Recoveries,5.92,65
Aerials won,0.37,12
Aerials lost,1.76,4
% of Aerials Won,17.4,1
