Non-Penalty Goals,0.05,68
Non-Penalty xG,0.05,54
Shots Total,0.40,32
Assists,0.05,78
xAG,0.02,51
npxG + xAG,0.06,42
Shot-Creating Actions,0.69,49
Passes Attempted,51.70,61
Pass Completion %,78.9,28
Progressive Passes,2.23,25
Progressive Carries,0.30,30
Successful Take-Ons,0.20,58
Touches (Att Pen),0.74,40
Progressive Passes Rec,0.49,82
Tackles,1.93,86
Interceptions,1.39,53
Blocks,1.63,92
Clearances,2.77,9
Aerials won,2.13,45
Non-Penalty Goals,0.05,68
Non-Penalty xG,0.05,67
Shots Total,0.40,22
Assists,0.05,30
xAG,0.02,1
npxG + xAG,0.06,10
Shot-Creating Actions,0.69,1
Passes Attempted,51.70,48
Pass Completion %,78.9,72
Progressive Passes,2.23,2
Progressive Carries,0.30,1
Successful Take-Ons,0.20,6
Touches (Att Pen),0.74,27
Progressive Passes Rec,0.49,1
Tackles,1.93,49
Interceptions,1.39,67
Blocks,1.63,97
Clearances,2.77,81
Aerials won,2.13,94
Goals,0.05,66
Assists,0.05,78
Goals + Assists,0.10,73
Non-Penalty Goals,0.05,68
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.10,82
Red Cards,0.10,2
xG,0.05,51
Non-Penalty xG,0.05,54
xAG,0.02,51
npxG + xAG,0.06,42
Progressive Carries,0.30,30
Progressive Passes,2.23,25
Progressive Passes Rec,0.49,82
Goals,0.05,66
Shots Total,0.40,32
Shots on target,0.15,61
Shots on target %,37.5,80
Goals/Shot,0.13,76
Goals/Shot on target,0.33,59
Average Shot Distance,10.10,78
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.05,51
Non-Penalty xG,0.05,54
npxG/Sh,0.12,74
Goals - xG,0.00,65
Non-Penalty Goals - npxG,0.00,65
Passes Completed,40.77,54
Passes Attempted,51.70,61
Pass Completion %,78.9,28
Total Passing Distance,787.24,45
Progressive Passing Distance,292.51,40
Passes Completed (Short),13.95,64
Passes Attempted (Short),15.78,65
Pass Completion % (Short),88.4,41
Passes Completed (Medium),21.47,49
Passes Attempted (Medium),25.68,58
Pass Completion % (Medium),83.6,13
Passes Completed (Long),4.85,42
Passes Attempted (Long),8.76,49
Pass Completion % (Long),55.4,37
Assists,0.05,78
xAG,0.02,51
Expected Assists,0.01,17
Key Passes,0.10,15
Passes into Final Third,1.58,14
Passes into Penalty Area,0.05,20
Crosses into Penalty Area,0.05,71
Progressive Passes,2.23,25
Passes Attempted,51.70,61
Live-ball passes,45.67,50
Dead-ball passes,5.94,96
Passes from Free Kicks,1.09,29
Through Balls,0.00,29
Switches,0.25,24
Crosses,0.59,89
Throw-Ins taken,4.80,96
