PSxG-GA,0.17,78
Goals Against,0.79,92
Save Percentage,83.9,97
PSxG/SoT,0.20,2
Save% (Penalty Kicks),12.5,52
Clean Sheet Percentage,45.2,90
Touches,29.89,19
Launch %,38.2,41
Goal Kicks,8.61,71
Avg. Length of Goal Kicks,43.4,50
Crosses Stopped %,4.4,31
Def. Actions Outside Pen. Area,0.54,16
Avg. Distance of Def. Actions,11.7,19
Goals Against,0.79,92
Shots on Target Against,3.91,37
Saves,3.12,60
Save Percentage,83.9,97
Wins,0.42,65
Draws,0.35,81
Losses,0.23,20
Clean Sheets,0.44,89
Clean Sheet Percentage,45.2,90
Penalty Kicks Attempted,0.21,80
Penalty Kicks Allowed,0.16,21
Penalty Kicks Saved,0.02,55
Penalty Kicks Missed,0.02,78
Save% (Penalty Kicks),12.5,52
Goals Against,0.79,92
Penalty Kicks Allowed,0.16,21
Free Kick Goals Against,0.00,76
Corner Kick Goals Against,0.09,77
Own Goals Scored Against Goalkeeper,0.02,54
Post-Shot Expected Goals,0.96,84
PSxG/SoT,0.20,2
PSxG-GA,0.17,78
Passes Completed (Launched),5.12,58
Passes Attempted (Launched),12.40,38
Pass Completion Percentage (Launched),41.3,79
Passes Attempted,19.47,20
Throws Attempted,4.61,56
Launch %,38.2,41
Average Pass Length,35.5,49
Goal Kicks,8.61,71
Launch% (Goal Kicks),57.6,60
Avg. Length of Goal Kicks,43.4,50
Crosses Faced,14.31,44
Crosses Stopped,0.63,30
Crosses Stopped %,4.4,31
Def. Actions Outside Pen. Area,0.54,16
Avg. Distance of Def. Actions,11.7,19
