Non-Penalty Goals,0.08,66
Non-Penalty xG,0.09,70
Shots Total,1.23,68
Assists,0.06,45
xAG,0.05,31
npxG + xAG,0.14,51
Shot-Creating Actions,1.87,33
Passes Attempted,48.05,55
Pass Completion %,85.1,74
Progressive Passes,3.87,22
Progressive Carries,2.48,94
Successful Take-Ons,1.28,90
Touches (Att Pen),1.20,62
Progressive Passes Rec,3.23,80
Tackles,1.81,38
Interceptions,0.95,36
Blocks,1.09,51
Clearances,0.53,12
Aerials won,0.45,16
Goals,0.08,64
Assists,0.06,45
Goals + Assists,0.14,52
Non-Penalty Goals,0.08,66
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.14,78
Red Cards,0.00,62
xG,0.09,68
Non-Penalty xG,0.09,70
xAG,0.05,31
npxG + xAG,0.14,51
Progressive Carries,2.48,94
Progressive Passes,3.87,22
Progressive Passes Rec,3.23,80
Goals,0.08,64
Shots Total,1.23,68
Shots on target,0.31,61
Shots on target %,25.0,44
Goals/Shot,0.07,60
Goals/Shot on target,0.27,63
Average Shot Distance,23.70,37
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.09,68
Non-Penalty xG,0.09,70
npxG/Sh,0.08,70
Goals - xG,-0.01,53
Non-Penalty Goals - npxG,-0.01,52
Passes Completed,40.89,61
Passes Attempted,48.05,55
Pass Completion %,85.1,74
Total Passing Distance,649.48,44
Progressive Passing Distance,148.92,21
Passes Completed (Short),21.16,78
Passes Attempted (Short),23.47,78
Pass Completion % (Short),90.1,72
Passes Completed (Medium),15.64,49
Passes Attempted (Medium),17.53,43
Pass Completion % (Medium),89.2,72
Passes Completed (Long),2.84,25
Passes Attempted (Long),4.38,20
Pass Completion % (Long),65.0,54
Assists,0.06,45
xAG,0.05,31
Expected Assists,0.04,22
Key Passes,0.75,42
Passes into Final Third,3.93,44
Passes into Penalty Area,0.50,37
Crosses into Penalty Area,0.14,66
Progressive Passes,3.87,22
Passes Attempted,48.05,55
Live-ball passes,47.05,61
Dead-ball passes,0.89,14
Passes from Free Kicks,0.36,11
Through Balls,0.06,30
Switches,0.42,51
Crosses,0.92,54
Throw-Ins taken,0.45,72
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,42
Passes Completed,40.89,61
Passes Offside,0.11,63
Passes Blocked,0.75,49
Shot-Creating Actions,1.87,33
SCA (PassLive),1.64,46
SCA (PassDead),0.00,16
SCA (TO),0.17,87
SCA (Sh),0.00,9
SCA (Fld),0.03,20
SCA (Def),0.03,32
Goal-Creating Actions,0.17,44
GCA (PassLive),0.08,27
GCA (PassDead),0.00,37
GCA (TO),0.08,99
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.81,38
Tackles Won,1.06,42
Tackles (Def 3rd),0.75,43
Tackles (Mid 3rd),0.95,52
Tackles (Att 3rd),0.11,18
Dribblers Tackled,0.59,21
Dribbles Challenged,2.20,65
% of dribblers tackled,26.6,2
Challenges Lost,1.62,11
Blocks,1.09,51
Shots Blocked,0.31,65
Passes Blocked,0.78,46
Interceptions,0.95,36
Tkl+Int,2.76,34
Clearances,0.53,12
Errors,0.00,67
Touches,58.17,54
Touches (Def Pen),0.70,4
Touches (Def 3rd),9.76,26
Touches (Mid 3rd),36.85,65
Touches (Att 3rd),12.26,55
Touches (Att Pen),1.20,62
Touches (Live-Ball),58.17,54
Take-Ons Attempted,2.29,87
Successful Take-Ons,1.28,90
Successful Take-On %,56.1,59
Times Tackled During Take-On,0.92,86
Tackled During Take-On Percentage,40.2,47
Carries,36.99,77
Total Carrying Distance,217.57,88
Progressive Carrying Distance,102.15,86
Progressive Carries,2.48,94
Carries into Final Third,1.45,71
Carries into Penalty Area,0.33,87
Miscontrols,2.03,11
Dispossessed,1.11,17
Passes Received,43.06,75
Progressive Passes Rec,3.23,80
Yellow Cards,0.14,78
Red Cards,0.00,62
Second Yellow Card,0.00,56
Fouls Committed,1.67,25
Fouls Drawn,0.45,8
Offsides,0.06,28
Crosses,0.92,54
Interceptions,0.95,36
Tackles Won,1.06,42
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,5.30,17
Aerials won,0.45,16
Aerials lost,0.67,74
% of Aerials Won,40.0,24
