Non-Penalty Goals,0.23,98
Non-Penalty xG,0.09,88
Shots Total,0.91,90
Assists,0.00,29
xAG,0.00,3
npxG + xAG,0.09,68
Shot-Creating Actions,0.53,27
Passes Attempted,51.66,60
Pass Completion %,78.5,25
Progressive Passes,2.87,50
Progressive Carries,0.08,5
Successful Take-Ons,0.15,44
Touches (Att Pen),1.29,82
Progressive Passes Rec,0.08,19
Tackles,1.13,39
Interceptions,1.21,34
Blocks,1.29,64
Clearances,4.61,74
Aerials won,2.19,47
Goals,0.23,98
Assists,0.00,29
Goals + Assists,0.23,97
Non-Penalty Goals,0.23,98
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.15,66
Red Cards,0.00,62
xG,0.09,86
Non-Penalty xG,0.09,88
xAG,0.00,3
npxG + xAG,0.09,68
Progressive Carries,0.08,5
Progressive Passes,2.87,50
Progressive Passes Rec,0.08,19
Goals,0.23,98
Shots Total,0.91,90
Shots on target,0.38,96
Shots on target %,41.7,86
Goals/Shot,0.25,95
Goals/Shot on target,0.60,84
Average Shot Distance,10.80,66
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.09,86
Non-Penalty xG,0.09,88
npxG/Sh,0.10,60
Goals - xG,0.14,99
Non-Penalty Goals - npxG,0.14,99
Passes Completed,40.54,51
Passes Attempted,51.66,60
Pass Completion %,78.5,25
Total Passing Distance,803.87,48
Progressive Passing Distance,382.31,79
Passes Completed (Short),12.55,51
Passes Attempted (Short),14.52,55
Pass Completion % (Short),86.5,27
Passes Completed (Medium),23.52,61
Passes Attempted (Medium),26.62,63
Pass Completion % (Medium),88.4,36
Passes Completed (Long),4.16,30
Passes Attempted (Long),8.85,51
Pass Completion % (Long),47.0,11
Assists,0.00,29
xAG,0.00,3
Expected Assists,0.02,48
Key Passes,0.00,1
Passes into Final Third,1.74,20
Passes into Penalty Area,0.00,6
Crosses into Penalty Area,0.00,29
Progressive Passes,2.87,50
Passes Attempted,51.66,60
Live-ball passes,49.54,63
Dead-ball passes,1.82,35
Passes from Free Kicks,1.74,67
Through Balls,0.08,87
Switches,0.30,30
Crosses,0.00,10
Throw-Ins taken,0.00,3
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,40.54,51
Passes Offside,0.30,4
Passes Blocked,0.45,25
Shot-Creating Actions,0.53,27
SCA (PassLive),0.38,19
SCA (PassDead),0.00,30
SCA (TO),0.00,39
SCA (Sh),0.08,58
SCA (Fld),0.00,37
SCA (Def),0.08,95
Goal-Creating Actions,0.00,11
GCA (PassLive),0.00,17
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.13,39
Tackles Won,0.83,57
Tackles (Def 3rd),0.91,55
Tackles (Mid 3rd),0.23,19
Tackles (Att 3rd),0.00,21
Dribblers Tackled,0.45,20
Dribbles Challenged,1.06,49
% of dribblers tackled,42.9,4
Challenges Lost,0.61,20
Blocks,1.29,64
Shots Blocked,0.91,75
Passes Blocked,0.38,40
Interceptions,1.21,34
Tkl+Int,2.34,30
Clearances,4.61,74
Errors,0.00,74
Touches,62.62,63
Touches (Def Pen),8.02,59
Touches (Def 3rd),35.02,75
Touches (Mid 3rd),26.17,54
Touches (Att 3rd),1.82,33
Touches (Att Pen),1.29,82
Touches (Live-Ball),62.62,63
Take-Ons Attempted,0.23,42
Successful Take-Ons,0.15,44
Successful Take-On %,66.7,58
Times Tackled During Take-On,0.08,49
Tackled During Take-On Percentage,33.3,46
Carries,32.82,58
Total Carrying Distance,142.71,36
Progressive Carrying Distance,83.65,42
Progressive Carries,0.08,5
Carries into Final Third,0.00,1
Carries into Penalty Area,0.00,25
Miscontrols,0.15,96
Dispossessed,0.00,94
Passes Received,37.44,57
Progressive Passes Rec,0.08,19
Yellow Cards,0.15,66
Red Cards,0.00,62
Second Yellow Card,0.00,56
Fouls Committed,0.61,82
Fouls Drawn,0.30,21
Offsides,0.00,75
Crosses,0.00,10
Interceptions,1.21,34
Tackles Won,0.83,57
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.08,8
Own Goals,0.00,61
Ball Recoveries,6.05,77
Aerials won,2.19,47
Aerials lost,1.29,69
% of Aerials Won,63.0,63
