Non-Penalty Goals,0.00,21
Non-Penalty xG,0.01,5
Shots Total,0.21,5
Assists,0.14,74
xAG,0.13,81
npxG + xAG,0.14,61
Shot-Creating Actions,2.26,61
Passes Attempted,68.18,94
Pass Completion %,76.2,56
Progressive Passes,6.16,95
Progressive Carries,1.98,53
Successful Take-Ons,0.68,56
Touches (Att Pen),0.55,15
Progressive Passes Rec,4.38,59
Tackles,3.35,97
Interceptions,1.23,52
Blocks,0.75,15
Clearances,1.85,32
Aerials won,0.55,12
Goals,0.00,20
Assists,0.14,74
Goals + Assists,0.14,59
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.27,19
Red Cards,0.00,61
xG,0.01,5
Non-Penalty xG,0.01,5
xAG,0.13,81
npxG + xAG,0.14,61
Progressive Carries,1.98,53
Progressive Passes,6.16,95
Progressive Passes Rec,4.38,59
Goals,0.00,20
Shots Total,0.21,5
Shots on target,0.07,21
Shots on target %,33.3,73
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,28.80,3
Shots from free kicks,0.07,88
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.01,5
Non-Penalty xG,0.01,5
npxG/Sh,0.05,37
Goals - xG,-0.01,56
Non-Penalty Goals - npxG,-0.01,55
Passes Completed,51.98,91
Passes Attempted,68.18,94
Pass Completion %,76.2,56
Total Passing Distance,865.40,88
Progressive Passing Distance,359.25,93
Passes Completed (Short),27.83,94
Passes Attempted (Short),30.91,94
Pass Completion % (Short),90.0,74
Passes Completed (Medium),19.76,86
Passes Attempted (Medium),26.06,92
Pass Completion % (Medium),75.9,31
Passes Completed (Long),3.90,63
Passes Attempted (Long),9.23,76
Pass Completion % (Long),42.2,23
Assists,0.14,74
xAG,0.13,81
Expected Assists,0.12,69
Key Passes,1.37,83
Passes into Final Third,4.31,88
Passes into Penalty Area,1.57,92
Crosses into Penalty Area,0.75,84
Progressive Passes,6.16,95
Passes Attempted,68.18,94
Live-ball passes,55.53,93
Dead-ball passes,12.58,89
Passes from Free Kicks,1.44,78
Through Balls,0.14,90
Switches,0.41,66
Crosses,4.17,79
Throw-Ins taken,10.40,90
Corner Kicks,0.75,81
Inswinging Corner Kicks,0.07,74
Outswinging Corner Kicks,0.62,89
Straight Corner Kicks,0.00,47
Passes Completed,51.98,91
Passes Offside,0.07,78
Passes Blocked,0.96,71
Shot-Creating Actions,2.26,61
SCA (PassLive),1.64,54
SCA (PassDead),0.48,85
SCA (TO),0.07,57
SCA (Sh),0.00,9
SCA (Fld),0.07,51
SCA (Def),0.00,23
Goal-Creating Actions,0.14,30
GCA (PassLive),0.07,21
GCA (PassDead),0.07,92
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,48
Tackles,3.35,97
Tackles Won,2.05,97
Tackles (Def 3rd),2.26,99
Tackles (Mid 3rd),0.75,66
Tackles (Att 3rd),0.34,87
Dribblers Tackled,1.57,90
Dribbles Challenged,2.33,78
% of dribblers tackled,67.6,83
Challenges Lost,0.75,48
Blocks,0.75,15
Shots Blocked,0.21,34
Passes Blocked,0.55,21
Interceptions,1.23,52
Tkl+Int,4.58,90
Clearances,1.85,32
Errors,0.00,65
Touches,77.69,95
Touches (Def Pen),2.60,26
Touches (Def 3rd),21.47,79
Touches (Mid 3rd),36.93,93
Touches (Att 3rd),20.11,77
Touches (Att Pen),0.55,15
Touches (Live-Ball),77.69,95
Take-Ons Attempted,1.30,48
Successful Take-Ons,0.68,56
Successful Take-On %,52.6,74
Times Tackled During Take-On,0.34,15
Tackled During Take-On Percentage,26.3,98
Carries,41.79,92
Total Carrying Distance,178.29,63
Progressive Carrying Distance,97.59,66
Progressive Carries,1.98,53
Carries into Final Third,1.85,79
Carries into Penalty Area,0.27,59
Miscontrols,0.96,70
Dispossessed,0.14,98
Passes Received,48.62,94
Progressive Passes Rec,4.38,59
Yellow Cards,0.27,19
Red Cards,0.00,61
Second Yellow Card,0.00,54
Fouls Committed,1.64,9
Fouls Drawn,1.30,74
Offsides,0.21,8
Crosses,4.17,79
Interceptions,1.23,52
Tackles Won,2.05,97
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,4.38,10
Aerials won,0.55,12
Aerials lost,0.62,88
% of Aerials Won,47.1,36
