Non-Penalty Goals,0.00,15
Non-Penalty xG,0.08,63
Shots Total,1.77,89
Assists,0.00,13
xAG,0.02,6
npxG + xAG,0.10,37
Shot-Creating Actions,2.22,49
Passes Attempted,68.66,94
Pass Completion %,87.6,89
Progressive Passes,6.46,81
Progressive Carries,1.01,45
Successful Take-Ons,0.38,22
Touches (Att Pen),1.20,63
Progressive Passes Rec,0.32,1
Tackles,2.72,83
Interceptions,1.20,60
Blocks,1.46,82
Clearances,1.65,84
Aerials won,1.01,62
Goals,0.00,15
Assists,0.00,13
Goals + Assists,0.00,7
Non-Penalty Goals,0.00,15
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.32,29
Red Cards,0.00,62
xG,0.08,61
Non-Penalty xG,0.08,63
xAG,0.02,6
npxG + xAG,0.10,37
Progressive Carries,1.01,45
Progressive Passes,6.46,81
Progressive Passes Rec,0.32,1
Goals,0.00,15
Shots Total,1.77,89
Shots on target,0.25,54
Shots on target %,14.3,15
Goals/Shot,0.00,15
Goals/Shot on target,0.00,15
Average Shot Distance,22.60,49
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.08,61
Non-Penalty xG,0.08,63
npxG/Sh,0.05,30
Goals - xG,-0.08,3
Non-Penalty Goals - npxG,-0.08,2
Passes Completed,60.17,95
Passes Attempted,68.66,94
Pass Completion %,87.6,89
Total Passing Distance,1055.11,94
Progressive Passing Distance,292.10,85
Passes Completed (Short),28.18,95
Passes Attempted (Short),30.59,95
Pass Completion % (Short),92.1,88
Passes Completed (Medium),24.07,92
Passes Attempted (Medium),26.35,92
Pass Completion % (Medium),91.3,88
Passes Completed (Long),6.33,86
Passes Attempted (Long),8.80,78
Pass Completion % (Long),71.9,75
Assists,0.00,13
xAG,0.02,6
Expected Assists,0.04,17
Key Passes,0.44,13
Passes into Final Third,6.02,84
Passes into Penalty Area,0.51,38
Crosses into Penalty Area,0.13,62
Progressive Passes,6.46,81
Passes Attempted,68.66,94
Live-ball passes,66.95,96
Dead-ball passes,1.71,44
Passes from Free Kicks,1.20,49
Through Balls,0.06,36
Switches,0.89,86
Crosses,0.25,19
Throw-Ins taken,0.44,71
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,42
Passes Completed,60.17,95
Passes Offside,0.00,98
Passes Blocked,0.70,56
Shot-Creating Actions,2.22,49
SCA (PassLive),2.03,69
SCA (PassDead),0.00,16
SCA (TO),0.00,17
SCA (Sh),0.06,40
SCA (Fld),0.13,72
SCA (Def),0.00,15
Goal-Creating Actions,0.06,13
GCA (PassLive),0.06,20
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,2.72,83
Tackles Won,1.71,88
Tackles (Def 3rd),1.39,93
Tackles (Mid 3rd),1.01,56
Tackles (Att 3rd),0.32,72
Dribblers Tackled,1.27,82
Dribbles Challenged,2.60,79
% of dribblers tackled,48.8,60
Challenges Lost,1.33,27
Blocks,1.46,82
Shots Blocked,0.70,97
Passes Blocked,0.76,43
Interceptions,1.20,60
Tkl+Int,3.93,77
Clearances,1.65,84
Errors,0.06,9
Touches,81.77,97
Touches (Def Pen),3.48,93
Touches (Def 3rd),19.57,95
Touches (Mid 3rd),54.60,99
Touches (Att 3rd),8.55,28
Touches (Att Pen),1.20,63
Touches (Live-Ball),81.77,97
Take-Ons Attempted,0.89,32
Successful Take-Ons,0.38,22
Successful Take-On %,42.9,21
Times Tackled During Take-On,0.32,30
Tackled During Take-On Percentage,35.7,63
Carries,48.83,96
Total Carrying Distance,249.99,95
Progressive Carrying Distance,114.32,93
Progressive Carries,1.01,45
Carries into Final Third,1.27,59
Carries into Penalty Area,0.06,29
Miscontrols,1.46,35
Dispossessed,0.70,55
Passes Received,56.94,94
Progressive Passes Rec,0.32,1
Yellow Cards,0.32,29
Red Cards,0.00,62
Second Yellow Card,0.00,56
Fouls Committed,1.33,49
Fouls Drawn,0.82,36
Offsides,0.00,75
Crosses,0.25,19
Interceptions,1.20,60
Tackles Won,1.71,88
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.13,1
Own Goals,0.00,52
Ball Recoveries,8.11,90
Aerials won,1.01,62
Aerials lost,1.01,46
% of Aerials Won,50.0,58
