Non-Penalty Goals,0.04,62
Non-Penalty xG,0.04,49
Shots Total,0.45,31
Assists,0.00,7
xAG,0.02,2
npxG + xAG,0.07,10
Shot-Creating Actions,1.11,3
Passes Attempted,67.68,94
Pass Completion %,85.5,98
Progressive Passes,5.08,83
Progressive Carries,0.98,8
Successful Take-Ons,0.20,6
Touches (Att Pen),1.02,44
Progressive Passes Rec,3.52,37
Tackles,1.31,11
Interceptions,1.19,48
Blocks,0.98,45
Clearances,3.11,91
Aerials won,1.52,81
Goals,0.12,92
Assists,0.00,7
Goals + Assists,0.12,50
Non-Penalty Goals,0.04,62
Penalty Kicks Made,0.08,99
Penalty Kicks Attempted,0.12,99
Yellow Cards,0.20,37
Red Cards,0.00,61
xG,0.14,97
Non-Penalty xG,0.04,49
xAG,0.02,2
npxG + xAG,0.07,10
Progressive Carries,0.98,8
Progressive Passes,5.08,83
Progressive Passes Rec,3.52,37
Goals,0.12,92
Shots Total,0.45,31
Shots on target,0.16,59
Shots on target %,36.4,81
Goals/Shot,0.09,74
Goals/Shot on target,0.25,59
Average Shot Distance,14.40,91
Shots from free kicks,0.00,37
Penalty Kicks Made,0.08,99
Penalty Kicks Attempted,0.12,99
xG,0.14,97
Non-Penalty xG,0.04,49
npxG/Sh,0.09,79
Goals - xG,-0.01,47
Non-Penalty Goals - npxG,0.00,67
Passes Completed,57.86,97
Passes Attempted,67.68,94
Pass Completion %,85.5,98
Total Passing Distance,864.54,88
Progressive Passing Distance,323.97,86
Passes Completed (Short),32.72,99
Passes Attempted (Short),35.01,98
Pass Completion % (Short),93.5,98
Passes Completed (Medium),21.13,91
Passes Attempted (Medium),24.12,85
Pass Completion % (Medium),87.6,97
Passes Completed (Long),2.54,17
Passes Attempted (Long),5.16,14
Pass Completion % (Long),49.2,54
Assists,0.00,7
xAG,0.02,2
Expected Assists,0.05,12
Key Passes,0.33,3
Passes into Final Third,4.26,88
Passes into Penalty Area,0.57,14
Crosses into Penalty Area,0.20,12
Progressive Passes,5.08,83
Passes Attempted,67.68,94
Live-ball passes,57.57,95
Dead-ball passes,10.07,56
Passes from Free Kicks,2.01,91
Through Balls,0.04,48
Switches,0.20,35
Crosses,1.60,12
Throw-Ins taken,8.07,40
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,47
Passes Completed,57.86,97
Passes Offside,0.04,89
Passes Blocked,1.15,50
Shot-Creating Actions,1.11,3
SCA (PassLive),0.98,10
SCA (PassDead),0.12,37
SCA (TO),0.00,14
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.00,23
Goal-Creating Actions,0.04,5
GCA (PassLive),0.04,8
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,48
Tackles,1.31,11
Tackles Won,0.90,23
Tackles (Def 3rd),0.61,6
Tackles (Mid 3rd),0.57,39
Tackles (Att 3rd),0.12,31
Dribblers Tackled,0.98,44
Dribbles Challenged,1.88,55
% of dribblers tackled,52.2,24
Challenges Lost,0.90,31
Blocks,0.98,45
Shots Blocked,0.29,57
Passes Blocked,0.70,41
Interceptions,1.19,48
Tkl+Int,2.50,21
Clearances,3.11,91
Errors,0.00,65
Touches,76.45,94
Touches (Def Pen),3.32,55
Touches (Def 3rd),24.32,92
Touches (Mid 3rd),38.94,97
Touches (Att 3rd),13.55,29
Touches (Att Pen),1.02,44
Touches (Live-Ball),76.32,94
Take-Ons Attempted,0.45,6
Successful Take-Ons,0.20,6
Successful Take-On %,45.5,48
Times Tackled During Take-On,0.25,6
Tackled During Take-On Percentage,54.5,21
Carries,39.27,90
Total Carrying Distance,151.50,37
Progressive Carrying Distance,79.11,42
Progressive Carries,0.98,8
Carries into Final Third,0.82,14
Carries into Penalty Area,0.20,49
Miscontrols,0.53,96
Dispossessed,0.29,86
Passes Received,49.01,95
Progressive Passes Rec,3.52,37
Yellow Cards,0.20,37
Red Cards,0.00,61
Second Yellow Card,0.00,54
Fouls Committed,0.70,82
Fouls Drawn,0.86,48
Offsides,0.00,83
Crosses,1.60,12
Interceptions,1.19,48
Tackles Won,0.90,23
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,4.67,17
Aerials won,1.52,81
Aerials lost,1.15,32
% of Aerials Won,56.9,71
