Non-Penalty Goals,0.00,21
Non-Penalty xG,0.06,65
Shots Total,0.67,72
Assists,0.04,69
xAG,0.03,71
npxG + xAG,0.09,66
Shot-Creating Actions,0.34,6
Passes Attempted,52.95,64
Pass Completion %,86.7,78
Progressive Passes,1.97,19
Progressive Carries,0.11,9
Successful Take-Ons,0.07,25
Touches (Att Pen),1.34,84
Progressive Passes Rec,0.07,18
Tackles,1.27,48
Interceptions,1.23,36
Blocks,1.45,82
Clearances,3.43,26
Aerials won,3.20,79
Goals,0.00,21
Assists,0.04,69
Goals + Assists,0.04,32
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.22,42
Red Cards,0.00,64
xG,0.06,63
Non-Penalty xG,0.06,65
xAG,0.03,71
npxG + xAG,0.09,66
Progressive Carries,0.11,9
Progressive Passes,1.97,19
Progressive Passes Rec,0.07,18
Goals,0.00,21
Shots Total,0.67,72
Shots on target,0.30,90
Shots on target %,44.4,89
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,10.50,70
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.06,63
Non-Penalty xG,0.06,65
npxG/Sh,0.09,49
Goals - xG,-0.06,8
Non-Penalty Goals - npxG,-0.06,8
Passes Completed,45.91,71
Passes Attempted,52.95,64
Pass Completion %,86.7,78
Total Passing Distance,898.85,63
Progressive Passing Distance,323.02,55
Passes Completed (Short),14.86,74
Passes Attempted (Short),16.12,68
Pass Completion % (Short),92.1,81
Passes Completed (Medium),25.47,73
Passes Attempted (Medium),27.59,69
Pass Completion % (Medium),92.3,78
Passes Completed (Long),5.36,53
Passes Attempted (Long),8.30,42
Pass Completion % (Long),64.6,74
Assists,0.04,69
xAG,0.03,71
Expected Assists,0.03,71
Key Passes,0.19,41
Passes into Final Third,1.68,18
Passes into Penalty Area,0.07,32
Crosses into Penalty Area,0.00,29
Progressive Passes,1.97,19
Passes Attempted,52.95,64
Live-ball passes,51.57,69
Dead-ball passes,1.30,15
Passes from Free Kicks,1.15,33
Through Balls,0.00,29
Switches,0.45,52
Crosses,0.04,25
Throw-Ins taken,0.15,33
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,45.91,71
Passes Offside,0.07,65
Passes Blocked,0.41,31
Shot-Creating Actions,0.34,6
SCA (PassLive),0.22,4
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.07,59
SCA (Fld),0.00,37
SCA (Def),0.04,78
Goal-Creating Actions,0.04,30
GCA (PassLive),0.04,42
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.27,48
Tackles Won,0.52,17
Tackles (Def 3rd),0.86,47
Tackles (Mid 3rd),0.30,35
Tackles (Att 3rd),0.11,89
Dribblers Tackled,0.56,36
Dribbles Challenged,0.97,40
% of dribblers tackled,57.7,31
Challenges Lost,0.41,48
Blocks,1.45,82
Shots Blocked,1.04,88
Passes Blocked,0.41,47
Interceptions,1.23,36
Tkl+Int,2.49,36
Clearances,3.43,26
Errors,0.00,75
Touches,62.18,62
Touches (Def Pen),7.07,38
Touches (Def 3rd),32.62,64
Touches (Mid 3rd),27.59,66
Touches (Att 3rd),2.16,46
Touches (Att Pen),1.34,84
Touches (Live-Ball),62.18,62
Take-Ons Attempted,0.22,41
Successful Take-Ons,0.07,25
Successful Take-On %,33.3,14
Times Tackled During Take-On,0.15,75
Tackled During Take-On Percentage,66.7,7
Carries,34.41,66
Total Carrying Distance,140.64,34
Progressive Carrying Distance,64.90,21
Progressive Carries,0.11,9
Carries into Final Third,0.15,18
Carries into Penalty Area,0.07,87
Miscontrols,0.22,86
Dispossessed,0.15,45
Passes Received,42.26,73
Progressive Passes Rec,0.07,18
Yellow Cards,0.22,42
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.60,83
Fouls Drawn,0.30,21
Offsides,0.19,1
Crosses,0.04,25
Interceptions,1.23,36
Tackles Won,0.52,17
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.04,32
Own Goals,0.00,60
Ball Recoveries,4.92,39
Aerials won,3.20,79
Aerials lost,1.04,84
% of Aerials Won,75.4,97
