Non-Penalty Goals,0.20,53
Non-Penalty xG,0.19,45
Shots Total,1.81,32
Assists,0.07,11
xAG,0.09,9
npxG + xAG,0.28,13
Shot-Creating Actions,1.88,4
Passes Attempted,39.87,63
Pass Completion %,76.1,66
Progressive Passes,3.49,44
Progressive Carries,2.68,43
Successful Take-Ons,1.61,65
Touches (Att Pen),2.95,31
Progressive Passes Rec,7.32,52
Tackles,1.48,60
Interceptions,0.94,95
Blocks,1.01,67
Clearances,1.01,90
Aerials won,0.74,73
Goals,0.20,46
Assists,0.07,11
Goals + Assists,0.27,19
Non-Penalty Goals,0.20,53
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.13,62
Red Cards,0.00,59
xG,0.19,37
Non-Penalty xG,0.19,45
xAG,0.09,9
npxG + xAG,0.28,13
Progressive Carries,2.68,43
Progressive Passes,3.49,44
Progressive Passes Rec,7.32,52
Goals,0.20,46
Shots Total,1.81,32
Shots on target,0.87,73
Shots on target %,48.1,93
Goals/Shot,0.11,61
Goals/Shot on target,0.23,34
Average Shot Distance,17.00,73
Shots from free kicks,0.07,52
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.19,37
Non-Penalty xG,0.19,45
npxG/Sh,0.10,57
Goals - xG,0.01,52
Non-Penalty Goals - npxG,0.01,53
Passes Completed,30.34,66
Passes Attempted,39.87,63
Pass Completion %,76.1,66
Total Passing Distance,457.11,58
Progressive Passing Distance,134.16,59
Passes Completed (Short),16.98,73
Passes Attempted (Short),19.87,73
Pass Completion % (Short),85.5,55
Passes Completed (Medium),11.07,73
Passes Attempted (Medium),13.76,67
Pass Completion % (Medium),80.5,76
Passes Completed (Long),1.34,23
Passes Attempted (Long),2.95,32
Pass Completion % (Long),45.5,30
Assists,0.07,11
xAG,0.09,9
Expected Assists,0.10,13
Key Passes,0.54,1
Passes into Final Third,2.75,64
Passes into Penalty Area,0.74,14
Crosses into Penalty Area,0.34,64
Progressive Passes,3.49,44
Passes Attempted,39.87,63
Live-ball passes,36.04,63
Dead-ball passes,3.56,61
Passes from Free Kicks,0.47,48
Through Balls,0.20,53
Switches,0.34,61
Crosses,2.35,39
Throw-Ins taken,3.02,98
Corner Kicks,0.07,25
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.07,42
Straight Corner Kicks,0.00,38
Passes Completed,30.34,66
Passes Offside,0.27,28
Passes Blocked,1.14,41
Shot-Creating Actions,1.88,4
SCA (PassLive),1.48,6
SCA (PassDead),0.00,11
SCA (TO),0.07,13
SCA (Sh),0.13,22
SCA (Fld),0.20,54
SCA (Def),0.00,20
Goal-Creating Actions,0.07,1
GCA (PassLive),0.07,3
GCA (PassDead),0.00,29
GCA (TO),0.00,25
GCA (Sh),0.00,21
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,1.48,60
Tackles Won,0.67,41
Tackles (Def 3rd),0.67,79
Tackles (Mid 3rd),0.60,54
Tackles (Att 3rd),0.20,33
Dribblers Tackled,0.34,19
Dribbles Challenged,1.54,60
% of dribblers tackled,21.7,3
Challenges Lost,1.21,20
Blocks,1.01,67
Shots Blocked,0.20,91
Passes Blocked,0.81,53
Interceptions,0.94,95
Tkl+Int,2.42,84
Clearances,1.01,90
Errors,0.00,54
Touches,51.81,63
Touches (Def Pen),0.74,56
Touches (Def 3rd),8.46,95
Touches (Mid 3rd),25.70,75
Touches (Att 3rd),18.46,20
Touches (Att Pen),2.95,31
Touches (Live-Ball),51.81,63
Take-Ons Attempted,3.09,50
Successful Take-Ons,1.61,65
Successful Take-On %,52.2,74
Times Tackled During Take-On,1.48,51
Tackled During Take-On Percentage,47.8,43
Carries,31.54,56
Total Carrying Distance,216.71,70
Progressive Carrying Distance,113.09,77
Progressive Carries,2.68,43
Carries into Final Third,1.88,42
Carries into Penalty Area,0.81,47
Miscontrols,2.48,40
Dispossessed,1.01,76
Passes Received,35.03,54
Progressive Passes Rec,7.32,52
Yellow Cards,0.13,62
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,0.74,75
Fouls Drawn,1.14,26
Offsides,0.34,34
Crosses,2.35,39
Interceptions,0.94,95
Tackles Won,0.67,41
Penalty Kicks Won,0.07,88
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,4.23,37
Aerials won,0.74,73
Aerials lost,0.74,69
% of Aerials Won,50.0,89
