Non-Penalty Goals,0.19,48
Non-Penalty xG,0.13,16
Shots Total,1.25,12
Assists,0.19,50
xAG,0.14,22
npxG + xAG,0.27,11
Shot-Creating Actions,2.38,12
Passes Attempted,29.81,29
Pass Completion %,72.3,39
Progressive Passes,1.94,8
Progressive Carries,2.94,54
Successful Take-Ons,1.50,56
Touches (Att Pen),3.69,60
Progressive Passes Rec,8.50,71
Tackles,1.13,36
Interceptions,0.38,28
Blocks,0.50,11
Clearances,0.81,79
Aerials won,0.44,41
Goals,0.19,41
Assists,0.19,50
Goals + Assists,0.38,44
Non-Penalty Goals,0.19,48
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.06,88
Red Cards,0.00,59
xG,0.13,13
Non-Penalty xG,0.13,16
xAG,0.14,22
npxG + xAG,0.27,11
Progressive Carries,2.94,54
Progressive Passes,1.94,8
Progressive Passes Rec,8.50,71
Goals,0.19,41
Shots Total,1.25,12
Shots on target,0.44,12
Shots on target %,35.0,57
Goals/Shot,0.15,79
Goals/Shot on target,0.43,82
Average Shot Distance,13.60,95
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.13,13
Non-Penalty xG,0.13,16
npxG/Sh,0.10,57
Goals - xG,0.06,71
Non-Penalty Goals - npxG,0.06,73
Passes Completed,21.56,30
Passes Attempted,29.81,29
Pass Completion %,72.3,39
Total Passing Distance,304.94,25
Progressive Passing Distance,68.94,16
Passes Completed (Short),13.63,47
Passes Attempted (Short),15.69,45
Pass Completion % (Short),86.9,70
Passes Completed (Medium),5.69,12
Passes Attempted (Medium),8.69,23
Pass Completion % (Medium),65.5,5
Passes Completed (Long),1.38,24
Passes Attempted (Long),2.63,27
Pass Completion % (Long),52.4,64
Assists,0.19,50
xAG,0.14,22
Expected Assists,0.11,16
Key Passes,1.13,20
Passes into Final Third,1.31,17
Passes into Penalty Area,0.69,11
Crosses into Penalty Area,0.31,55
Progressive Passes,1.94,8
Passes Attempted,29.81,29
Live-ball passes,27.75,28
Dead-ball passes,1.88,41
Passes from Free Kicks,0.25,36
Through Balls,0.00,2
Switches,0.06,9
Crosses,3.69,59
Throw-Ins taken,0.31,39
Corner Kicks,1.31,57
Inswinging Corner Kicks,0.19,40
Outswinging Corner Kicks,0.88,76
Straight Corner Kicks,0.00,38
Passes Completed,21.56,30
Passes Offside,0.19,44
Passes Blocked,1.06,49
Shot-Creating Actions,2.38,12
SCA (PassLive),1.19,2
SCA (PassDead),0.44,58
SCA (TO),0.31,63
SCA (Sh),0.06,7
SCA (Fld),0.38,85
SCA (Def),0.00,20
Goal-Creating Actions,0.25,20
GCA (PassLive),0.13,13
GCA (PassDead),0.06,74
GCA (TO),0.06,78
GCA (Sh),0.00,21
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,1.13,36
Tackles Won,0.31,4
Tackles (Def 3rd),0.31,28
Tackles (Mid 3rd),0.50,42
Tackles (Att 3rd),0.31,62
Dribblers Tackled,0.50,49
Dribbles Challenged,0.88,17
% of dribblers tackled,57.1,98
Challenges Lost,0.38,93
Blocks,0.50,11
Shots Blocked,0.13,73
Passes Blocked,0.38,7
Interceptions,0.38,28
Tkl+Int,1.50,33
Clearances,0.81,79
Errors,0.06,1
Touches,40.50,24
Touches (Def Pen),0.94,69
Touches (Def 3rd),5.63,58
Touches (Mid 3rd),16.44,29
Touches (Att 3rd),18.75,23
Touches (Att Pen),3.69,60
Touches (Live-Ball),40.50,25
Take-Ons Attempted,3.88,68
Successful Take-Ons,1.50,56
Successful Take-On %,38.7,22
Times Tackled During Take-On,2.19,83
Tackled During Take-On Percentage,56.5,12
Carries,27.69,40
Total Carrying Distance,177.13,44
Progressive Carrying Distance,87.00,52
Progressive Carries,2.94,54
Carries into Final Third,1.69,30
Carries into Penalty Area,1.44,80
Miscontrols,2.06,67
Dispossessed,1.25,57
Passes Received,30.56,38
Progressive Passes Rec,8.50,71
Yellow Cards,0.06,88
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,0.81,70
Fouls Drawn,2.38,81
Offsides,0.25,45
Crosses,3.69,59
Interceptions,0.38,28
Tackles Won,0.31,4
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,4.19,35
Aerials won,0.44,41
Aerials lost,1.06,48
% of Aerials Won,29.2,34
