Non-Penalty Goals,0.00,21
Non-Penalty xG,0.00,1
Shots Total,0.18,5
Assists,0.00,29
xAG,0.00,3
npxG + xAG,0.00,1
Shot-Creating Actions,0.28,3
Passes Attempted,51.92,62
Pass Completion %,86.7,78
Progressive Passes,1.66,10
Progressive Carries,0.18,17
Successful Take-Ons,0.28,74
Touches (Att Pen),0.74,39
Progressive Passes Rec,0.09,21
Tackles,1.48,64
Interceptions,1.57,68
Blocks,0.55,2
Clearances,5.63,94
Aerials won,2.21,47
Goals,0.00,21
Assists,0.00,29
Goals + Assists,0.00,14
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.46,3
Red Cards,0.00,64
xG,0.00,1
Non-Penalty xG,0.00,1
xAG,0.00,3
npxG + xAG,0.00,1
Progressive Carries,0.18,17
Progressive Passes,1.66,10
Progressive Passes Rec,0.09,21
Goals,0.00,21
Shots Total,0.18,5
Shots on target,0.00,5
Shots on target %,0.0,5
Goals/Shot,0.00,21
Average Shot Distance,15.90,17
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.00,1
Non-Penalty xG,0.00,1
npxG/Sh,0.02,1
Goals - xG,0.00,65
Non-Penalty Goals - npxG,0.00,65
Passes Completed,45.00,67
Passes Attempted,51.92,62
Pass Completion %,86.7,78
Total Passing Distance,925.08,68
Progressive Passing Distance,310.02,49
Passes Completed (Short),12.63,52
Passes Attempted (Short),13.74,49
Pass Completion % (Short),91.9,80
Passes Completed (Medium),25.91,75
Passes Attempted (Medium),28.13,72
Pass Completion % (Medium),92.1,75
Passes Completed (Long),6.09,68
Passes Attempted (Long),8.94,52
Pass Completion % (Long),68.0,83
Assists,0.00,29
xAG,0.00,3
Expected Assists,0.00,1
Key Passes,0.00,1
Passes into Final Third,2.40,45
Passes into Penalty Area,0.00,6
Crosses into Penalty Area,0.00,29
Progressive Passes,1.66,10
Passes Attempted,51.92,62
Live-ball passes,49.43,63
Dead-ball passes,2.49,61
Passes from Free Kicks,1.94,77
Through Balls,0.00,29
Switches,0.74,81
Crosses,0.00,10
Throw-Ins taken,0.55,65
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,45.00,67
Passes Offside,0.00,94
Passes Blocked,0.46,25
Shot-Creating Actions,0.28,3
SCA (PassLive),0.18,2
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.09,69
SCA (Fld),0.00,37
SCA (Def),0.00,34
Goal-Creating Actions,0.09,66
GCA (PassLive),0.00,17
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.09,99
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.48,64
Tackles Won,0.92,66
Tackles (Def 3rd),1.01,65
Tackles (Mid 3rd),0.28,31
Tackles (Att 3rd),0.18,98
Dribblers Tackled,0.65,47
Dribbles Challenged,1.29,68
% of dribblers tackled,50.0,12
Challenges Lost,0.65,14
Blocks,0.55,2
Shots Blocked,0.46,13
Passes Blocked,0.09,1
Interceptions,1.57,68
Tkl+Int,3.04,68
Clearances,5.63,94
Errors,0.00,75
Touches,63.35,65
Touches (Def Pen),7.84,56
Touches (Def 3rd),34.95,75
Touches (Mid 3rd),27.39,64
Touches (Att 3rd),1.29,14
Touches (Att Pen),0.74,39
Touches (Live-Ball),63.35,65
Take-Ons Attempted,0.55,81
Successful Take-Ons,0.28,74
Successful Take-On %,50.0,30
Times Tackled During Take-On,0.28,92
Tackled During Take-On Percentage,50.0,17
Carries,37.81,76
Total Carrying Distance,199.83,78
Progressive Carrying Distance,93.60,54
Progressive Carries,0.18,17
Carries into Final Third,0.28,41
Carries into Penalty Area,0.00,25
Miscontrols,0.83,8
Dispossessed,0.09,66
Passes Received,40.57,67
Progressive Passes Rec,0.09,21
Yellow Cards,0.46,3
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.11,24
Fouls Drawn,0.83,82
Offsides,0.00,76
Crosses,0.00,10
Interceptions,1.57,68
Tackles Won,0.92,66
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.00,60
Ball Recoveries,4.33,21
Aerials won,2.21,47
Aerials lost,0.83,95
% of Aerials Won,72.7,94
