Non-Penalty Goals,0.20,11
Non-Penalty xG,0.22,9
Shots Total,2.01,16
Assists,0.00,5
xAG,0.11,50
npxG + xAG,0.33,13
Shot-Creating Actions,2.49,61
Passes Attempted,22.30,61
Pass Completion %,72.3,68
Progressive Passes,1.75,51
Progressive Carries,0.54,11
Successful Take-Ons,0.34,15
Touches (Att Pen),4.63,58
Progressive Passes Rec,6.11,59
Tackles,0.20,3
Interceptions,0.34,83
Blocks,0.60,52
Clearances,1.61,96
Aerials won,4.43,89
Goals,0.20,6
Assists,0.00,5
Goals + Assists,0.20,3
Non-Penalty Goals,0.20,11
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.07,63
Yellow Cards,0.20,37
Red Cards,0.07,1
xG,0.28,13
Non-Penalty xG,0.22,9
xAG,0.11,50
npxG + xAG,0.33,13
Progressive Carries,0.54,11
Progressive Passes,1.75,51
Progressive Passes Rec,6.11,59
Goals,0.20,6
Shots Total,2.01,16
Shots on target,0.87,36
Shots on target %,43.3,78
Goals/Shot,0.10,14
Goals/Shot on target,0.23,8
Average Shot Distance,12.20,94
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.07,63
xG,0.28,13
Non-Penalty xG,0.22,9
npxG/Sh,0.11,20
Goals - xG,-0.07,17
Non-Penalty Goals - npxG,-0.02,29
Passes Completed,16.12,66
Passes Attempted,22.30,61
Pass Completion %,72.3,68
Total Passing Distance,197.26,50
Progressive Passing Distance,34.39,39
Passes Completed (Short),10.21,80
Passes Attempted (Short),13.57,85
Pass Completion % (Short),75.2,38
Passes Completed (Medium),4.16,52
Passes Attempted (Medium),5.44,38
Pass Completion % (Medium),76.5,73
Passes Completed (Long),0.54,29
Passes Attempted (Long),0.81,18
Pass Completion % (Long),66.7,68
Assists,0.00,5
xAG,0.11,50
Expected Assists,0.12,76
Key Passes,1.14,72
Passes into Final Third,1.01,49
Passes into Penalty Area,0.67,71
Crosses into Penalty Area,0.07,62
Progressive Passes,1.75,51
Passes Attempted,22.30,61
Live-ball passes,20.75,63
Dead-ball passes,1.41,54
Passes from Free Kicks,0.00,25
Through Balls,0.20,86
Switches,0.07,41
Crosses,0.27,30
Throw-Ins taken,0.00,8
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,16.12,66
Passes Offside,0.13,43
Passes Blocked,0.40,86
Shot-Creating Actions,2.49,61
SCA (PassLive),1.81,69
SCA (PassDead),0.00,34
SCA (TO),0.13,42
SCA (Sh),0.34,65
SCA (Fld),0.20,46
SCA (Def),0.00,23
Goal-Creating Actions,0.07,4
GCA (PassLive),0.00,3
GCA (PassDead),0.00,48
GCA (TO),0.07,78
GCA (Sh),0.00,18
GCA (Fld),0.00,27
GCA (Def),0.00,47
Tackles,0.20,3
Tackles Won,0.13,11
Tackles (Def 3rd),0.07,31
Tackles (Mid 3rd),0.07,4
Tackles (Att 3rd),0.07,10
Dribblers Tackled,0.00,1
Dribbles Challenged,0.20,1
% of dribblers tackled,0.0,1
Challenges Lost,0.20,89
Blocks,0.60,52
Shots Blocked,0.07,36
Passes Blocked,0.54,61
Interceptions,0.34,83
Tkl+Int,0.54,19
Clearances,1.61,96
Errors,0.00,51
Touches,31.03,43
Touches (Def Pen),1.95,96
Touches (Def 3rd),3.02,76
Touches (Mid 3rd),14.44,56
Touches (Att 3rd),13.63,21
Touches (Att Pen),4.63,58
Touches (Live-Ball),30.96,43
Take-Ons Attempted,0.34,2
Successful Take-Ons,0.34,15
Successful Take-On %,100.0,99
Times Tackled During Take-On,0.00,1
Tackled During Take-On Percentage,0.0,99
Carries,16.72,47
Total Carrying Distance,60.65,22
Progressive Carrying Distance,17.06,11
Progressive Carries,0.54,11
Carries into Final Third,0.54,19
Carries into Penalty Area,0.20,14
Miscontrols,2.22,72
Dispossessed,1.01,70
Passes Received,24.38,57
Progressive Passes Rec,6.11,59
Yellow Cards,0.20,37
Red Cards,0.07,1
Second Yellow Card,0.00,53
Fouls Committed,1.95,13
Fouls Drawn,1.28,46
Offsides,0.74,21
Crosses,0.27,30
Interceptions,0.34,83
Tackles Won,0.13,11
Penalty Kicks Won,0.00,28
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,1.81,15
Aerials won,4.43,89
Aerials lost,2.69,63
% of Aerials Won,62.3,98
