Non-Penalty Goals,0.00,1
Non-Penalty xG,0.13,1
Shots Total,1.66,4
Assists,0.00,5
xAG,0.04,1
npxG + xAG,0.17,1
Shot-Creating Actions,1.48,4
Passes Attempted,17.00,18
Pass Completion %,72.8,71
Progressive Passes,1.29,26
Progressive Carries,0.74,22
Successful Take-Ons,0.37,18
Touches (Att Pen),3.88,23
Progressive Passes Rec,5.91,56
Tackles,2.22,99
Interceptions,0.74,99
Blocks,1.11,93
Clearances,0.00,1
Aerials won,1.66,36
Goals,0.00,1
Assists,0.00,5
Goals + Assists,0.00,1
Non-Penalty Goals,0.00,1
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
Yellow Cards,0.18,39
Red Cards,0.00,58
xG,0.13,1
Non-Penalty xG,0.13,1
xAG,0.04,1
npxG + xAG,0.17,1
Progressive Carries,0.74,22
Progressive Passes,1.29,26
Progressive Passes Rec,5.91,56
Goals,0.00,1
Shots Total,1.66,4
Shots on target,0.37,1
Shots on target %,22.2,1
Goals/Shot,0.00,1
Goals/Shot on target,0.00,1
Average Shot Distance,13.70,67
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
xG,0.13,1
Non-Penalty xG,0.13,1
npxG/Sh,0.07,1
Goals - xG,-0.13,5
Non-Penalty Goals - npxG,-0.13,5
Passes Completed,12.38,28
Passes Attempted,17.00,18
Pass Completion %,72.8,71
Total Passing Distance,138.79,13
Progressive Passing Distance,23.66,13
Passes Completed (Short),7.76,41
Passes Attempted (Short),9.61,27
Pass Completion % (Short),80.8,72
Passes Completed (Medium),2.96,14
Passes Attempted (Medium),3.51,4
Pass Completion % (Medium),84.2,94
Passes Completed (Long),0.00,1
Passes Attempted (Long),0.55,5
Pass Completion % (Long),0.0,1
Assists,0.00,5
xAG,0.04,1
Expected Assists,0.02,1
Key Passes,0.37,1
Passes into Final Third,0.74,27
Passes into Penalty Area,0.00,1
Crosses into Penalty Area,0.00,16
Progressive Passes,1.29,26
Passes Attempted,17.00,18
Live-ball passes,15.89,20
Dead-ball passes,1.11,41
Passes from Free Kicks,0.00,25
Through Balls,0.00,10
Switches,0.00,7
Crosses,0.37,40
Throw-Ins taken,0.00,8
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,12.38,28
Passes Offside,0.00,94
Passes Blocked,0.18,99
Shot-Creating Actions,1.48,4
SCA (PassLive),1.11,12
SCA (PassDead),0.00,34
SCA (TO),0.00,3
SCA (Sh),0.18,19
SCA (Fld),0.18,40
SCA (Def),0.00,23
Goal-Creating Actions,0.37,72
GCA (PassLive),0.37,95
GCA (PassDead),0.00,48
GCA (TO),0.00,27
GCA (Sh),0.00,18
GCA (Fld),0.00,27
GCA (Def),0.00,47
Tackles,2.22,99
Tackles Won,1.48,99
Tackles (Def 3rd),0.37,96
Tackles (Mid 3rd),1.29,99
Tackles (Att 3rd),0.55,99
Dribblers Tackled,0.55,98
Dribbles Challenged,1.29,98
% of dribblers tackled,42.9,77
Challenges Lost,0.74,11
Blocks,1.11,93
Shots Blocked,0.37,99
Passes Blocked,0.74,81
Interceptions,0.74,99
Tkl+Int,2.96,99
Clearances,0.00,1
Errors,0.00,51
Touches,30.68,39
Touches (Def Pen),0.00,1
Touches (Def 3rd),1.85,25
Touches (Mid 3rd),15.34,70
Touches (Att 3rd),13.86,23
Touches (Att Pen),3.88,23
Touches (Live-Ball),30.68,40
Take-Ons Attempted,1.85,60
Successful Take-Ons,0.37,18
Successful Take-On %,20.0,4
Times Tackled During Take-On,1.48,86
Tackled During Take-On Percentage,80.0,1
Carries,15.15,30
Total Carrying Distance,64.31,26
Progressive Carrying Distance,24.39,28
Progressive Carries,0.74,22
Carries into Final Third,0.18,2
Carries into Penalty Area,0.18,12
Miscontrols,3.70,16
Dispossessed,1.29,45
Passes Received,19.77,20
Progressive Passes Rec,5.91,56
Yellow Cards,0.18,39
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,2.59,3
Fouls Drawn,1.29,48
Offsides,0.00,99
Crosses,0.37,40
Interceptions,0.74,99
Tackles Won,1.48,99
Penalty Kicks Won,0.18,99
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,2.96,79
Aerials won,1.66,36
Aerials lost,2.22,72
% of Aerials Won,42.9,56
