Non-Penalty Goals,0.04,59
Non-Penalty xG,0.03,35
Shots Total,0.38,20
Assists,0.11,67
xAG,0.10,57
npxG + xAG,0.12,45
Shot-Creating Actions,1.94,40
Passes Attempted,56.23,68
Pass Completion %,78.6,69
Progressive Passes,4.04,57
Progressive Carries,2.28,64
Successful Take-Ons,0.69,57
Touches (Att Pen),1.18,53
Progressive Passes Rec,5.29,73
Tackles,1.94,51
Interceptions,1.52,78
Blocks,0.84,22
Clearances,1.71,26
Aerials won,1.07,60
Goals,0.04,59
Assists,0.11,67
Goals + Assists,0.15,65
Non-Penalty Goals,0.04,59
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.11,72
Red Cards,0.00,62
xG,0.03,34
Non-Penalty xG,0.03,35
xAG,0.10,57
npxG + xAG,0.12,45
Progressive Carries,2.28,64
Progressive Passes,4.04,57
Progressive Passes Rec,5.29,73
Goals,0.04,59
Shots Total,0.38,20
Shots on target,0.15,56
Shots on target %,40.0,87
Goals/Shot,0.10,77
Goals/Shot on target,0.25,60
Average Shot Distance,19.50,60
Shots from free kicks,0.04,78
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.03,34
Non-Penalty xG,0.03,35
npxG/Sh,0.07,61
Goals - xG,0.01,73
Non-Penalty Goals - npxG,0.01,73
Passes Completed,44.20,73
Passes Attempted,56.23,68
Pass Completion %,78.6,69
Total Passing Distance,663.01,50
Progressive Passing Distance,253.52,52
Passes Completed (Short),26.46,92
Passes Attempted (Short),28.55,91
Pass Completion % (Short),92.7,95
Passes Completed (Medium),13.78,30
Passes Attempted (Medium),17.89,28
Pass Completion % (Medium),77.0,38
Passes Completed (Long),2.78,27
Passes Attempted (Long),6.02,28
Pass Completion % (Long),46.2,42
Assists,0.11,67
xAG,0.10,57
Expected Assists,0.10,54
Key Passes,1.07,63
Passes into Final Third,3.16,59
Passes into Penalty Area,1.03,56
Crosses into Penalty Area,0.61,73
Progressive Passes,4.04,57
Passes Attempted,56.23,68
Live-ball passes,46.41,71
Dead-ball passes,9.71,48
Passes from Free Kicks,1.10,60
Through Balls,0.00,17
Switches,0.46,69
Crosses,3.88,74
Throw-Ins taken,8.49,49
Corner Kicks,0.11,62
Inswinging Corner Kicks,0.04,68
Outswinging Corner Kicks,0.04,63
Straight Corner Kicks,0.00,47
Passes Completed,44.20,73
Passes Offside,0.11,62
Passes Blocked,1.60,13
Shot-Creating Actions,1.94,40
SCA (PassLive),1.45,40
SCA (PassDead),0.19,49
SCA (TO),0.11,73
SCA (Sh),0.15,87
SCA (Fld),0.04,29
SCA (Def),0.00,22
Goal-Creating Actions,0.19,53
GCA (PassLive),0.15,57
GCA (PassDead),0.04,76
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,47
Tackles,1.94,51
Tackles Won,1.14,49
Tackles (Def 3rd),0.84,21
Tackles (Mid 3rd),0.88,83
Tackles (Att 3rd),0.23,63
Dribblers Tackled,0.84,28
Dribbles Challenged,1.71,47
% of dribblers tackled,48.9,17
Challenges Lost,0.88,31
Blocks,0.84,22
Shots Blocked,0.19,30
Passes Blocked,0.65,35
Interceptions,1.52,78
Tkl+Int,3.46,63
Clearances,1.71,26
Errors,0.00,66
Touches,66.02,65
Touches (Def Pen),2.09,13
Touches (Def 3rd),16.83,34
Touches (Mid 3rd),31.75,78
Touches (Att 3rd),18.12,63
Touches (Att Pen),1.18,53
Touches (Live-Ball),66.02,65
Take-Ons Attempted,1.48,55
Successful Take-Ons,0.69,57
Successful Take-On %,46.2,53
Times Tackled During Take-On,0.76,63
Tackled During Take-On Percentage,51.3,35
Carries,34.53,70
Total Carrying Distance,161.65,48
Progressive Carrying Distance,91.75,58
Progressive Carries,2.28,64
Carries into Final Third,1.75,72
Carries into Penalty Area,0.11,27
Miscontrols,1.29,41
Dispossessed,0.49,57
Passes Received,40.39,75
Progressive Passes Rec,5.29,73
Yellow Cards,0.11,72
Red Cards,0.00,62
Second Yellow Card,0.00,54
Fouls Committed,1.87,3
Fouls Drawn,0.57,24
Offsides,0.08,36
Crosses,3.88,74
Interceptions,1.52,78
Tackles Won,1.14,49
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,4.45,12
Aerials won,1.07,60
Aerials lost,1.45,12
% of Aerials Won,42.4,25
