Non-Penalty Goals,0.15,88
Non-Penalty xG,0.12,79
Shots Total,0.80,42
Assists,0.00,13
xAG,0.07,47
npxG + xAG,0.18,64
Shot-Creating Actions,2.98,76
Passes Attempted,60.92,85
Pass Completion %,82.7,58
Progressive Passes,5.74,69
Progressive Carries,0.58,16
Successful Take-Ons,0.58,46
Touches (Att Pen),0.87,48
Progressive Passes Rec,1.82,54
Tackles,1.60,28
Interceptions,1.09,53
Blocks,1.09,53
Clearances,1.31,69
Aerials won,0.80,44
Goals,0.15,85
Assists,0.00,13
Goals + Assists,0.15,56
Non-Penalty Goals,0.15,88
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.29,35
Red Cards,0.00,62
xG,0.12,77
Non-Penalty xG,0.12,79
xAG,0.07,47
npxG + xAG,0.18,64
Progressive Carries,0.58,16
Progressive Passes,5.74,69
Progressive Passes Rec,1.82,54
Goals,0.15,85
Shots Total,0.80,42
Shots on target,0.15,29
Shots on target %,18.2,23
Goals/Shot,0.18,96
Goals/Shot on target,1.00,97
Average Shot Distance,18.40,79
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.12,77
Non-Penalty xG,0.12,79
npxG/Sh,0.14,97
Goals - xG,0.03,80
Non-Penalty Goals - npxG,0.03,80
Passes Completed,50.38,83
Passes Attempted,60.92,85
Pass Completion %,82.7,58
Total Passing Distance,899.35,83
Progressive Passing Distance,243.32,70
Passes Completed (Short),22.61,84
Passes Attempted (Short),24.64,82
Pass Completion % (Short),91.7,86
Passes Completed (Medium),19.05,72
Passes Attempted (Medium),21.95,74
Pass Completion % (Medium),86.8,51
Passes Completed (Long),6.47,87
Passes Attempted (Long),10.11,88
Pass Completion % (Long),64.0,50
Assists,0.00,13
xAG,0.07,47
Expected Assists,0.12,72
Key Passes,1.45,79
Passes into Final Third,4.51,59
Passes into Penalty Area,0.65,54
Crosses into Penalty Area,0.22,78
Progressive Passes,5.74,69
Passes Attempted,60.92,85
Live-ball passes,55.61,83
Dead-ball passes,5.09,84
Passes from Free Kicks,2.11,81
Through Balls,0.15,69
Switches,0.73,77
Crosses,3.78,87
Throw-Ins taken,0.36,68
Corner Kicks,2.54,91
Inswinging Corner Kicks,1.02,86
Outswinging Corner Kicks,1.09,92
Straight Corner Kicks,0.00,42
Passes Completed,50.38,83
Passes Offside,0.22,27
Passes Blocked,1.09,13
Shot-Creating Actions,2.98,76
SCA (PassLive),1.89,62
SCA (PassDead),0.80,87
SCA (TO),0.00,17
SCA (Sh),0.15,73
SCA (Fld),0.15,79
SCA (Def),0.00,15
Goal-Creating Actions,0.15,37
GCA (PassLive),0.15,54
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.60,28
Tackles Won,0.65,10
Tackles (Def 3rd),0.87,56
Tackles (Mid 3rd),0.51,8
Tackles (Att 3rd),0.22,51
Dribblers Tackled,0.87,47
Dribbles Challenged,2.84,89
% of dribblers tackled,30.8,6
Challenges Lost,1.96,3
Blocks,1.09,53
Shots Blocked,0.22,45
Passes Blocked,0.87,55
Interceptions,1.09,53
Tkl+Int,2.69,32
Clearances,1.31,69
Errors,0.07,6
Touches,68.48,81
Touches (Def Pen),1.89,44
Touches (Def 3rd),10.61,35
Touches (Mid 3rd),44.93,89
Touches (Att 3rd),13.45,63
Touches (Att Pen),0.87,48
Touches (Live-Ball),68.48,81
Take-Ons Attempted,0.87,31
Successful Take-Ons,0.58,46
Successful Take-On %,66.7,85
Times Tackled During Take-On,0.29,26
Tackled During Take-On Percentage,33.3,71
Carries,35.26,73
Total Carrying Distance,128.24,29
Progressive Carrying Distance,63.25,40
Progressive Carries,0.58,16
Carries into Final Third,1.31,62
Carries into Penalty Area,0.00,5
Miscontrols,1.09,60
Dispossessed,0.44,87
Passes Received,49.14,86
Progressive Passes Rec,1.82,54
Yellow Cards,0.29,35
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.31,49
Fouls Drawn,0.58,16
Offsides,0.00,75
Crosses,3.78,87
Interceptions,1.09,53
Tackles Won,0.65,10
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,5.89,36
Aerials won,0.80,44
Aerials lost,0.65,78
% of Aerials Won,55.0,75
