player,url,position
Jô,players/Corinthians/jô.csv,FW
Lucas Piton,players/Corinthians/lucas_piton.csv,DFFW
Cássio,players/Corinthians/cássio.csv,GK
Fausto Vera,players/Corinthians/fausto_vera.csv,MF
Mateus Vital,players/Corinthians/mateus_vital.csv,FWMF
Fábio Santos,players/Corinthians/fábio_santos.csv,DF
Adson,players/Corinthians/adson.csv,FWMF
Renato Augusto,players/Corinthians/renato_augusto.csv,MF
Gustavo Mosquito,players/Corinthians/gustavo_mosquito.csv,FWMF
Júnior Moraes,players/Corinthians/júnior_moraes.csv,FW
Du Queiroz,players/Corinthians/du_queiroz.csv,MF
Robson Bambu,players/Corinthians/robson_bambu.csv,DF
Bruno Melo,players/Corinthians/bruno_melo.csv,DFMF
Robert Renan,players/Corinthians/robert_renan.csv,DF
Giuliano de Paula,players/Corinthians/giuliano_de_paula.csv,MF
Bruno Méndez,players/Corinthians/bruno_méndez.csv,DF
Ramiro Benetti,players/Corinthians/ramiro_benetti.csv,MFFW
Budiga Roni,players/Corinthians/budiga_roni.csv,MF
Fagner,players/Corinthians/fagner.csv,DF
Yuri Alberto,players/Corinthians/yuri_alberto.csv,FW
João Victor,players/Corinthians/joão_victor.csv,DF
Víctor Cantillo,players/Corinthians/víctor_cantillo.csv,MF
Maycon,players/Corinthians/maycon.csv,MF
Raul Bicalho,players/Corinthians/raul_bicalho.csv,DF
Fabián Balbuena,players/Corinthians/fabián_balbuena.csv,DF
Roger Guedes,players/Corinthians/roger_guedes.csv,FWMF
Gil,players/Corinthians/gil.csv,DF
Gustavo Mantuan,players/Corinthians/gustavo_mantuan.csv,FWDF
Willian,players/Corinthians/willian.csv,FW
Rafael Ramos,players/Corinthians/rafael_ramos.csv,DF
