Non-Penalty Goals,0.00,21
Non-Penalty xG,0.01,14
Shots Total,0.38,21
Assists,0.05,29
xAG,0.07,34
npxG + xAG,0.08,21
Shot-Creating Actions,1.54,18
Passes Attempted,55.46,65
Pass Completion %,74.6,45
Progressive Passes,3.03,20
Progressive Carries,1.59,33
Successful Take-Ons,0.96,75
Touches (Att Pen),0.63,20
Progressive Passes Rec,3.66,40
Tackles,2.55,83
Interceptions,1.30,59
Blocks,1.01,50
Clearances,2.55,72
Aerials won,0.77,32
Goals,0.00,21
Assists,0.05,29
Goals + Assists,0.05,18
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.14,58
Red Cards,0.00,62
xG,0.01,14
Non-Penalty xG,0.01,14
xAG,0.07,34
npxG + xAG,0.08,21
Progressive Carries,1.59,33
Progressive Passes,3.03,20
Progressive Passes Rec,3.66,40
Goals,0.00,21
Shots Total,0.38,21
Shots on target,0.05,13
Shots on target %,12.5,15
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,24.70,17
Shots from free kicks,0.00,37
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.01,14
Non-Penalty xG,0.01,14
npxG/Sh,0.04,22
Goals - xG,-0.01,43
Non-Penalty Goals - npxG,-0.01,43
Passes Completed,41.37,61
Passes Attempted,55.46,65
Pass Completion %,74.6,45
Total Passing Distance,689.50,57
Progressive Passing Distance,263.55,58
Passes Completed (Short),20.59,64
Passes Attempted (Short),23.33,63
Pass Completion % (Short),88.2,50
Passes Completed (Medium),16.31,58
Passes Attempted (Medium),21.31,64
Pass Completion % (Medium),76.5,35
Passes Completed (Long),3.51,50
Passes Attempted (Long),7.26,49
Pass Completion % (Long),48.3,50
Assists,0.05,29
xAG,0.07,34
Expected Assists,0.07,30
Key Passes,0.67,25
Passes into Final Third,2.84,43
Passes into Penalty Area,0.87,40
Crosses into Penalty Area,0.29,22
Progressive Passes,3.03,20
Passes Attempted,55.46,65
Live-ball passes,44.59,63
Dead-ball passes,10.82,70
Passes from Free Kicks,1.01,55
Through Balls,0.00,17
Switches,0.10,13
Crosses,2.50,37
Throw-Ins taken,9.43,74
Corner Kicks,0.38,73
Inswinging Corner Kicks,0.14,78
Outswinging Corner Kicks,0.05,65
Straight Corner Kicks,0.00,47
Passes Completed,41.37,61
Passes Offside,0.05,86
Passes Blocked,1.78,6
Shot-Creating Actions,1.54,18
SCA (PassLive),1.20,24
SCA (PassDead),0.19,49
SCA (TO),0.00,14
SCA (Sh),0.00,9
SCA (Fld),0.10,66
SCA (Def),0.05,69
Goal-Creating Actions,0.05,6
GCA (PassLive),0.05,12
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,47
Tackles,2.55,83
Tackles Won,1.49,78
Tackles (Def 3rd),1.78,94
Tackles (Mid 3rd),0.67,55
Tackles (Att 3rd),0.10,21
Dribblers Tackled,1.40,80
Dribbles Challenged,2.26,74
% of dribblers tackled,61.7,62
Challenges Lost,0.87,34
Blocks,1.01,50
Shots Blocked,0.10,12
Passes Blocked,0.91,77
Interceptions,1.30,59
Tkl+Int,3.85,78
Clearances,2.55,72
Errors,0.00,66
Touches,65.13,63
Touches (Def Pen),3.27,54
Touches (Def 3rd),21.31,79
Touches (Mid 3rd),29.25,62
Touches (Att 3rd),15.44,42
Touches (Att Pen),0.63,20
Touches (Live-Ball),65.13,63
Take-Ons Attempted,1.54,59
Successful Take-Ons,0.96,75
Successful Take-On %,62.5,93
Times Tackled During Take-On,0.53,40
Tackled During Take-On Percentage,34.4,89
Carries,34.15,68
Total Carrying Distance,175.72,58
Progressive Carrying Distance,95.68,63
Progressive Carries,1.59,33
Carries into Final Third,1.35,47
Carries into Penalty Area,0.19,48
Miscontrols,0.63,92
Dispossessed,0.43,64
Passes Received,36.61,62
Progressive Passes Rec,3.66,40
Yellow Cards,0.14,58
Red Cards,0.00,62
Second Yellow Card,0.00,54
Fouls Committed,1.11,42
Fouls Drawn,0.96,55
Offsides,0.05,55
Crosses,2.50,37
Interceptions,1.30,59
Tackles Won,1.49,78
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,5.68,56
Aerials won,0.77,32
Aerials lost,1.59,8
% of Aerials Won,32.7,5
