Non-Penalty Goals,0.08,82
Non-Penalty xG,0.07,74
Shots Total,0.54,53
Assists,0.08,91
xAG,0.02,49
npxG + xAG,0.09,64
Shot-Creating Actions,0.50,22
Passes Attempted,54.68,70
Pass Completion %,83.3,54
Progressive Passes,2.61,41
Progressive Carries,0.38,40
Successful Take-Ons,0.15,44
Touches (Att Pen),0.77,43
Progressive Passes Rec,0.08,19
Tackles,1.50,64
Interceptions,1.88,88
Blocks,0.84,13
Clearances,3.42,25
Aerials won,1.92,33
Goals,0.08,81
Assists,0.08,91
Goals + Assists,0.15,89
Non-Penalty Goals,0.08,82
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.31,19
Red Cards,0.00,64
xG,0.07,72
Non-Penalty xG,0.07,74
xAG,0.02,49
npxG + xAG,0.09,64
Progressive Carries,0.38,40
Progressive Passes,2.61,41
Progressive Passes Rec,0.08,19
Goals,0.08,81
Shots Total,0.54,53
Shots on target,0.15,63
Shots on target %,28.6,64
Goals/Shot,0.14,79
Goals/Shot on target,0.50,75
Average Shot Distance,14.60,24
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.07,72
Non-Penalty xG,0.07,74
npxG/Sh,0.15,90
Goals - xG,0.01,72
Non-Penalty Goals - npxG,0.01,73
Passes Completed,45.54,69
Passes Attempted,54.68,70
Pass Completion %,83.3,54
Total Passing Distance,884.60,62
Progressive Passing Distance,321.41,54
Passes Completed (Short),15.13,75
Passes Attempted (Short),16.59,72
Pass Completion % (Short),91.2,71
Passes Completed (Medium),25.19,70
Passes Attempted (Medium),27.65,70
Pass Completion % (Medium),91.1,64
Passes Completed (Long),4.65,39
Passes Attempted (Long),8.87,51
Pass Completion % (Long),52.4,27
Assists,0.08,91
xAG,0.02,49
Expected Assists,0.02,42
Key Passes,0.19,42
Passes into Final Third,1.88,24
Passes into Penalty Area,0.19,61
Crosses into Penalty Area,0.12,86
Progressive Passes,2.61,41
Passes Attempted,54.68,70
Live-ball passes,53.45,74
Dead-ball passes,1.00,6
Passes from Free Kicks,0.92,20
Through Balls,0.00,29
Switches,1.00,91
Crosses,0.27,74
Throw-Ins taken,0.08,18
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,45.54,69
Passes Offside,0.23,12
Passes Blocked,0.38,36
Shot-Creating Actions,0.50,22
SCA (PassLive),0.42,25
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.04,33
SCA (Fld),0.04,81
SCA (Def),0.00,34
Goal-Creating Actions,0.08,60
GCA (PassLive),0.04,42
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.04,82
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.50,64
Tackles Won,0.81,53
Tackles (Def 3rd),1.23,82
Tackles (Mid 3rd),0.27,30
Tackles (Att 3rd),0.00,21
Dribblers Tackled,0.92,80
Dribbles Challenged,1.38,76
% of dribblers tackled,66.7,65
Challenges Lost,0.46,40
Blocks,0.84,13
Shots Blocked,0.46,13
Passes Blocked,0.38,42
Interceptions,1.88,88
Tkl+Int,3.38,81
Clearances,3.42,25
Errors,0.04,36
Touches,64.04,68
Touches (Def Pen),5.99,20
Touches (Def 3rd),33.94,70
Touches (Mid 3rd),28.84,72
Touches (Att 3rd),1.65,27
Touches (Att Pen),0.77,43
Touches (Live-Ball),64.04,68
Take-Ons Attempted,0.27,50
Successful Take-Ons,0.15,44
Successful Take-On %,57.1,43
Times Tackled During Take-On,0.12,64
Tackled During Take-On Percentage,42.9,26
Carries,42.62,85
Total Carrying Distance,217.70,85
Progressive Carrying Distance,113.65,76
Progressive Carries,0.38,40
Carries into Final Third,0.54,72
Carries into Penalty Area,0.08,88
Miscontrols,0.69,15
Dispossessed,0.19,34
Passes Received,44.50,80
Progressive Passes Rec,0.08,19
Yellow Cards,0.31,19
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.84,53
Fouls Drawn,0.77,76
Offsides,0.00,76
Crosses,0.27,74
Interceptions,1.88,88
Tackles Won,0.81,53
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.08,8
Own Goals,0.00,60
Ball Recoveries,5.07,44
Aerials won,1.92,33
Aerials lost,1.23,71
% of Aerials Won,61.0,53
