Non-Penalty Goals,0.05,45
Non-Penalty xG,0.09,66
Shots Total,2.22,96
Assists,0.15,81
xAG,0.27,99
npxG + xAG,0.36,94
Shot-Creating Actions,5.26,98
Passes Attempted,65.59,91
Pass Completion %,81.3,48
Progressive Passes,9.05,97
Progressive Carries,2.17,88
Successful Take-Ons,1.06,81
Touches (Att Pen),2.17,88
Progressive Passes Rec,5.76,95
Tackles,2.17,59
Interceptions,0.96,38
Blocks,0.91,31
Clearances,0.71,22
Aerials won,0.76,42
Non-Penalty Goals,0.05,3
Non-Penalty xG,0.09,6
Shots Total,2.22,56
Assists,0.15,38
xAG,0.27,80
npxG + xAG,0.36,37
Shot-Creating Actions,5.26,88
Passes Attempted,65.59,97
Pass Completion %,81.3,94
Progressive Passes,9.05,96
Progressive Carries,2.17,22
Successful Take-Ons,1.06,38
Touches (Att Pen),2.17,10
Progressive Passes Rec,5.76,25
Tackles,2.17,94
Interceptions,0.96,95
Blocks,0.91,57
Clearances,0.71,75
Aerials won,0.76,74
Goals,0.05,43
Assists,0.15,81
Goals + Assists,0.20,70
Non-Penalty Goals,0.05,45
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.10,87
Red Cards,0.00,62
xG,0.09,63
Non-Penalty xG,0.09,66
xAG,0.27,99
npxG + xAG,0.36,94
Progressive Carries,2.17,88
Progressive Passes,9.05,97
Progressive Passes Rec,5.76,95
Goals,0.05,43
Shots Total,2.22,96
Shots on target,0.56,87
Shots on target %,25.0,44
Goals/Shot,0.02,32
Goals/Shot on target,0.09,30
Average Shot Distance,23.00,46
Shots from free kicks,0.05,74
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.09,63
Non-Penalty xG,0.09,66
npxG/Sh,0.04,17
Goals - xG,-0.04,19
Non-Penalty Goals - npxG,-0.04,20
Passes Completed,53.31,87
Passes Attempted,65.59,91
Pass Completion %,81.3,48
Total Passing Distance,925.82,84
Progressive Passing Distance,271.01,78
Passes Completed (Short),25.27,92
Passes Attempted (Short),28.70,93
Pass Completion % (Short),88.0,48
Passes Completed (Medium),20.52,78
Passes Attempted (Medium),23.80,81
Pass Completion % (Medium),86.2,46
Passes Completed (Long),6.01,84
Passes Attempted (Long),9.60,84
Pass Completion % (Long),62.6,45
Assists,0.15,81
xAG,0.27,99
Expected Assists,0.17,90
Key Passes,2.53,98
Passes into Final Third,7.38,95
Passes into Penalty Area,0.96,76
Crosses into Penalty Area,0.00,7
Progressive Passes,9.05,97
