Non-Penalty Goals,0.00,21
Non-Penalty xG,0.01,4
Shots Total,0.30,18
Assists,0.00,29
xAG,0.00,3
npxG + xAG,0.01,1
Shot-Creating Actions,0.40,12
Passes Attempted,51.80,60
Pass Completion %,84.7,66
Progressive Passes,2.40,33
Progressive Carries,0.50,52
Successful Take-Ons,0.20,58
Touches (Att Pen),0.10,1
Progressive Passes Rec,0.00,2
Tackles,1.70,76
Interceptions,1.90,89
Blocks,0.80,10
Clearances,5.10,86
Aerials won,1.00,2
Goals,0.00,21
Assists,0.00,29
Goals + Assists,0.00,13
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.20,48
Red Cards,0.00,62
xG,0.01,4
Non-Penalty xG,0.01,4
xAG,0.00,3
npxG + xAG,0.01,1
Progressive Carries,0.50,52
Progressive Passes,2.40,33
Progressive Passes Rec,0.00,2
Goals,0.00,21
Shots Total,0.30,18
Shots on target,0.00,5
Shots on target %,0.0,5
Goals/Shot,0.00,21
Average Shot Distance,32.20,1
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.01,4
Non-Penalty xG,0.01,4
npxG/Sh,0.02,1
Goals - xG,-0.01,56
Non-Penalty Goals - npxG,-0.01,56
Passes Completed,43.90,65
Passes Attempted,51.80,60
Pass Completion %,84.7,66
Total Passing Distance,829.10,54
Progressive Passing Distance,301.40,45
Passes Completed (Short),15.00,73
Passes Attempted (Short),16.50,70
Pass Completion % (Short),90.9,66
Passes Completed (Medium),24.10,64
Passes Attempted (Medium),25.30,57
Pass Completion % (Medium),95.3,98
Passes Completed (Long),3.90,24
Passes Attempted (Long),8.20,41
Pass Completion % (Long),47.6,12
Assists,0.00,29
xAG,0.00,3
Expected Assists,0.01,17
Key Passes,0.00,1
Passes into Final Third,3.10,68
Passes into Penalty Area,0.10,38
Crosses into Penalty Area,0.00,29
Progressive Passes,2.40,33
Passes Attempted,51.80,60
Live-ball passes,50.30,65
Dead-ball passes,1.20,11
Passes from Free Kicks,1.20,36
Through Balls,0.00,29
Switches,0.60,68
Crosses,0.00,10
Throw-Ins taken,0.00,3
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,43.90,65
Passes Offside,0.30,4
Passes Blocked,0.30,55
Shot-Creating Actions,0.40,12
SCA (PassLive),0.40,21
SCA (PassDead),0.00,30
SCA (TO),0.00,39
SCA (Sh),0.00,13
SCA (Fld),0.00,37
SCA (Def),0.00,34
Goal-Creating Actions,0.00,11
GCA (PassLive),0.00,17
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.70,76
Tackles Won,1.10,82
Tackles (Def 3rd),1.10,74
Tackles (Mid 3rd),0.50,77
Tackles (Att 3rd),0.10,85
Dribblers Tackled,1.10,91
Dribbles Challenged,1.50,80
% of dribblers tackled,73.3,84
Challenges Lost,0.40,51
Blocks,0.80,10
Shots Blocked,0.50,18
Passes Blocked,0.30,27
Interceptions,1.90,89
Tkl+Int,3.60,88
Clearances,5.10,86
Errors,0.00,74
Touches,62.60,63
Touches (Def Pen),8.50,68
Touches (Def 3rd),32.00,60
Touches (Mid 3rd),29.90,75
Touches (Att 3rd),1.10,8
Touches (Att Pen),0.10,1
Touches (Live-Ball),62.60,63
Take-Ons Attempted,0.20,36
Successful Take-Ons,0.20,58
Successful Take-On %,100.0,92
Times Tackled During Take-On,0.00,10
Tackled During Take-On Percentage,0.0,90
Carries,39.50,79
Total Carrying Distance,219.20,85
Progressive Carrying Distance,137.20,87
Progressive Carries,0.50,52
Carries into Final Third,0.10,9
Carries into Penalty Area,0.00,25
Miscontrols,0.90,6
Dispossessed,0.30,16
Passes Received,41.50,70
Progressive Passes Rec,0.00,2
Yellow Cards,0.20,48
Red Cards,0.00,62
Second Yellow Card,0.00,56
Fouls Committed,0.60,83
Fouls Drawn,0.20,9
Offsides,0.00,75
Crosses,0.00,10
Interceptions,1.90,89
Tackles Won,1.10,82
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.00,61
Ball Recoveries,4.30,20
Aerials won,1.00,2
Aerials lost,1.70,36
% of Aerials Won,37.0,1
