Non-Penalty Goals,0.00,21
Non-Penalty xG,0.05,54
Shots Total,0.67,72
Assists,0.00,29
xAG,0.00,3
npxG + xAG,0.05,29
Shot-Creating Actions,0.33,6
Passes Attempted,46.17,38
Pass Completion %,83.7,57
Progressive Passes,1.34,4
Progressive Carries,0.00,1
Successful Take-Ons,0.33,80
Touches (Att Pen),1.17,76
Progressive Passes Rec,0.00,2
Tackles,2.34,95
Interceptions,1.51,65
Blocks,1.00,29
Clearances,5.35,92
Aerials won,1.67,24
Goals,0.00,21
Assists,0.00,29
Goals + Assists,0.00,14
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.17,62
Red Cards,0.00,64
xG,0.05,52
Non-Penalty xG,0.05,54
xAG,0.00,3
npxG + xAG,0.05,29
Progressive Carries,0.00,1
Progressive Passes,1.34,4
Progressive Passes Rec,0.00,2
Goals,0.00,21
Shots Total,0.67,72
Shots on target,0.17,68
Shots on target %,25.0,52
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,8.40,95
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.05,52
Non-Penalty xG,0.05,54
npxG/Sh,0.06,15
Goals - xG,-0.05,14
Non-Penalty Goals - npxG,-0.05,13
Passes Completed,38.64,45
Passes Attempted,46.17,38
Pass Completion %,83.7,57
Total Passing Distance,723.85,32
Progressive Passing Distance,249.59,17
Passes Completed (Short),13.88,64
Passes Attempted (Short),15.56,64
Pass Completion % (Short),89.2,47
Passes Completed (Medium),18.07,26
Passes Attempted (Medium),20.07,20
Pass Completion % (Medium),90.0,51
Passes Completed (Long),4.68,40
Passes Attempted (Long),7.70,33
Pass Completion % (Long),60.9,58
Assists,0.00,29
xAG,0.00,3
Expected Assists,0.00,1
Key Passes,0.17,34
Passes into Final Third,1.51,13
Passes into Penalty Area,0.17,58
Crosses into Penalty Area,0.00,29
Progressive Passes,1.34,4
Passes Attempted,46.17,38
Live-ball passes,44.00,41
Dead-ball passes,2.17,51
Passes from Free Kicks,1.34,46
Through Balls,0.00,29
Switches,0.33,33
Crosses,0.00,10
Throw-Ins taken,0.84,72
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,38.64,45
Passes Offside,0.00,94
Passes Blocked,0.84,4
Shot-Creating Actions,0.33,6
SCA (PassLive),0.17,2
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.17,92
SCA (Fld),0.00,37
SCA (Def),0.00,34
Goal-Creating Actions,0.00,12
GCA (PassLive),0.00,17
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,2.34,95
Tackles Won,1.67,99
Tackles (Def 3rd),1.17,78
Tackles (Mid 3rd),1.17,99
Tackles (Att 3rd),0.00,21
Dribblers Tackled,1.51,99
Dribbles Challenged,2.34,99
% of dribblers tackled,64.3,58
Challenges Lost,0.84,3
Blocks,1.00,29
Shots Blocked,0.50,18
Passes Blocked,0.50,68
Interceptions,1.51,65
Tkl+Int,3.85,92
Clearances,5.35,92
Errors,0.17,1
Touches,59.55,52
Touches (Def Pen),8.36,65
Touches (Def 3rd),32.29,60
Touches (Mid 3rd),25.26,47
Touches (Att 3rd),2.51,57
Touches (Att Pen),1.17,76
Touches (Live-Ball),59.55,52
Take-Ons Attempted,0.50,77
Successful Take-Ons,0.33,80
Successful Take-On %,66.7,58
Times Tackled During Take-On,0.00,10
Tackled During Take-On Percentage,0.0,90
Carries,32.29,54
Total Carrying Distance,147.21,41
Progressive Carrying Distance,63.57,20
Progressive Carries,0.00,1
Carries into Final Third,0.50,69
Carries into Penalty Area,0.00,25
Miscontrols,1.17,1
Dispossessed,0.17,41
Passes Received,36.13,54
Progressive Passes Rec,0.00,2
Yellow Cards,0.17,62
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.84,54
Fouls Drawn,0.84,83
Offsides,0.00,76
Crosses,0.00,10
Interceptions,1.51,65
Tackles Won,1.67,99
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.00,60
Ball Recoveries,6.19,81
Aerials won,1.67,24
Aerials lost,1.00,87
% of Aerials Won,62.5,61
