Non-Penalty Goals,0.27,24
Non-Penalty xG,0.30,31
Shots Total,2.62,48
Assists,0.06,28
xAG,0.11,56
npxG + xAG,0.41,35
Shot-Creating Actions,2.89,78
Passes Attempted,35.07,99
Pass Completion %,79.7,94
Progressive Passes,3.04,93
Progressive Carries,2.40,92
Successful Take-Ons,1.00,77
Touches (Att Pen),3.71,19
Progressive Passes Rec,7.51,91
Tackles,0.30,10
Interceptions,0.09,19
Blocks,0.27,10
Clearances,0.33,14
Aerials won,1.10,22
Non-Penalty Goals,0.27,72
Non-Penalty xG,0.30,84
Shots Total,2.62,73
Assists,0.06,11
xAG,0.11,16
npxG + xAG,0.41,59
Shot-Creating Actions,2.89,20
Passes Attempted,35.07,45
Pass Completion %,79.7,88
Progressive Passes,3.04,34
Progressive Carries,2.40,31
Successful Take-Ons,1.00,33
Touches (Att Pen),3.71,62
Progressive Passes Rec,7.51,55
Tackles,0.30,1
Interceptions,0.09,1
Blocks,0.27,2
Clearances,0.33,30
Aerials won,1.10,83
Goals,0.30,24
Assists,0.06,28
Goals + Assists,0.37,20
Non-Penalty Goals,0.27,24
Penalty Kicks Made,0.03,50
Penalty Kicks Attempted,0.06,59
Yellow Cards,0.18,40
Red Cards,0.00,58
xG,0.35,37
Non-Penalty xG,0.30,31
xAG,0.11,56
npxG + xAG,0.41,35
Progressive Carries,2.40,92
Progressive Passes,3.04,93
Progressive Passes Rec,7.51,91
Goals,0.30,24
Shots Total,2.62,48
Shots on target,1.00,50
Shots on target %,38.4,46
Goals/Shot,0.10,14
Goals/Shot on target,0.27,14
Average Shot Distance,17.60,12
Shots from free kicks,0.58,98
Penalty Kicks Made,0.03,50
Penalty Kicks Attempted,0.06,59
xG,0.35,37
Non-Penalty xG,0.30,31
npxG/Sh,0.11,20
Goals - xG,-0.04,26
Non-Penalty Goals - npxG,-0.03,26
Passes Completed,27.95,99
Passes Attempted,35.07,99
Pass Completion %,79.7,94
Total Passing Distance,437.65,98
Progressive Passing Distance,81.00,95
Passes Completed (Short),15.51,99
Passes Attempted (Short),17.49,99
Pass Completion % (Short),88.7,99
Passes Completed (Medium),8.70,98
Passes Attempted (Medium),10.58,97
Pass Completion % (Medium),82.2,90
Passes Completed (Long),2.43,95
Passes Attempted (Long),3.50,95
Pass Completion % (Long),69.6,75
Assists,0.06,28
xAG,0.11,56
Expected Assists,0.10,62
Key Passes,1.25,78
Passes into Final Third,2.22,96
Passes into Penalty Area,0.58,57
Crosses into Penalty Area,0.00,16
Progressive Passes,3.04,93
Passes Attempted,35.07,99
Live-ball passes,33.15,99
Dead-ball passes,1.76,67
Passes from Free Kicks,0.43,96
Through Balls,0.27,94
Switches,0.55,96
Crosses,0.88,78
Throw-Ins taken,0.67,97
Corner Kicks,0.33,93
Inswinging Corner Kicks,0.15,94
Outswinging Corner Kicks,0.06,94
Straight Corner Kicks,0.00,49
Passes Completed,27.95,99
Passes Offside,0.15,37
Passes Blocked,1.16,8
Shot-Creating Actions,2.89,78
SCA (PassLive),1.95,77
SCA (PassDead),0.09,93
SCA (TO),0.27,78
SCA (Sh),0.33,63
SCA (Fld),0.24,59
SCA (Def),0.00,23
Goal-Creating Actions,0.40,78
GCA (PassLive),0.18,55
GCA (PassDead),0.00,48
GCA (TO),0.03,57
GCA (Sh),0.18,96
GCA (Fld),0.00,27
GCA (Def),0.00,47
Tackles,0.30,10
Tackles Won,0.12,8
Tackles (Def 3rd),0.03,11
Tackles (Mid 3rd),0.15,22
Tackles (Att 3rd),0.12,29
Dribblers Tackled,0.06,9
Dribbles Challenged,0.24,4
% of dribblers tackled,25.0,30
Challenges Lost,0.18,92
Blocks,0.27,10
Shots Blocked,0.06,30
Passes Blocked,0.21,11
Interceptions,0.09,19
Tkl+Int,0.40,10
Clearances,0.33,14
Errors,0.00,51
Touches,44.38,98
Touches (Def Pen),0.70,28
Touches (Def 3rd),3.80,91
Touches (Mid 3rd),19.98,96
Touches (Att 3rd),21.14,92
Touches (Att Pen),3.71,19
Touches (Live-Ball),44.32,98
Take-Ons Attempted,2.52,79
Successful Take-Ons,1.00,77
Successful Take-On %,39.8,40
Times Tackled During Take-On,1.34,79
Tackled During Take-On Percentage,53.0,41
Carries,28.93,98
Total Carrying Distance,181.95,98
Progressive Carrying Distance,81.54,98
Progressive Carries,2.40,92
Carries into Final Third,1.79,94
Carries into Penalty Area,1.22,92
Miscontrols,2.37,65
Dispossessed,0.82,83
Passes Received,36.29,99
Progressive Passes Rec,7.51,91
Yellow Cards,0.18,40
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,0.61,92
Fouls Drawn,1.73,74
Offsides,0.37,79
Crosses,0.88,78
Interceptions,0.09,19
Tackles Won,0.12,8
Penalty Kicks Won,0.00,28
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,2.77,72
Aerials won,1.10,22
Aerials lost,1.28,89
% of Aerials Won,46.2,67
Goals,0.30,68
Assists,0.06,11
Goals + Assists,0.37,41
Non-Penalty Goals,0.27,72
Penalty Kicks Made,0.03,69
Penalty Kicks Attempted,0.06,73
Yellow Cards,0.18,44
Red Cards,0.00,59
xG,0.35,84
Non-Penalty xG,0.30,84
xAG,0.11,16
npxG + xAG,0.41,59
Progressive Carries,2.40,31
Progressive Passes,3.04,34
Progressive Passes Rec,7.51,55
Goals,0.30,68
Shots Total,2.62,73
Shots on target,1.00,84
Shots on target %,38.4,73
Goals/Shot,0.10,55
Goals/Shot on target,0.27,48
Average Shot Distance,17.60,67
Shots from free kicks,0.58,97
Penalty Kicks Made,0.03,69
Penalty Kicks Attempted,0.06,73
xG,0.35,84
Non-Penalty xG,0.30,84
npxG/Sh,0.11,66
Goals - xG,-0.04,36
Non-Penalty Goals - npxG,-0.03,41
Passes Completed,27.95,58
Passes Attempted,35.07,45
Pass Completion %,79.7,88
Total Passing Distance,437.65,55
Progressive Passing Distance,81.00,23
Passes Completed (Short),15.51,63
Passes Attempted (Short),17.49,56
Pass Completion % (Short),88.7,83
Passes Completed (Medium),8.70,52
Passes Attempted (Medium),10.58,41
Pass Completion % (Medium),82.2,87
Passes Completed (Long),2.43,57
Passes Attempted (Long),3.50,40
Pass Completion % (Long),69.6,98
Assists,0.06,11
xAG,0.11,16
Expected Assists,0.10,15
Key Passes,1.25,23
Passes into Final Third,2.22,48
Passes into Penalty Area,0.58,5
Crosses into Penalty Area,0.00,2
Progressive Passes,3.04,34
Passes Attempted,35.07,45
Live-ball passes,33.15,52
Dead-ball passes,1.76,38
Passes from Free Kicks,0.43,47
Through Balls,0.27,65
Switches,0.55,79
Crosses,0.88,9
Throw-Ins taken,0.67,58
Corner Kicks,0.33,38
Inswinging Corner Kicks,0.15,39
Outswinging Corner Kicks,0.06,41
Straight Corner Kicks,0.00,38
Passes Completed,27.95,58
Passes Offside,0.15,54
Passes Blocked,1.16,41
Shot-Creating Actions,2.89,20
SCA (PassLive),1.95,23
SCA (PassDead),0.09,34
SCA (TO),0.27,55
SCA (Sh),0.33,80
SCA (Fld),0.24,59
SCA (Def),0.00,20
Goal-Creating Actions,0.40,48
