Non-Penalty Goals,0.00,16
Non-Penalty xG,0.00,1
Shots Total,0.08,1
Assists,0.00,13
xAG,0.02,13
npxG + xAG,0.02,1
Shot-Creating Actions,1.78,28
Passes Attempted,67.22,93
Pass Completion %,85.8,79
Progressive Passes,6.57,83
Progressive Carries,0.89,38
Successful Take-Ons,0.57,44
Touches (Att Pen),0.16,4
Progressive Passes Rec,0.81,18
Tackles,2.27,63
Interceptions,1.22,63
Blocks,1.22,63
Clearances,1.86,90
Aerials won,1.22,76
Goals,0.00,16
Assists,0.00,13
Goals + Assists,0.00,7
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.16,70
Red Cards,0.08,1
xG,0.00,1
Non-Penalty xG,0.00,1
xAG,0.02,13
npxG + xAG,0.02,1
Progressive Carries,0.89,38
Progressive Passes,6.57,83
Progressive Passes Rec,0.81,18
Goals,0.00,16
Shots Total,0.08,1
Shots on target,0.00,2
Shots on target %,0.0,2
Goals/Shot,0.00,16
Average Shot Distance,33.20,1
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.00,1
Non-Penalty xG,0.00,1
npxG/Sh,0.01,1
Goals - xG,0.00,61
Non-Penalty Goals - npxG,0.00,61
Passes Completed,57.65,93
Passes Attempted,67.22,93
Pass Completion %,85.8,79
Total Passing Distance,1075.14,95
Progressive Passing Distance,289.86,83
Passes Completed (Short),23.43,86
Passes Attempted (Short),25.14,84
Pass Completion % (Short),93.2,94
Passes Completed (Medium),25.95,95
Passes Attempted (Medium),28.95,96
Pass Completion % (Medium),89.6,75
Passes Completed (Long),6.97,91
Passes Attempted (Long),10.46,88
Pass Completion % (Long),66.7,59
Assists,0.00,13
xAG,0.02,13
Expected Assists,0.07,48
Key Passes,0.81,46
Passes into Final Third,5.92,83
Passes into Penalty Area,0.57,47
Crosses into Penalty Area,0.00,7
Progressive Passes,6.57,83
Passes Attempted,67.22,93
Live-ball passes,62.03,92
Dead-ball passes,5.11,84
Passes from Free Kicks,2.92,92
Through Balls,0.00,6
Switches,1.38,97
Crosses,2.03,72
Throw-Ins taken,0.32,63
Corner Kicks,1.86,83
Inswinging Corner Kicks,0.81,82
Outswinging Corner Kicks,0.49,83
Straight Corner Kicks,0.00,42
Passes Completed,57.65,93
Passes Offside,0.08,75
Passes Blocked,0.65,64
Shot-Creating Actions,1.78,28
SCA (PassLive),1.22,15
SCA (PassDead),0.49,77
SCA (TO),0.00,17
SCA (Sh),0.00,8
SCA (Fld),0.00,10
SCA (Def),0.08,74
Goal-Creating Actions,0.08,18
GCA (PassLive),0.08,25
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,2.27,63
Tackles Won,1.22,56
Tackles (Def 3rd),0.97,68
Tackles (Mid 3rd),1.05,60
Tackles (Att 3rd),0.24,56
Dribblers Tackled,1.30,83
Dribbles Challenged,2.59,79
% of dribblers tackled,50.0,65
Challenges Lost,1.30,30
Blocks,1.22,63
Shots Blocked,0.57,95
Passes Blocked,0.65,28
Interceptions,1.22,63
Tkl+Int,3.49,63
Clearances,1.86,90
Errors,0.00,67
Touches,75.08,91
Touches (Def Pen),2.76,77
Touches (Def 3rd),15.81,81
Touches (Mid 3rd),49.78,97
Touches (Att 3rd),10.05,35
Touches (Att Pen),0.16,4
Touches (Live-Ball),75.08,91
Take-Ons Attempted,0.65,16
Successful Take-Ons,0.57,44
Successful Take-On %,87.5,99
Times Tackled During Take-On,0.08,2
Tackled During Take-On Percentage,12.5,98
Carries,47.35,95
Total Carrying Distance,216.08,88
Progressive Carrying Distance,111.16,91
Progressive Carries,0.89,38
Carries into Final Third,1.14,51
Carries into Penalty Area,0.00,5
Miscontrols,0.65,92
Dispossessed,0.32,95
Passes Received,50.35,88
Progressive Passes Rec,0.81,18
Yellow Cards,0.16,70
Red Cards,0.08,1
Second Yellow Card,0.00,57
Fouls Committed,1.14,63
Fouls Drawn,2.03,92
Offsides,0.00,75
Crosses,2.03,72
Interceptions,1.22,63
Tackles Won,1.22,56
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,7.78,87
Aerials won,1.22,76
Aerials lost,0.57,86
% of Aerials Won,68.2,96
