Non-Penalty Goals,0.22,47
Non-Penalty xG,0.18,33
Shots Total,1.72,25
Assists,0.15,29
xAG,0.19,41
npxG + xAG,0.37,37
Shot-Creating Actions,4.48,75
Passes Attempted,37.72,45
Pass Completion %,79.2,69
Progressive Passes,5.23,78
Progressive Carries,4.03,77
Successful Take-Ons,1.42,55
Touches (Att Pen),3.29,31
Progressive Passes Rec,5.75,20
Tackles,0.75,12
Interceptions,0.52,50
Blocks,0.60,12
Clearances,0.30,35
Aerials won,0.45,45
Goals,0.22,34
Assists,0.15,29
Goals + Assists,0.37,27
Non-Penalty Goals,0.22,47
Penalty Kicks Made,0.00,31
Penalty Kicks Attempted,0.00,29
Yellow Cards,0.00,95
Red Cards,0.00,57
xG,0.18,24
Non-Penalty xG,0.18,33
xAG,0.19,41
npxG + xAG,0.37,37
Progressive Carries,4.03,77
Progressive Passes,5.23,78
Progressive Passes Rec,5.75,20
Goals,0.22,34
Shots Total,1.72,25
Shots on target,0.82,54
Shots on target %,47.8,91
Goals/Shot,0.13,61
Goals/Shot on target,0.27,36
Average Shot Distance,16.40,71
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,31
Penalty Kicks Attempted,0.00,29
xG,0.18,24
Non-Penalty xG,0.18,33
npxG/Sh,0.11,60
Goals - xG,0.04,62
Non-Penalty Goals - npxG,0.04,61
Passes Completed,29.88,49
Passes Attempted,37.72,45
Pass Completion %,79.2,69
Total Passing Distance,506.99,61
Progressive Passing Distance,104.71,43
Passes Completed (Short),15.09,38
Passes Attempted (Short),17.55,35
Pass Completion % (Short),86.0,38
Passes Completed (Medium),10.31,58
Passes Attempted (Medium),12.62,56
Pass Completion % (Medium),81.7,69
Passes Completed (Long),3.44,78
Passes Attempted (Long),5.38,70
Pass Completion % (Long),63.9,80
Assists,0.15,29
xAG,0.19,41
Expected Assists,0.10,12
Key Passes,1.87,54
Passes into Final Third,1.87,45
Passes into Penalty Area,1.42,53
Crosses into Penalty Area,0.07,13
Progressive Passes,5.23,78
Passes Attempted,37.72,45
Live-ball passes,36.22,48
Dead-ball passes,1.42,36
Passes from Free Kicks,0.22,32
Through Balls,0.22,54
Switches,0.67,86
Crosses,2.02,34
Throw-Ins taken,0.15,9
Corner Kicks,1.05,53
Inswinging Corner Kicks,0.22,44
Outswinging Corner Kicks,0.30,62
Straight Corner Kicks,0.00,39
Passes Completed,29.88,49
Passes Offside,0.07,83
Passes Blocked,0.82,87
Shot-Creating Actions,4.48,75
SCA (PassLive),3.29,86
SCA (PassDead),0.45,63
SCA (TO),0.22,42
SCA (Sh),0.22,41
SCA (Fld),0.22,68
SCA (Def),0.07,76
Goal-Creating Actions,0.60,70
GCA (PassLive),0.37,64
GCA (PassDead),0.07,83
GCA (TO),0.07,81
GCA (Sh),0.07,83
GCA (Fld),0.00,22
GCA (Def),0.00,43
Tackles,0.75,12
Tackles Won,0.45,18
Tackles (Def 3rd),0.45,58
Tackles (Mid 3rd),0.15,1
Tackles (Att 3rd),0.15,11
Dribblers Tackled,0.45,39
Dribbles Challenged,0.97,35
% of dribblers tackled,46.2,80
Challenges Lost,0.52,80
Blocks,0.60,12
Shots Blocked,0.00,11
Passes Blocked,0.60,18
Interceptions,0.52,50
Tkl+Int,1.27,18
Clearances,0.30,35
Errors,0.00,60
Touches,46.76,31
Touches (Def Pen),0.30,13
Touches (Def 3rd),5.60,57
Touches (Mid 3rd),16.81,23
Touches (Att 3rd),25.24,55
Touches (Att Pen),3.29,31
Touches (Live-Ball),46.76,31
Take-Ons Attempted,2.61,33
Successful Take-Ons,1.42,55
Successful Take-On %,54.3,87
Times Tackled During Take-On,0.75,9
Tackled During Take-On Percentage,28.6,99
Carries,31.29,40
Total Carrying Distance,226.31,70
Progressive Carrying Distance,115.17,75
Progressive Carries,4.03,77
Carries into Final Third,3.44,94
Carries into Penalty Area,1.20,61
Miscontrols,1.87,78
Dispossessed,1.12,76
Passes Received,33.68,28
Progressive Passes Rec,5.75,20
Yellow Cards,0.00,95
Red Cards,0.00,57
Second Yellow Card,0.00,54
Fouls Committed,0.37,97
Fouls Drawn,1.12,25
Offsides,0.15,77
Crosses,2.02,34
Interceptions,0.52,50
Tackles Won,0.45,18
Penalty Kicks Won,0.00,26
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,5.38,80
Aerials won,0.45,45
Aerials lost,0.82,58
% of Aerials Won,35.3,58
