Non-Penalty Goals,0.04,53
Non-Penalty xG,0.12,97
Shots Total,0.82,90
Assists,0.00,31
xAG,0.02,61
npxG + xAG,0.14,96
Shot-Creating Actions,1.28,93
Passes Attempted,88.91,99
Pass Completion %,93.4,98
Progressive Passes,7.47,99
Progressive Carries,2.33,99
Successful Take-Ons,0.16,45
Touches (Att Pen),1.13,79
Progressive Passes Rec,0.43,74
Tackles,0.86,8
Interceptions,0.54,2
Blocks,0.78,7
Clearances,2.37,6
Aerials won,2.22,61
Goals,0.04,52
Assists,0.00,31
Goals + Assists,0.04,35
Non-Penalty Goals,0.04,53
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.04,98
Red Cards,0.00,63
xG,0.12,97
Non-Penalty xG,0.12,97
xAG,0.02,61
npxG + xAG,0.14,96
Progressive Carries,2.33,99
Progressive Passes,7.47,99
Progressive Passes Rec,0.43,74
Goals,0.04,52
Shots Total,0.82,90
Shots on target,0.16,66
Shots on target %,19.0,34
Goals/Shot,0.05,42
Goals/Shot on target,0.25,45
Average Shot Distance,13.10,43
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.12,97
Non-Penalty xG,0.12,97
npxG/Sh,0.15,87
Goals - xG,-0.08,3
Non-Penalty Goals - npxG,-0.08,3
Passes Completed,83.00,99
Passes Attempted,88.91,99
Pass Completion %,93.4,98
Total Passing Distance,1529.92,99
Progressive Passing Distance,470.46,93
Passes Completed (Short),31.78,99
Passes Attempted (Short),32.94,99
Pass Completion % (Short),96.5,99
Passes Completed (Medium),43.44,99
Passes Attempted (Medium),45.39,99
Pass Completion % (Medium),95.7,96
Passes Completed (Long),6.96,83
Passes Attempted (Long),9.02,61
Pass Completion % (Long),77.2,96
Assists,0.00,31
xAG,0.02,61
Expected Assists,0.04,80
Key Passes,0.31,72
Passes into Final Third,8.56,99
Passes into Penalty Area,0.35,83
Crosses into Penalty Area,0.04,67
Progressive Passes,7.47,99
Passes Attempted,88.91,99
Live-ball passes,87.24,99
Dead-ball passes,1.52,19
Passes from Free Kicks,0.93,12
Through Balls,0.04,62
Switches,0.54,60
Crosses,0.19,65
Throw-Ins taken,0.51,69
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,83.00,99
Passes Offside,0.16,36
Passes Blocked,0.19,86
Shot-Creating Actions,1.28,93
SCA (PassLive),1.21,96
SCA (PassDead),0.00,31
SCA (TO),0.00,38
SCA (Sh),0.04,43
SCA (Fld),0.04,81
SCA (Def),0.00,33
Goal-Creating Actions,0.16,88
GCA (PassLive),0.12,87
GCA (PassDead),0.00,48
GCA (TO),0.00,49
GCA (Sh),0.00,41
GCA (Fld),0.04,96
GCA (Def),0.00,48
Tackles,0.86,8
Tackles Won,0.47,6
Tackles (Def 3rd),0.62,13
Tackles (Mid 3rd),0.23,11
Tackles (Att 3rd),0.00,15
Dribblers Tackled,0.31,4
Dribbles Challenged,0.43,2
% of dribblers tackled,72.7,78
Challenges Lost,0.12,96
Blocks,0.78,7
Shots Blocked,0.39,8
Passes Blocked,0.39,31
Interceptions,0.54,2
Tkl+Int,1.40,3
Clearances,2.37,6
Errors,0.04,49
Touches,95.56,99
Touches (Def Pen),7.16,43
Touches (Def 3rd),32.40,57
Touches (Mid 3rd),55.62,99
Touches (Att 3rd),7.74,95
Touches (Att Pen),1.13,79
Touches (Live-Ball),95.56,99
Take-Ons Attempted,0.19,34
Successful Take-Ons,0.16,45
Successful Take-On %,80.0,79
Times Tackled During Take-On,0.04,29
Tackled During Take-On Percentage,20.0,68
Carries,71.56,99
Total Carrying Distance,401.85,99
Progressive Carrying Distance,282.02,99
Progressive Carries,2.33,99
Carries into Final Third,2.57,99
Carries into Penalty Area,0.00,23
Miscontrols,0.23,83
Dispossessed,0.27,23
Passes Received,77.09,99
Progressive Passes Rec,0.43,74
Yellow Cards,0.04,98
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,0.43,96
Fouls Drawn,0.31,19
Offsides,0.04,38
Crosses,0.19,65
Interceptions,0.54,2
Tackles Won,0.47,6
Penalty Kicks Won,0.04,96
Penalty Kicks Conceded,0.04,30
Own Goals,0.00,61
Ball Recoveries,5.41,44
Aerials won,2.22,61
Aerials lost,1.17,60
% of Aerials Won,65.5,72
