Non-Penalty Goals,0.14,80
Non-Penalty xG,0.13,80
Shots Total,1.10,59
Assists,0.25,95
xAG,0.15,85
npxG + xAG,0.28,83
Shot-Creating Actions,3.58,89
Passes Attempted,64.48,84
Pass Completion %,87.3,84
Progressive Passes,5.49,60
Progressive Carries,4.14,99
Successful Take-Ons,1.46,93
Touches (Att Pen),4.20,99
Progressive Passes Rec,7.89,99
Tackles,1.94,40
Interceptions,0.65,15
Blocks,0.87,16
Clearances,0.34,2
Aerials won,0.11,1
Non-Penalty Goals,0.14,18
Non-Penalty xG,0.13,9
Shots Total,1.10,4
Assists,0.25,66
xAG,0.15,27
npxG + xAG,0.28,8
Shot-Creating Actions,3.58,40
Passes Attempted,64.48,97
Pass Completion %,87.3,99
Progressive Passes,5.49,83
Progressive Carries,4.14,79
Successful Take-Ons,1.46,55
Touches (Att Pen),4.20,53
Progressive Passes Rec,7.89,51
Tackles,1.94,88
Interceptions,0.65,71
Blocks,0.87,42
Clearances,0.34,42
Aerials won,0.11,9
Goals,0.14,77
Assists,0.25,95
Goals + Assists,0.39,90
Non-Penalty Goals,0.14,80
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.11,86
Red Cards,0.00,58
xG,0.13,76
Non-Penalty xG,0.13,80
xAG,0.15,85
npxG + xAG,0.28,83
Progressive Carries,4.14,99
Progressive Passes,5.49,60
Progressive Passes Rec,7.89,99
Goals,0.14,77
Shots Total,1.10,59
Shots on target,0.39,71
Shots on target %,35.9,75
Goals/Shot,0.13,83
Goals/Shot on target,0.36,71
Average Shot Distance,16.20,87
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.13,76
Non-Penalty xG,0.13,80
npxG/Sh,0.12,90
Goals - xG,0.01,65
Non-Penalty Goals - npxG,0.01,65
Passes Completed,56.28,85
Passes Attempted,64.48,84
Pass Completion %,87.3,84
Total Passing Distance,904.90,80
Progressive Passing Distance,165.41,34
Passes Completed (Short),30.37,93
Passes Attempted (Short),32.68,92
Pass Completion % (Short),92.9,89
Passes Completed (Medium),20.54,79
Passes Attempted (Medium),23.04,79
Pass Completion % (Medium),89.1,67
Passes Completed (Long),3.94,54
Passes Attempted (Long),5.58,51
Pass Completion % (Long),70.7,71
Assists,0.25,95
xAG,0.15,85
Expected Assists,0.16,88
Key Passes,1.66,86
Passes into Final Third,3.92,46
Passes into Penalty Area,1.46,90
Crosses into Penalty Area,0.48,97
Progressive Passes,5.49,60
Passes Attempted,64.48,84
Live-ball passes,61.58,85
Dead-ball passes,2.82,71
Passes from Free Kicks,0.70,32
Through Balls,0.08,36
Switches,0.39,51
Crosses,2.68,82
Throw-Ins taken,1.46,96
Corner Kicks,0.34,69
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.06,66
Straight Corner Kicks,0.00,46
Passes Completed,56.28,85
Passes Offside,0.08,83
Passes Blocked,0.99,31
Shot-Creating Actions,3.58,89
SCA (PassLive),2.99,95
SCA (PassDead),0.08,64
SCA (TO),0.23,94
SCA (Sh),0.14,71
SCA (Fld),0.11,63
SCA (Def),0.03,31
Goal-Creating Actions,0.45,90
GCA (PassLive),0.37,91
GCA (PassDead),0.03,81
GCA (TO),0.00,41
GCA (Sh),0.03,75
GCA (Fld),0.03,77
GCA (Def),0.00,43
Tackles,1.94,40
Tackles Won,0.93,26
Tackles (Def 3rd),0.68,32
Tackles (Mid 3rd),0.87,36
Tackles (Att 3rd),0.39,82
Dribblers Tackled,0.90,50
Dribbles Challenged,1.89,50
% of dribblers tackled,47.8,51
Challenges Lost,0.99,50
Blocks,0.87,16
Shots Blocked,0.08,10
Passes Blocked,0.79,33
Interceptions,0.65,15
Tkl+Int,2.59,24
Clearances,0.34,2
Errors,0.00,71
Touches,73.94,83
Touches (Def Pen),1.21,15
Touches (Def 3rd),10.87,32
Touches (Mid 3rd),33.15,47
Touches (Att 3rd),30.65,99
Touches (Att Pen),4.20,99
Touches (Live-Ball),73.94,83
Take-Ons Attempted,2.96,95
Successful Take-Ons,1.46,93
Successful Take-On %,49.5,42
Times Tackled During Take-On,1.30,94
Tackled During Take-On Percentage,43.8,38
Carries,50.11,86
Total Carrying Distance,323.86,98
Progressive Carrying Distance,169.94,99
Progressive Carries,4.14,99
Carries into Final Third,3.38,99
Carries into Penalty Area,1.15,99
Miscontrols,1.18,54
Dispossessed,1.35,13
Passes Received,56.56,89
Progressive Passes Rec,7.89,99
Yellow Cards,0.11,86
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,1.15,69
Fouls Drawn,0.76,23
Offsides,0.11,17
Crosses,2.68,82
Interceptions,0.65,15
Tackles Won,0.93,26
Penalty Kicks Won,0.03,87
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,5.35,18
Aerials won,0.11,1
Aerials lost,0.45,94
% of Aerials Won,20.0,1
Goals,0.14,15
Assists,0.25,66
Goals + Assists,0.39,35
Non-Penalty Goals,0.14,18
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.11,60
Red Cards,0.00,56
xG,0.13,7
Non-Penalty xG,0.13,9
xAG,0.15,27
npxG + xAG,0.28,8
