Non-Penalty Goals,0.10,73
Non-Penalty xG,0.05,45
Shots Total,0.51,18
Assists,0.00,13
xAG,0.04,29
npxG + xAG,0.09,32
Shot-Creating Actions,1.54,19
Passes Attempted,30.65,5
Pass Completion %,77.3,26
Progressive Passes,2.46,2
Progressive Carries,0.82,33
Successful Take-Ons,0.21,6
Touches (Att Pen),1.33,70
Progressive Passes Rec,1.64,49
Tackles,0.92,3
Interceptions,0.62,10
Blocks,0.92,30
Clearances,1.85,89
Aerials won,0.51,20
Goals,0.10,71
Assists,0.00,13
Goals + Assists,0.10,41
Non-Penalty Goals,0.10,73
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.00,99
Red Cards,0.00,62
xG,0.05,43
Non-Penalty xG,0.05,45
xAG,0.04,29
npxG + xAG,0.09,32
Progressive Carries,0.82,33
Progressive Passes,2.46,2
Progressive Passes Rec,1.64,49
Goals,0.10,71
Shots Total,0.51,18
Shots on target,0.10,20
Shots on target %,20.0,27
Goals/Shot,0.20,97
Goals/Shot on target,1.00,97
Average Shot Distance,20.40,64
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.05,43
Non-Penalty xG,0.05,45
npxG/Sh,0.10,85
Goals - xG,0.05,90
Non-Penalty Goals - npxG,0.05,90
Passes Completed,23.68,6
Passes Attempted,30.65,5
Pass Completion %,77.3,26
Total Passing Distance,405.92,7
Progressive Passing Distance,108.86,6
Passes Completed (Short),10.46,4
Passes Attempted (Short),12.30,3
Pass Completion % (Short),85.0,25
Passes Completed (Medium),9.53,9
Passes Attempted (Medium),11.48,8
Pass Completion % (Medium),83.0,28
Passes Completed (Long),2.77,22
Passes Attempted (Long),4.51,22
Pass Completion % (Long),61.4,41
Assists,0.00,13
xAG,0.04,29
Expected Assists,0.03,9
Key Passes,0.31,4
Passes into Final Third,3.08,20
Passes into Penalty Area,0.10,1
Crosses into Penalty Area,0.00,7
Progressive Passes,2.46,2
Passes Attempted,30.65,5
Live-ball passes,30.14,6
Dead-ball passes,0.41,2
Passes from Free Kicks,0.10,2
Through Balls,0.00,6
Switches,0.10,5
Crosses,0.10,4
Throw-Ins taken,0.21,44
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,23.68,6
Passes Offside,0.10,68
Passes Blocked,1.13,11
Shot-Creating Actions,1.54,19
SCA (PassLive),1.03,8
SCA (PassDead),0.10,59
SCA (TO),0.10,73
SCA (Sh),0.10,57
SCA (Fld),0.10,63
SCA (Def),0.10,83
Goal-Creating Actions,0.21,54
GCA (PassLive),0.21,71
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,0.92,3
Tackles Won,0.41,1
Tackles (Def 3rd),0.31,3
Tackles (Mid 3rd),0.41,4
Tackles (Att 3rd),0.21,49
Dribblers Tackled,0.21,1
Dribbles Challenged,1.03,3
% of dribblers tackled,20.0,1
Challenges Lost,0.82,75
Blocks,0.92,30
Shots Blocked,0.21,42
Passes Blocked,0.72,34
Interceptions,0.62,10
Tkl+Int,1.54,1
Clearances,1.85,89
Errors,0.00,67
Touches,37.93,2
Touches (Def Pen),2.67,74
Touches (Def 3rd),10.56,35
Touches (Mid 3rd),21.73,6
Touches (Att 3rd),6.15,10
Touches (Att Pen),1.33,70
Touches (Live-Ball),37.93,2
Take-Ons Attempted,0.31,2
Successful Take-Ons,0.21,6
Successful Take-On %,66.7,85
Times Tackled During Take-On,0.10,4
Tackled During Take-On Percentage,33.3,71
Carries,19.68,4
Total Carrying Distance,95.13,7
Progressive Carrying Distance,46.85,15
Progressive Carries,0.82,33
Carries into Final Third,0.41,4
Carries into Penalty Area,0.21,70
Miscontrols,1.03,67
Dispossessed,0.51,78
Passes Received,22.04,3
Progressive Passes Rec,1.64,49
Yellow Cards,0.00,99
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.33,47
Fouls Drawn,0.62,19
Offsides,0.00,75
Crosses,0.10,4
Interceptions,0.62,10
Tackles Won,0.41,1
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,5.02,12
Aerials won,0.51,20
Aerials lost,0.82,63
% of Aerials Won,38.5,22
