PSxG-GA,-0.14,19
Goals Against,0.90,87
Save Percentage,64.4,16
PSxG/SoT,0.28,63
Save% (Penalty Kicks),0.0,25
Clean Sheet Percentage,42.2,90
Touches,35.35,40
Launch %,20.0,9
Goal Kicks,4.37,4
Avg. Length of Goal Kicks,32.4,15
Crosses Stopped %,6.4,62
Def. Actions Outside Pen. Area,1.18,59
Avg. Distance of Def. Actions,17.7,90
Goals Against,0.90,87
Shots on Target Against,2.25,1
Saves,1.38,1
Save Percentage,64.4,16
Wins,0.66,92
Draws,0.24,59
Losses,0.11,4
Clean Sheets,0.41,91
Clean Sheet Percentage,42.2,90
Penalty Kicks Attempted,0.11,33
Penalty Kicks Allowed,0.11,51
Penalty Kicks Saved,0.00,24
Penalty Kicks Missed,0.00,39
Save% (Penalty Kicks),0.0,25
Goals Against,0.90,87
Penalty Kicks Allowed,0.11,51
Free Kick Goals Against,0.02,48
Corner Kick Goals Against,0.09,84
Own Goals Scored Against Goalkeeper,0.02,67
Post-Shot Expected Goals,0.74,98
PSxG/SoT,0.28,63
PSxG-GA,-0.14,19
Passes Completed (Launched),3.08,12
Passes Attempted (Launched),7.21,7
Pass Completion Percentage (Launched),42.7,80
Passes Attempted,29.80,67
Throws Attempted,4.10,27
Launch %,20.0,9
Average Pass Length,28.1,10
Goal Kicks,4.37,4
Launch% (Goal Kicks),28.5,12
Avg. Length of Goal Kicks,32.4,15
Crosses Faced,7.53,1
Crosses Stopped,0.48,17
Crosses Stopped %,6.4,62
Def. Actions Outside Pen. Area,1.18,59
Avg. Distance of Def. Actions,17.7,90
