Non-Penalty Goals,0.91,99
Non-Penalty xG,0.71,99
Shots Total,3.37,86
Assists,0.18,75
xAG,0.22,91
npxG + xAG,0.93,99
Shot-Creating Actions,2.12,32
Passes Attempted,16.62,11
Pass Completion %,73.7,75
Progressive Passes,1.76,53
Progressive Carries,1.09,34
Successful Take-Ons,0.36,16
Touches (Att Pen),6.46,88
Progressive Passes Rec,4.79,18
Tackles,0.18,3
Interceptions,0.09,17
Blocks,0.27,5
Clearances,0.70,48
Aerials won,1.27,33
Goals,1.12,99
Assists,0.18,75
Goals + Assists,1.30,99
Non-Penalty Goals,0.91,99
Penalty Kicks Made,0.21,96
Penalty Kicks Attempted,0.21,93
Yellow Cards,0.09,69
Red Cards,0.00,56
xG,0.87,99
Non-Penalty xG,0.71,99
xAG,0.22,91
npxG + xAG,0.93,99
Progressive Carries,1.09,34
Progressive Passes,1.76,53
Progressive Passes Rec,4.79,18
Goals,1.12,99
Shots Total,3.37,86
Shots on target,1.61,92
Shots on target %,47.7,85
Goals/Shot,0.27,97
Goals/Shot on target,0.57,98
Average Shot Distance,12.80,80
Shots from free kicks,0.00,34
Penalty Kicks Made,0.21,96
Penalty Kicks Attempted,0.21,93
xG,0.87,99
Non-Penalty xG,0.71,99
npxG/Sh,0.21,98
Goals - xG,0.25,99
Non-Penalty Goals - npxG,0.20,95
Passes Completed,12.25,21
Passes Attempted,16.62,11
Pass Completion %,73.7,75
Total Passing Distance,146.57,17
Progressive Passing Distance,30.91,24
Passes Completed (Short),7.55,26
Passes Attempted (Short),9.34,18
Pass Completion % (Short),80.8,71
Passes Completed (Medium),3.25,22
Passes Attempted (Medium),4.43,20
Pass Completion % (Medium),73.3,60
Passes Completed (Long),0.21,4
Passes Attempted (Long),0.24,1
Pass Completion % (Long),87.5,99
Assists,0.18,75
xAG,0.22,91
Expected Assists,0.13,75
Key Passes,0.97,43
Passes into Final Third,0.61,15
Passes into Penalty Area,0.73,70
Crosses into Penalty Area,0.03,28
Progressive Passes,1.76,53
Passes Attempted,16.62,11
Live-ball passes,14.26,8
Dead-ball passes,2.18,90
Passes from Free Kicks,0.00,24
Through Balls,0.09,46
Switches,0.00,8
Crosses,0.24,17
Throw-Ins taken,0.12,58
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,45
Straight Corner Kicks,0.00,49
Passes Completed,12.25,21
Passes Offside,0.18,26
Passes Blocked,0.58,74
Shot-Creating Actions,2.12,32
SCA (PassLive),1.58,43
SCA (PassDead),0.00,35
SCA (TO),0.12,42
SCA (Sh),0.18,23
SCA (Fld),0.21,52
SCA (Def),0.03,50
Goal-Creating Actions,0.39,75
GCA (PassLive),0.33,83
GCA (PassDead),0.00,48
GCA (TO),0.03,58
GCA (Sh),0.00,18
GCA (Fld),0.03,54
GCA (Def),0.00,46
Tackles,0.18,3
Tackles Won,0.09,3
Tackles (Def 3rd),0.00,7
Tackles (Mid 3rd),0.12,9
Tackles (Att 3rd),0.06,4
Dribblers Tackled,0.06,11
Dribbles Challenged,0.09,1
% of dribblers tackled,66.7,98
Challenges Lost,0.03,99
Blocks,0.27,5
Shots Blocked,0.06,39
Passes Blocked,0.21,8
Interceptions,0.09,17
Tkl+Int,0.27,1
Clearances,0.70,48
Errors,0.00,55
Touches,24.93,6
Touches (Def Pen),0.70,32
Touches (Def 3rd),1.70,10
Touches (Mid 3rd),10.34,8
Touches (Att 3rd),13.01,10
Touches (Att Pen),6.46,88
Touches (Live-Ball),24.72,6
Take-Ons Attempted,0.91,12
Successful Take-Ons,0.36,16
Successful Take-On %,40.0,36
Times Tackled During Take-On,0.52,14
Tackled During Take-On Percentage,56.7,23
Carries,12.68,4
Total Carrying Distance,58.67,8
Progressive Carrying Distance,25.12,19
Progressive Carries,1.09,34
Carries into Final Third,0.39,6
Carries into Penalty Area,0.82,67
Miscontrols,1.76,94
Dispossessed,0.94,83
Passes Received,18.26,5
Progressive Passes Rec,4.79,18
Yellow Cards,0.09,69
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,0.88,75
Fouls Drawn,0.67,9
Offsides,0.39,80
Crosses,0.24,17
Interceptions,0.09,17
Tackles Won,0.09,3
Penalty Kicks Won,0.03,54
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,1.33,1
Aerials won,1.27,33
Aerials lost,1.33,87
% of Aerials Won,48.8,73
