Non-Penalty Goals,0.19,87
Non-Penalty xG,0.28,99
Shots Total,2.16,96
Assists,0.15,82
xAG,0.15,86
npxG + xAG,0.43,97
Shot-Creating Actions,3.71,90
Passes Attempted,63.22,80
Pass Completion %,88.2,88
Progressive Passes,6.89,84
Progressive Carries,2.44,86
Successful Take-Ons,0.62,50
Touches (Att Pen),3.00,96
Progressive Passes Rec,4.91,93
Tackles,1.20,6
Interceptions,0.83,29
Blocks,0.68,5
Clearances,0.46,8
Aerials won,0.83,47
Goals,0.19,83
Assists,0.15,82
Goals + Assists,0.34,86
Non-Penalty Goals,0.19,87
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.03,98
Red Cards,0.00,58
xG,0.28,98
Non-Penalty xG,0.28,99
xAG,0.15,86
npxG + xAG,0.43,97
Progressive Carries,2.44,86
Progressive Passes,6.89,84
Progressive Passes Rec,4.91,93
Goals,0.19,83
Shots Total,2.16,96
Shots on target,0.74,97
Shots on target %,34.3,70
Goals/Shot,0.09,64
Goals/Shot on target,0.25,53
Average Shot Distance,18.50,72
Shots from free kicks,0.12,85
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.28,98
Non-Penalty xG,0.28,99
npxG/Sh,0.13,94
Goals - xG,-0.09,3
Non-Penalty Goals - npxG,-0.09,2
Passes Completed,55.78,85
Passes Attempted,63.22,80
Pass Completion %,88.2,88
Total Passing Distance,865.75,76
Progressive Passing Distance,188.34,45
Passes Completed (Short),30.48,93
Passes Attempted (Short),33.05,94
Pass Completion % (Short),92.2,85
Passes Completed (Medium),19.58,73
Passes Attempted (Medium),21.43,69
Pass Completion % (Medium),91.4,86
Passes Completed (Long),4.08,59
Passes Attempted (Long),5.19,45
Pass Completion % (Long),78.6,91
Assists,0.15,82
xAG,0.15,86
Expected Assists,0.14,81
Key Passes,1.70,88
Passes into Final Third,5.71,81
Passes into Penalty Area,1.14,82
Crosses into Penalty Area,0.03,23
Progressive Passes,6.89,84
Passes Attempted,63.22,80
Live-ball passes,61.21,84
Dead-ball passes,1.95,53
Passes from Free Kicks,0.86,42
Through Balls,0.43,93
Switches,0.25,28
Crosses,1.27,64
Throw-Ins taken,0.15,40
Corner Kicks,0.83,78
Inswinging Corner Kicks,0.31,76
Outswinging Corner Kicks,0.22,75
Straight Corner Kicks,0.03,93
Passes Completed,55.78,85
Passes Offside,0.06,89
Passes Blocked,1.02,26
Shot-Creating Actions,3.71,90
SCA (PassLive),2.84,92
SCA (PassDead),0.37,79
SCA (TO),0.09,67
SCA (Sh),0.25,90
SCA (Fld),0.06,40
SCA (Def),0.09,80
Goal-Creating Actions,0.56,96
GCA (PassLive),0.43,97
GCA (PassDead),0.03,83
GCA (TO),0.03,87
GCA (Sh),0.03,79
GCA (Fld),0.03,80
GCA (Def),0.00,43
Tackles,1.20,6
Tackles Won,0.68,7
Tackles (Def 3rd),0.25,2
Tackles (Mid 3rd),0.59,10
Tackles (Att 3rd),0.37,80
Dribblers Tackled,0.53,12
Dribbles Challenged,1.27,10
% of dribblers tackled,41.5,28
Challenges Lost,0.74,74
Blocks,0.68,5
Shots Blocked,0.09,10
Passes Blocked,0.59,12
Interceptions,0.83,29
Tkl+Int,2.04,9
Clearances,0.46,8
Errors,0.00,71
Touches,72.12,79
Touches (Def Pen),1.05,10
Touches (Def 3rd),8.49,12
Touches (Mid 3rd),39.97,72
Touches (Att 3rd),24.28,95
Touches (Att Pen),3.00,96
Touches (Live-Ball),72.12,79
Take-Ons Attempted,1.48,61
Successful Take-Ons,0.62,50
Successful Take-On %,41.7,20
Times Tackled During Take-On,0.62,64
Tackled During Take-On Percentage,41.7,45
Carries,42.84,73
Total Carrying Distance,218.98,74
Progressive Carrying Distance,102.91,74
Progressive Carries,2.44,86
Carries into Final Third,1.76,77
Carries into Penalty Area,0.37,84
Miscontrols,0.96,74
Dispossessed,1.11,27
Passes Received,57.82,91
Progressive Passes Rec,4.91,93
Yellow Cards,0.03,98
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,0.62,97
Fouls Drawn,0.77,25
Offsides,0.15,8
Crosses,1.27,64
Interceptions,0.83,29
Tackles Won,0.68,7
Penalty Kicks Won,0.03,90
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,5.34,17
Aerials won,0.83,47
Aerials lost,0.49,89
% of Aerials Won,62.8,89
