Non-Penalty Goals,0.15,21
Non-Penalty xG,0.18,34
Shots Total,1.94,32
Assists,0.19,45
xAG,0.31,92
npxG + xAG,0.49,60
Shot-Creating Actions,5.25,94
Passes Attempted,46.77,73
Pass Completion %,84.6,96
Progressive Passes,4.17,57
Progressive Carries,6.96,98
Successful Take-Ons,1.79,70
Touches (Att Pen),6.85,97
Progressive Passes Rec,13.48,96
Tackles,0.93,22
Interceptions,0.48,46
Blocks,0.82,37
Clearances,0.37,50
Aerials won,0.67,73
Goals,0.15,17
Assists,0.19,45
Goals + Assists,0.34,19
Non-Penalty Goals,0.15,21
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.15,45
Red Cards,0.00,56
xG,0.18,26
Non-Penalty xG,0.18,34
xAG,0.31,92
npxG + xAG,0.49,60
Progressive Carries,6.96,98
Progressive Passes,4.17,57
Progressive Passes Rec,13.48,96
Goals,0.15,17
Shots Total,1.94,32
Shots on target,0.45,7
Shots on target %,23.1,4
Goals/Shot,0.08,30
Goals/Shot on target,0.33,57
Average Shot Distance,14.80,92
Shots from free kicks,0.00,21
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
xG,0.18,26
Non-Penalty xG,0.18,34
npxG/Sh,0.09,35
Goals - xG,-0.03,27
Non-Penalty Goals - npxG,-0.03,28
Passes Completed,39.54,82
Passes Attempted,46.77,73
Pass Completion %,84.6,96
Total Passing Distance,566.14,71
Progressive Passing Distance,99.38,41
Passes Completed (Short),25.02,94
Passes Attempted (Short),26.92,90
Pass Completion % (Short),92.9,99
Passes Completed (Medium),11.88,77
Passes Attempted (Medium),13.59,68
Pass Completion % (Medium),87.4,96
Passes Completed (Long),1.75,37
Passes Attempted (Long),2.90,31
Pass Completion % (Long),60.3,68
Assists,0.19,45
xAG,0.31,92
Expected Assists,0.26,85
Key Passes,2.49,92
Passes into Final Third,1.27,18
Passes into Penalty Area,1.79,75
Crosses into Penalty Area,0.00,1
Progressive Passes,4.17,57
Passes Attempted,46.77,73
Live-ball passes,44.61,79
Dead-ball passes,2.01,46
Passes from Free Kicks,0.30,40
Through Balls,0.11,20
Switches,0.26,49
Crosses,2.05,34
Throw-Ins taken,0.82,83
Corner Kicks,0.82,50
Inswinging Corner Kicks,0.56,61
Outswinging Corner Kicks,0.00,16
Straight Corner Kicks,0.04,87
Passes Completed,39.54,82
Passes Offside,0.15,61
Passes Blocked,1.71,7
Shot-Creating Actions,5.25,94
SCA (PassLive),3.84,96
SCA (PassDead),0.26,53
SCA (TO),0.26,50
SCA (Sh),0.22,38
SCA (Fld),0.60,99
SCA (Def),0.07,76
Goal-Creating Actions,0.56,67
GCA (PassLive),0.45,76
GCA (PassDead),0.00,28
GCA (TO),0.00,22
GCA (Sh),0.00,18
GCA (Fld),0.07,84
GCA (Def),0.04,92
Tackles,0.93,22
Tackles Won,0.63,35
Tackles (Def 3rd),0.37,45
Tackles (Mid 3rd),0.41,34
Tackles (Att 3rd),0.15,12
Dribblers Tackled,0.41,33
Dribbles Challenged,0.78,17
% of dribblers tackled,52.4,91
Challenges Lost,0.37,93
Blocks,0.82,37
Shots Blocked,0.00,11
Passes Blocked,0.82,43
Interceptions,0.48,46
Tkl+Int,1.42,30
Clearances,0.37,50
Errors,0.00,59
Touches,56.82,67
Touches (Def Pen),0.78,64
Touches (Def 3rd),4.62,37
Touches (Mid 3rd),18.06,35
Touches (Att 3rd),35.30,95
Touches (Att Pen),6.85,97
Touches (Live-Ball),56.82,70
Take-Ons Attempted,3.69,62
Successful Take-Ons,1.79,70
Successful Take-On %,48.5,74
Times Tackled During Take-On,1.27,37
Tackled During Take-On Percentage,34.3,94
Carries,43.27,87
Total Carrying Distance,376.31,98
Progressive Carrying Distance,190.58,99
Progressive Carries,6.96,98
Carries into Final Third,3.98,97
Carries into Penalty Area,3.50,99
Miscontrols,1.49,92
Dispossessed,1.49,58
Passes Received,46.55,84
Progressive Passes Rec,13.48,96
Yellow Cards,0.15,45
Red Cards,0.00,56
Second Yellow Card,0.00,54
Fouls Committed,1.19,32
Fouls Drawn,3.17,94
Offsides,0.11,86
Crosses,2.05,34
Interceptions,0.48,46
Tackles Won,0.63,35
Penalty Kicks Won,0.04,67
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,4.43,43
Aerials won,0.67,73
Aerials lost,0.82,59
% of Aerials Won,45.0,80
