Non-Penalty Goals,0.00,21
Non-Penalty xG,0.02,28
Shots Total,0.22,9
Assists,0.00,10
xAG,0.02,1
npxG + xAG,0.04,1
Shot-Creating Actions,1.58,19
Passes Attempted,85.98,98
Pass Completion %,85.6,93
Progressive Passes,7.71,98
Progressive Carries,2.34,58
Successful Take-Ons,0.60,51
Touches (Att Pen),0.71,16
Progressive Passes Rec,2.99,19
Tackles,0.98,2
Interceptions,1.09,55
Blocks,0.54,3
Clearances,0.81,4
Aerials won,1.14,67
Goals,0.00,21
Assists,0.00,10
Goals + Assists,0.00,5
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.11,79
Red Cards,0.00,60
xG,0.02,28
Non-Penalty xG,0.02,28
xAG,0.02,1
npxG + xAG,0.04,1
Progressive Carries,2.34,58
Progressive Passes,7.71,98
Progressive Passes Rec,2.99,19
Goals,0.00,21
Shots Total,0.22,9
Shots on target,0.11,33
Shots on target %,50.0,95
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,25.00,12
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.02,28
Non-Penalty xG,0.02,28
npxG/Sh,0.10,87
Goals - xG,-0.02,30
Non-Penalty Goals - npxG,-0.02,29
Passes Completed,73.60,99
Passes Attempted,85.98,98
Pass Completion %,85.6,93
Total Passing Distance,1281.13,99
Progressive Passing Distance,369.29,97
Passes Completed (Short),33.08,93
Passes Attempted (Short),35.96,93
Pass Completion % (Short),92.0,88
Passes Completed (Medium),33.40,99
Passes Attempted (Medium),36.99,99
Pass Completion % (Medium),90.3,97
Passes Completed (Long),6.14,95
Passes Attempted (Long),9.99,91
Pass Completion % (Long),61.4,85
Assists,0.00,10
xAG,0.02,1
Expected Assists,0.07,26
Key Passes,0.43,6
Passes into Final Third,7.93,98
Passes into Penalty Area,0.65,13
Crosses into Penalty Area,0.16,9
Progressive Passes,7.71,98
Passes Attempted,85.98,98
Live-ball passes,78.43,99
Dead-ball passes,7.39,12
Passes from Free Kicks,1.09,60
Through Balls,0.05,58
Switches,0.87,95
Crosses,1.63,19
Throw-Ins taken,6.30,11
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,33
Outswinging Corner Kicks,0.00,32
Straight Corner Kicks,0.00,48
Passes Completed,73.60,99
Passes Offside,0.16,55
Passes Blocked,0.92,83
Shot-Creating Actions,1.58,19
SCA (PassLive),1.25,22
SCA (PassDead),0.16,50
SCA (TO),0.05,50
SCA (Sh),0.00,15
SCA (Fld),0.11,70
SCA (Def),0.00,25
Goal-Creating Actions,0.16,44
GCA (PassLive),0.11,41
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.00,40
GCA (Fld),0.05,94
GCA (Def),0.00,47
Tackles,0.98,2
Tackles Won,0.60,4
Tackles (Def 3rd),0.60,9
Tackles (Mid 3rd),0.38,10
Tackles (Att 3rd),0.00,1
Dribblers Tackled,0.38,1
Dribbles Challenged,1.09,10
% of dribblers tackled,35.0,1
Challenges Lost,0.71,53
Blocks,0.54,3
Shots Blocked,0.16,23
Passes Blocked,0.38,2
Interceptions,1.09,55
Tkl+Int,2.06,10
Clearances,0.81,4
Errors,0.05,17
Touches,91.58,97
Touches (Def Pen),2.66,36
Touches (Def 3rd),20.53,72
Touches (Mid 3rd),54.86,99
Touches (Att 3rd),16.89,43
Touches (Att Pen),0.71,16
Touches (Live-Ball),91.58,97
Take-Ons Attempted,0.92,26
Successful Take-Ons,0.60,51
Successful Take-On %,64.7,97
Times Tackled During Take-On,0.33,14
Tackled During Take-On Percentage,35.3,87
Carries,55.73,97
Total Carrying Distance,244.15,84
Progressive Carrying Distance,134.16,89
Progressive Carries,2.34,58
Carries into Final Third,2.12,79
Carries into Penalty Area,0.11,19
Miscontrols,0.71,91
Dispossessed,0.16,99
Passes Received,68.38,98
Progressive Passes Rec,2.99,19
Yellow Cards,0.11,79
Red Cards,0.00,60
Second Yellow Card,0.00,54
Fouls Committed,0.54,88
Fouls Drawn,0.54,22
Offsides,0.00,89
Crosses,1.63,19
Interceptions,1.09,55
Tackles Won,0.60,4
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.00,66
Own Goals,0.00,55
Ball Recoveries,5.54,50
Aerials won,1.14,67
Aerials lost,0.33,98
% of Aerials Won,77.8,99
