Non-Penalty Goals,0.17,6
Non-Penalty xG,0.27,17
Shots Total,2.34,33
Assists,0.00,5
xAG,0.02,1
npxG + xAG,0.29,9
Shot-Creating Actions,1.84,19
Passes Attempted,12.55,4
Pass Completion %,51.6,2
Progressive Passes,0.84,7
Progressive Carries,1.90,83
Successful Take-Ons,1.00,78
Touches (Att Pen),4.74,65
Progressive Passes Rec,6.70,76
Tackles,0.33,12
Interceptions,0.06,10
Blocks,0.45,33
Clearances,0.61,33
Aerials won,2.23,52
Goals,0.17,3
Assists,0.00,5
Goals + Assists,0.17,2
Non-Penalty Goals,0.17,6
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
Yellow Cards,0.39,7
Red Cards,0.00,58
xG,0.27,9
Non-Penalty xG,0.27,17
xAG,0.02,1
npxG + xAG,0.29,9
Progressive Carries,1.90,83
Progressive Passes,0.84,7
Progressive Passes Rec,6.70,76
Goals,0.17,3
Shots Total,2.34,33
Shots on target,0.78,22
Shots on target %,33.3,24
Goals/Shot,0.07,5
Goals/Shot on target,0.21,5
Average Shot Distance,14.10,58
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
xG,0.27,9
Non-Penalty xG,0.27,17
npxG/Sh,0.11,20
Goals - xG,-0.10,9
Non-Penalty Goals - npxG,-0.10,8
Passes Completed,6.47,1
Passes Attempted,12.55,4
Pass Completion %,51.6,2
Total Passing Distance,81.85,1
Progressive Passing Distance,19.70,7
Passes Completed (Short),4.13,2
Passes Attempted (Short),6.58,5
Pass Completion % (Short),62.7,4
Passes Completed (Medium),1.45,1
Passes Attempted (Medium),3.01,2
Pass Completion % (Medium),48.1,1
Passes Completed (Long),0.22,6
Passes Attempted (Long),0.89,26
Pass Completion % (Long),25.0,1
Assists,0.00,5
xAG,0.02,1
Expected Assists,0.04,11
Key Passes,0.39,1
Passes into Final Third,0.78,30
Passes into Penalty Area,0.39,33
Crosses into Penalty Area,0.00,16
Progressive Passes,0.84,7
Passes Attempted,12.55,4
Live-ball passes,12.33,8
Dead-ball passes,0.11,1
Passes from Free Kicks,0.00,25
Through Balls,0.00,10
Switches,0.11,52
Crosses,0.45,47
Throw-Ins taken,0.06,31
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,6.47,1
Passes Offside,0.11,53
Passes Blocked,0.61,55
Shot-Creating Actions,1.84,19
SCA (PassLive),0.78,4
SCA (PassDead),0.00,34
SCA (TO),0.33,87
SCA (Sh),0.33,64
SCA (Fld),0.39,87
SCA (Def),0.00,23
Goal-Creating Actions,0.22,36
GCA (PassLive),0.11,28
GCA (PassDead),0.00,48
GCA (TO),0.00,27
GCA (Sh),0.06,65
GCA (Fld),0.06,76
GCA (Def),0.00,47
Tackles,0.33,12
Tackles Won,0.28,39
Tackles (Def 3rd),0.11,48
Tackles (Mid 3rd),0.11,11
Tackles (Att 3rd),0.11,24
Dribblers Tackled,0.11,25
Dribbles Challenged,0.45,24
% of dribblers tackled,25.0,30
Challenges Lost,0.33,68
Blocks,0.45,33
Shots Blocked,0.11,65
Passes Blocked,0.33,25
Interceptions,0.06,10
Tkl+Int,0.39,9
Clearances,0.61,33
Errors,0.00,51
Touches,26.34,15
Touches (Def Pen),0.78,35
Touches (Def 3rd),1.84,25
Touches (Mid 3rd),9.21,7
Touches (Att 3rd),15.73,48
Touches (Att Pen),4.74,65
Touches (Live-Ball),26.34,15
Take-Ons Attempted,3.52,93
Successful Take-Ons,1.00,78
Successful Take-On %,28.6,11
Times Tackled During Take-On,1.84,93
Tackled During Take-On Percentage,52.4,44
Carries,17.30,52
Total Carrying Distance,104.79,72
Progressive Carrying Distance,42.63,74
Progressive Carries,1.90,83
Carries into Final Third,1.23,78
Carries into Penalty Area,0.89,78
Miscontrols,3.85,13
Dispossessed,2.12,8
Passes Received,21.37,30
Progressive Passes Rec,6.70,76
Yellow Cards,0.39,7
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,3.01,1
Fouls Drawn,2.06,86
Offsides,0.22,93
Crosses,0.45,47
Interceptions,0.06,10
Tackles Won,0.28,39
Penalty Kicks Won,0.06,82
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,2.29,44
Aerials won,2.23,52
Aerials lost,3.85,28
% of Aerials Won,36.7,32
