Non-Penalty Goals,0.04,49
Non-Penalty xG,0.06,66
Shots Total,0.59,65
Assists,0.04,74
xAG,0.01,41
npxG + xAG,0.07,55
Shot-Creating Actions,1.06,83
Passes Attempted,82.21,97
Pass Completion %,93.0,96
Progressive Passes,5.01,90
Progressive Carries,1.10,83
Successful Take-Ons,0.22,63
Touches (Att Pen),1.02,73
Progressive Passes Rec,0.48,77
Tackles,1.57,59
Interceptions,0.66,5
Blocks,1.32,65
Clearances,1.76,1
Aerials won,1.10,5
Goals,0.04,49
Assists,0.04,74
Goals + Assists,0.07,66
Non-Penalty Goals,0.04,49
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.11,86
Red Cards,0.00,63
xG,0.06,66
Non-Penalty xG,0.06,66
xAG,0.01,41
npxG + xAG,0.07,55
Progressive Carries,1.10,83
Progressive Passes,5.01,90
Progressive Passes Rec,0.48,77
Goals,0.04,49
Shots Total,0.59,65
Shots on target,0.11,45
Shots on target %,18.8,33
Goals/Shot,0.06,47
Goals/Shot on target,0.33,54
Average Shot Distance,15.20,22
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.06,66
Non-Penalty xG,0.06,66
npxG/Sh,0.10,60
Goals - xG,-0.02,33
Non-Penalty Goals - npxG,-0.02,32
Passes Completed,76.46,97
Passes Attempted,82.21,97
Pass Completion %,93.0,96
Total Passing Distance,1388.93,96
Progressive Passing Distance,460.79,92
Passes Completed (Short),30.04,98
Passes Attempted (Short),31.21,97
Pass Completion % (Short),96.2,99
Passes Completed (Medium),39.33,96
Passes Attempted (Medium),41.05,95
Pass Completion % (Medium),95.8,96
Passes Completed (Long),6.29,75
Passes Attempted (Long),8.38,48
Pass Completion % (Long),75.1,91
Assists,0.04,74
xAG,0.01,41
Expected Assists,0.02,47
Key Passes,0.26,62
Passes into Final Third,5.67,94
Passes into Penalty Area,0.04,9
Crosses into Penalty Area,0.04,66
Progressive Passes,5.01,90
Passes Attempted,82.21,97
Live-ball passes,80.23,98
Dead-ball passes,1.90,35
Passes from Free Kicks,1.24,29
Through Balls,0.04,60
Switches,0.48,53
Crosses,0.18,63
Throw-Ins taken,0.66,73
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,76.46,97
Passes Offside,0.07,70
Passes Blocked,0.11,95
Shot-Creating Actions,1.06,83
SCA (PassLive),0.95,90
SCA (PassDead),0.04,73
SCA (TO),0.00,38
SCA (Sh),0.07,67
SCA (Fld),0.00,35
SCA (Def),0.00,33
Goal-Creating Actions,0.00,11
GCA (PassLive),0.00,15
GCA (PassDead),0.00,48
GCA (TO),0.00,49
GCA (Sh),0.00,41
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.57,59
Tackles Won,0.95,62
Tackles (Def 3rd),0.73,25
Tackles (Mid 3rd),0.70,84
Tackles (Att 3rd),0.15,91
Dribblers Tackled,0.95,73
Dribbles Challenged,1.43,70
% of dribblers tackled,66.7,56
Challenges Lost,0.48,36
Blocks,1.32,65
Shots Blocked,0.48,20
Passes Blocked,0.84,89
Interceptions,0.66,5
Tkl+Int,2.23,27
Clearances,1.76,1
Errors,0.00,82
Touches,89.52,96
Touches (Def Pen),6.22,22
Touches (Def 3rd),32.89,60
Touches (Mid 3rd),51.70,96
Touches (Att 3rd),5.30,85
Touches (Att Pen),1.02,73
Touches (Live-Ball),89.52,96
Take-Ons Attempted,0.26,43
Successful Take-Ons,0.22,63
Successful Take-On %,85.7,84
Times Tackled During Take-On,0.04,27
Tackled During Take-On Percentage,14.3,75
Carries,62.89,96
Total Carrying Distance,355.21,98
Progressive Carrying Distance,214.87,98
Progressive Carries,1.10,83
Carries into Final Third,1.06,90
Carries into Penalty Area,0.00,23
Miscontrols,0.40,55
Dispossessed,0.11,73
Passes Received,69.18,98
Progressive Passes Rec,0.48,77
Yellow Cards,0.11,86
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,0.80,64
Fouls Drawn,0.62,63
Offsides,0.00,76
Crosses,0.18,63
Interceptions,0.66,5
Tackles Won,0.95,62
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.00,74
Own Goals,0.00,61
Ball Recoveries,6.26,73
Aerials won,1.10,5
Aerials lost,1.54,31
% of Aerials Won,41.7,2
