Non-Penalty Goals,0.11,75
Non-Penalty xG,0.11,77
Shots Total,0.53,19
Assists,0.21,91
xAG,0.05,38
npxG + xAG,0.15,52
Shot-Creating Actions,1.28,8
Passes Attempted,37.62,15
Pass Completion %,78.8,33
Progressive Passes,3.83,21
Progressive Carries,0.53,13
Successful Take-Ons,1.06,81
Touches (Att Pen),0.74,40
Progressive Passes Rec,1.59,48
Tackles,3.29,95
Interceptions,1.06,50
Blocks,1.49,83
Clearances,1.06,50
Aerials won,0.96,57
Goals,0.11,73
Assists,0.21,91
Goals + Assists,0.32,87
Non-Penalty Goals,0.11,75
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.32,28
Red Cards,0.00,62
xG,0.11,74
Non-Penalty xG,0.11,77
xAG,0.05,38
npxG + xAG,0.15,52
Progressive Carries,0.53,13
Progressive Passes,3.83,21
Progressive Passes Rec,1.59,48
Goals,0.11,73
Shots Total,0.53,19
Shots on target,0.21,45
Shots on target %,40.0,89
Goals/Shot,0.20,97
Goals/Shot on target,0.50,89
Average Shot Distance,15.30,95
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.11,74
Non-Penalty xG,0.11,77
npxG/Sh,0.19,99
Goals - xG,0.00,61
Non-Penalty Goals - npxG,0.00,61
Passes Completed,29.65,20
Passes Attempted,37.62,15
Pass Completion %,78.8,33
Total Passing Distance,429.49,9
Progressive Passing Distance,135.48,15
Passes Completed (Short),17.11,52
Passes Attempted (Short),19.55,52
Pass Completion % (Short),87.5,45
Passes Completed (Medium),9.67,9
Passes Attempted (Medium),11.37,7
Pass Completion % (Medium),85.0,37
Passes Completed (Long),1.28,3
Passes Attempted (Long),2.55,3
Pass Completion % (Long),50.0,13
Assists,0.21,91
xAG,0.05,38
Expected Assists,0.06,43
Key Passes,0.21,2
Passes into Final Third,3.51,34
Passes into Penalty Area,0.21,4
Crosses into Penalty Area,0.00,7
Progressive Passes,3.83,21
Passes Attempted,37.62,15
Live-ball passes,36.66,21
Dead-ball passes,0.43,3
Passes from Free Kicks,0.43,13
Through Balls,0.21,80
Switches,0.21,21
Crosses,0.11,4
Throw-Ins taken,0.00,3
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,29.65,20
Passes Offside,0.53,1
Passes Blocked,0.53,82
Shot-Creating Actions,1.28,8
SCA (PassLive),1.06,9
SCA (PassDead),0.00,16
SCA (TO),0.00,17
SCA (Sh),0.11,59
SCA (Fld),0.00,10
SCA (Def),0.11,84
Goal-Creating Actions,0.32,78
GCA (PassLive),0.32,88
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,3.29,95
Tackles Won,1.28,61
Tackles (Def 3rd),1.59,96
Tackles (Mid 3rd),1.38,84
Tackles (Att 3rd),0.32,73
Dribblers Tackled,1.59,95
Dribbles Challenged,2.98,90
% of dribblers tackled,53.6,80
Challenges Lost,1.38,24
Blocks,1.49,83
Shots Blocked,0.11,13
Passes Blocked,1.38,95
Interceptions,1.06,50
Tkl+Int,4.36,88
Clearances,1.06,50
Errors,0.00,67
Touches,50.15,24
Touches (Def Pen),1.91,45
Touches (Def 3rd),12.22,50
Touches (Mid 3rd),31.88,43
Touches (Att 3rd),7.23,17
Touches (Att Pen),0.74,40
Touches (Live-Ball),50.15,24
Take-Ons Attempted,2.34,89
Successful Take-Ons,1.06,81
Successful Take-On %,45.5,27
Times Tackled During Take-On,1.28,95
Tackled During Take-On Percentage,54.5,10
Carries,21.25,8
Total Carrying Distance,96.16,7
Progressive Carrying Distance,40.70,7
Progressive Carries,0.53,13
Carries into Final Third,1.17,53
Carries into Penalty Area,0.00,5
Miscontrols,1.70,22
Dispossessed,0.43,87
Passes Received,27.20,15
Progressive Passes Rec,1.59,48
Yellow Cards,0.32,28
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.28,54
Fouls Drawn,0.64,22
Offsides,0.00,75
Crosses,0.11,4
Interceptions,1.06,50
Tackles Won,1.28,61
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,7.23,76
Aerials won,0.96,57
Aerials lost,1.59,10
% of Aerials Won,37.5,20
