Non-Penalty Goals,0.05,62
Non-Penalty xG,0.06,73
Shots Total,0.43,41
Assists,0.00,31
xAG,0.02,53
npxG + xAG,0.08,62
Shot-Creating Actions,1.10,86
Passes Attempted,92.91,99
Pass Completion %,90.9,92
Progressive Passes,7.68,99
Progressive Carries,1.10,83
Successful Take-Ons,0.10,29
Touches (Att Pen),1.34,89
Progressive Passes Rec,1.05,90
Tackles,1.53,56
Interceptions,1.14,40
Blocks,0.72,6
Clearances,2.05,3
Aerials won,2.05,52
Non-Penalty Goals,0.05,60
Non-Penalty xG,0.06,69
Shots Total,0.43,28
Assists,0.00,10
xAG,0.02,1
npxG + xAG,0.08,24
Shot-Creating Actions,1.10,5
Passes Attempted,92.91,99
Pass Completion %,90.9,99
Progressive Passes,7.68,98
Progressive Carries,1.10,11
Successful Take-Ons,0.10,2
Touches (Att Pen),1.34,55
Progressive Passes Rec,1.05,1
Tackles,1.53,22
Interceptions,1.14,61
Blocks,0.72,9
Clearances,2.05,55
Aerials won,2.05,97
Goals,0.05,61
Assists,0.00,31
Goals + Assists,0.05,43
Non-Penalty Goals,0.05,62
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.05,97
Red Cards,0.00,63
xG,0.06,72
Non-Penalty xG,0.06,73
xAG,0.02,53
npxG + xAG,0.08,62
Progressive Carries,1.10,83
Progressive Passes,7.68,99
Progressive Passes Rec,1.05,90
Goals,0.05,61
Shots Total,0.43,41
Shots on target,0.05,18
Shots on target %,11.1,16
Goals/Shot,0.11,66
Goals/Shot on target,1.00,89
Average Shot Distance,9.00,89
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.06,72
Non-Penalty xG,0.06,73
npxG/Sh,0.14,83
Goals - xG,-0.01,44
Non-Penalty Goals - npxG,-0.01,44
Passes Completed,84.47,99
Passes Attempted,92.91,99
Pass Completion %,90.9,92
Total Passing Distance,1407.62,96
Progressive Passing Distance,495.79,97
Passes Completed (Short),39.87,99
Passes Attempted (Short),41.88,99
Pass Completion % (Short),95.2,96
