Non-Penalty Goals,0.41,84
Non-Penalty xG,0.32,78
Shots Total,2.24,50
Assists,0.28,73
xAG,0.19,45
npxG + xAG,0.51,67
Shot-Creating Actions,4.27,67
Passes Attempted,47.94,76
Pass Completion %,79.3,70
Progressive Passes,4.00,55
Progressive Carries,2.48,26
Successful Take-Ons,1.27,38
Touches (Att Pen),5.96,87
Progressive Passes Rec,12.30,91
Tackles,0.86,19
Interceptions,0.45,39
Blocks,0.86,40
Clearances,0.21,17
Aerials won,0.62,67
Goals,0.41,79
Assists,0.28,73
Goals + Assists,0.69,78
Non-Penalty Goals,0.41,84
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.14,54
Red Cards,0.00,56
xG,0.32,67
Non-Penalty xG,0.32,78
xAG,0.19,45
npxG + xAG,0.51,67
Progressive Carries,2.48,26
Progressive Passes,4.00,55
Progressive Passes Rec,12.30,91
Goals,0.41,79
Shots Total,2.24,50
Shots on target,1.00,72
Shots on target %,44.6,83
Goals/Shot,0.18,88
Goals/Shot on target,0.41,83
Average Shot Distance,15.00,90
Shots from free kicks,0.00,21
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
xG,0.32,67
Non-Penalty xG,0.32,78
npxG/Sh,0.14,83
Goals - xG,0.10,77
Non-Penalty Goals - npxG,0.10,77
Passes Completed,38.03,78
Passes Attempted,47.94,76
Pass Completion %,79.3,70
Total Passing Distance,566.87,72
Progressive Passing Distance,109.15,50
Passes Completed (Short),22.35,83
Passes Attempted (Short),24.94,82
Pass Completion % (Short),89.6,88
Passes Completed (Medium),11.26,71
Passes Attempted (Medium),13.85,71
Pass Completion % (Medium),81.3,65
Passes Completed (Long),2.38,56
Passes Attempted (Long),4.75,64
Pass Completion % (Long),50.0,33
Assists,0.28,73
xAG,0.19,45
Expected Assists,0.19,53
Key Passes,1.65,43
Passes into Final Third,1.93,49
Passes into Penalty Area,1.72,71
Crosses into Penalty Area,0.45,84
Progressive Passes,4.00,55
Passes Attempted,47.94,76
Live-ball passes,44.47,78
Dead-ball passes,3.27,66
Passes from Free Kicks,0.62,56
Through Balls,0.38,83
Switches,0.28,52
Crosses,4.65,79
Throw-Ins taken,0.48,52
Corner Kicks,1.96,70
Inswinging Corner Kicks,0.41,52
Outswinging Corner Kicks,1.34,90
Straight Corner Kicks,0.03,83
Passes Completed,38.03,78
Passes Offside,0.21,46
Passes Blocked,1.38,22
Shot-Creating Actions,4.27,67
SCA (PassLive),2.96,68
SCA (PassDead),0.55,70
SCA (TO),0.17,31
SCA (Sh),0.38,84
SCA (Fld),0.17,46
SCA (Def),0.03,46
Goal-Creating Actions,0.65,80
GCA (PassLive),0.48,83
GCA (PassDead),0.07,82
GCA (TO),0.07,77
GCA (Sh),0.03,48
GCA (Fld),0.00,22
GCA (Def),0.00,43
Tackles,0.86,19
Tackles Won,0.48,21
Tackles (Def 3rd),0.48,64
Tackles (Mid 3rd),0.31,12
Tackles (Att 3rd),0.07,3
Dribblers Tackled,0.41,34
Dribbles Challenged,0.65,10
% of dribblers tackled,63.2,99
Challenges Lost,0.24,98
Blocks,0.86,40
Shots Blocked,0.03,30
Passes Blocked,0.83,44
Interceptions,0.45,39
Tkl+Int,1.31,22
Clearances,0.21,17
Errors,0.00,59
Touches,57.55,73
Touches (Def Pen),0.45,29
Touches (Def 3rd),3.75,17
Touches (Mid 3rd),19.29,42
Touches (Att 3rd),35.17,94
Touches (Att Pen),5.96,87
Touches (Live-Ball),57.55,73
Take-Ons Attempted,2.69,31
Successful Take-Ons,1.27,38
Successful Take-On %,47.4,65
Times Tackled During Take-On,1.21,33
Tackled During Take-On Percentage,44.9,60
Carries,39.30,80
Total Carrying Distance,188.27,38
Progressive Carrying Distance,84.25,31
Progressive Carries,2.48,26
Carries into Final Third,1.65,22
Carries into Penalty Area,0.83,29
Miscontrols,1.89,77
Dispossessed,1.65,42
Passes Received,45.95,83
Progressive Passes Rec,12.30,91
Yellow Cards,0.14,54
Red Cards,0.00,56
Second Yellow Card,0.00,54
Fouls Committed,0.62,83
Fouls Drawn,1.45,49
Offsides,0.45,20
Crosses,4.65,79
Interceptions,0.45,39
Tackles Won,0.48,21
Penalty Kicks Won,0.00,27
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,4.17,34
Aerials won,0.62,67
Aerials lost,1.27,28
% of Aerials Won,32.7,51
