Non-Penalty Goals,0.16,96
Non-Penalty xG,0.05,58
Shots Total,0.47,33
Assists,0.00,10
xAG,0.13,70
npxG + xAG,0.17,66
Shot-Creating Actions,2.05,48
Passes Attempted,69.70,92
Pass Completion %,91.6,99
Progressive Passes,3.46,37
Progressive Carries,3.30,88
Successful Take-Ons,0.79,65
Touches (Att Pen),1.57,63
Progressive Passes Rec,2.83,17
Tackles,1.73,32
Interceptions,0.31,1
Blocks,0.63,4
Clearances,1.10,10
Aerials won,0.16,2
Goals,0.16,95
Assists,0.00,10
Goals + Assists,0.16,61
Non-Penalty Goals,0.16,96
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.16,62
Red Cards,0.00,60
xG,0.05,57
Non-Penalty xG,0.05,58
xAG,0.13,70
npxG + xAG,0.17,66
Progressive Carries,3.30,88
Progressive Passes,3.46,37
Progressive Passes Rec,2.83,17
Goals,0.16,95
Shots Total,0.47,33
Shots on target,0.31,83
Shots on target %,66.7,99
Goals/Shot,0.33,99
Goals/Shot on target,0.50,87
Average Shot Distance,22.90,23
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.05,57
Non-Penalty xG,0.05,58
npxG/Sh,0.10,87
Goals - xG,0.11,99
Non-Penalty Goals - npxG,0.11,99
Passes Completed,63.88,96
Passes Attempted,69.70,92
Pass Completion %,91.6,99
Total Passing Distance,938.23,90
Progressive Passing Distance,125.40,1
Passes Completed (Short),38.39,99
Passes Attempted (Short),39.97,98
Pass Completion % (Short),96.1,99
Passes Completed (Medium),22.50,91
Passes Attempted (Medium),23.92,83
Pass Completion % (Medium),94.1,99
Passes Completed (Long),1.73,6
Passes Attempted (Long),2.99,4
Pass Completion % (Long),57.9,80
Assists,0.00,10
xAG,0.13,70
Expected Assists,0.14,76
Key Passes,1.10,64
Passes into Final Third,3.62,72
Passes into Penalty Area,0.94,44
Crosses into Penalty Area,0.47,54
Progressive Passes,3.46,37
Passes Attempted,69.70,92
Live-ball passes,65.14,96
Dead-ball passes,4.41,1
Passes from Free Kicks,0.47,17
Through Balls,0.00,18
Switches,0.00,2
Crosses,0.79,4
Throw-Ins taken,3.93,1
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,33
Outswinging Corner Kicks,0.00,32
Straight Corner Kicks,0.00,48
Passes Completed,63.88,96
Passes Offside,0.16,57
Passes Blocked,0.79,93
Shot-Creating Actions,2.05,48
SCA (PassLive),1.57,49
SCA (PassDead),0.16,50
SCA (TO),0.00,13
SCA (Sh),0.00,15
SCA (Fld),0.31,98
SCA (Def),0.00,25
Goal-Creating Actions,0.00,2
GCA (PassLive),0.00,4
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.00,40
GCA (Fld),0.00,39
GCA (Def),0.00,47
Tackles,1.73,32
Tackles Won,1.26,59
Tackles (Def 3rd),0.94,34
Tackles (Mid 3rd),0.63,54
Tackles (Att 3rd),0.16,33
Dribblers Tackled,0.79,25
Dribbles Challenged,1.10,11
% of dribblers tackled,71.4,88
Challenges Lost,0.31,91
Blocks,0.63,4
Shots Blocked,0.31,68
Passes Blocked,0.31,1
Interceptions,0.31,1
Tkl+Int,2.05,9
Clearances,1.10,10
Errors,0.00,71
Touches,76.31,89
Touches (Def Pen),1.57,3
Touches (Def 3rd),11.17,3
Touches (Mid 3rd),44.21,97
Touches (Att 3rd),21.40,78
Touches (Att Pen),1.57,63
Touches (Live-Ball),76.31,89
Take-Ons Attempted,1.73,62
Successful Take-Ons,0.79,65
Successful Take-On %,45.5,58
Times Tackled During Take-On,0.31,11
Tackled During Take-On Percentage,18.2,99
Carries,54.91,97
Total Carrying Distance,286.05,97
Progressive Carrying Distance,146.80,94
Progressive Carries,3.30,88
Carries into Final Third,2.36,87
Carries into Penalty Area,0.79,91
Miscontrols,0.63,94
Dispossessed,1.42,3
Passes Received,61.52,97
Progressive Passes Rec,2.83,17
Yellow Cards,0.16,62
Red Cards,0.00,60
Second Yellow Card,0.00,54
Fouls Committed,1.26,29
Fouls Drawn,1.42,76
Offsides,0.00,89
Crosses,0.79,4
Interceptions,0.31,1
Tackles Won,1.26,59
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.00,66
Own Goals,0.00,55
Ball Recoveries,3.46,1
Aerials won,0.16,2
Aerials lost,0.16,99
% of Aerials Won,50.0,49
