Non-Penalty Goals,0.38,80
Non-Penalty xG,0.33,81
Shots Total,2.60,66
Assists,0.27,69
xAG,0.22,58
npxG + xAG,0.55,79
Shot-Creating Actions,4.85,85
Passes Attempted,52.97,90
Pass Completion %,83.3,91
Progressive Passes,3.71,46
Progressive Carries,3.75,69
Successful Take-Ons,1.41,50
Touches (Att Pen),5.96,88
Progressive Passes Rec,12.42,93
Tackles,1.22,44
Interceptions,0.27,18
Blocks,1.15,76
Clearances,0.15,11
Aerials won,0.34,38
Goals,0.46,84
Assists,0.27,69
Goals + Assists,0.73,83
Non-Penalty Goals,0.38,80
Penalty Kicks Made,0.08,80
Penalty Kicks Attempted,0.19,93
Yellow Cards,0.11,60
Red Cards,0.00,56
xG,0.48,96
Non-Penalty xG,0.33,81
xAG,0.22,58
npxG + xAG,0.55,79
Progressive Carries,3.75,69
Progressive Passes,3.71,46
Progressive Passes Rec,12.42,93
Goals,0.46,84
Shots Total,2.60,66
Shots on target,0.84,57
Shots on target %,32.4,32
Goals/Shot,0.15,72
Goals/Shot on target,0.45,90
Average Shot Distance,17.70,53
Shots from free kicks,0.23,84
Penalty Kicks Made,0.08,80
Penalty Kicks Attempted,0.19,93
xG,0.48,96
Non-Penalty xG,0.33,81
npxG/Sh,0.13,77
Goals - xG,-0.02,35
Non-Penalty Goals - npxG,0.05,64
Passes Completed,44.14,95
Passes Attempted,52.97,90
Pass Completion %,83.3,91
Total Passing Distance,741.78,94
Progressive Passing Distance,124.97,58
Passes Completed (Short),22.32,83
Passes Attempted (Short),24.76,79
Pass Completion % (Short),90.1,93
Passes Completed (Medium),17.04,99
Passes Attempted (Medium),19.83,99
Pass Completion % (Medium),85.9,90
Passes Completed (Long),4.05,86
Passes Attempted (Long),6.27,75
Pass Completion % (Long),64.6,82
Assists,0.27,69
xAG,0.22,58
Expected Assists,0.23,81
Key Passes,2.18,76
Passes into Final Third,1.68,34
Passes into Penalty Area,1.76,74
Crosses into Penalty Area,0.31,67
Progressive Passes,3.71,46
Passes Attempted,52.97,90
Live-ball passes,47.43,88
Dead-ball passes,5.47,86
Passes from Free Kicks,1.22,81
Through Balls,0.31,67
Switches,0.54,78
Crosses,4.24,74
Throw-Ins taken,1.45,99
Corner Kicks,2.79,85
Inswinging Corner Kicks,1.45,83
Outswinging Corner Kicks,0.50,71
Straight Corner Kicks,0.04,88
Passes Completed,44.14,95
Passes Offside,0.08,83
Passes Blocked,0.73,91
Shot-Creating Actions,4.85,85
SCA (PassLive),2.98,70
SCA (PassDead),0.73,78
SCA (TO),0.38,71
SCA (Sh),0.34,80
SCA (Fld),0.34,82
SCA (Def),0.08,77
Goal-Creating Actions,0.76,92
GCA (PassLive),0.50,86
GCA (PassDead),0.11,89
GCA (TO),0.04,53
GCA (Sh),0.08,84
GCA (Fld),0.00,22
GCA (Def),0.04,93
Tackles,1.22,44
Tackles Won,0.69,46
Tackles (Def 3rd),0.42,54
Tackles (Mid 3rd),0.38,29
Tackles (Att 3rd),0.42,83
Dribblers Tackled,0.65,74
Dribbles Challenged,1.83,83
% of dribblers tackled,35.4,34
Challenges Lost,1.18,15
Blocks,1.15,76
Shots Blocked,0.04,33
Passes Blocked,1.11,79
Interceptions,0.27,18
Tkl+Int,1.49,33
Clearances,0.15,11
Errors,0.00,59
Touches,63.78,89
Touches (Def Pen),0.46,31
Touches (Def 3rd),3.90,21
Touches (Mid 3rd),20.94,53
Touches (Att 3rd),39.55,99
Touches (Att Pen),5.96,88
Touches (Live-Ball),63.59,89
Take-Ons Attempted,3.13,45
Successful Take-Ons,1.41,50
Successful Take-On %,45.1,57
Times Tackled During Take-On,1.15,30
Tackled During Take-On Percentage,36.6,91
Carries,44.64,91
Total Carrying Distance,261.71,84
Progressive Carrying Distance,112.82,70
Progressive Carries,3.75,69
Carries into Final Third,2.52,75
Carries into Penalty Area,1.87,82
Miscontrols,1.76,83
Dispossessed,0.88,94
Passes Received,47.81,88
Progressive Passes Rec,12.42,93
Yellow Cards,0.11,60
Red Cards,0.00,56
Second Yellow Card,0.00,54
Fouls Committed,0.73,74
Fouls Drawn,1.57,57
Offsides,0.27,54
Crosses,4.24,74
Interceptions,0.27,18
Tackles Won,0.69,46
Penalty Kicks Won,0.04,68
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,4.24,38
Aerials won,0.34,38
Aerials lost,0.73,67
% of Aerials Won,32.1,50
