Non-Penalty Goals,0.14,79
Non-Penalty xG,0.13,81
Shots Total,1.66,85
Assists,0.12,71
xAG,0.10,61
npxG + xAG,0.23,73
Shot-Creating Actions,2.83,69
Passes Attempted,94.98,99
Pass Completion %,91.4,98
Progressive Passes,8.11,95
Progressive Carries,2.12,81
Successful Take-Ons,0.46,34
Touches (Att Pen),1.91,75
Progressive Passes Rec,1.11,27
Tackles,2.30,66
Interceptions,1.18,60
Blocks,1.11,39
Clearances,1.36,72
Aerials won,2.60,95
Goals,0.14,77
Assists,0.12,71
Goals + Assists,0.25,76
Non-Penalty Goals,0.14,79
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.12,84
Red Cards,0.00,58
xG,0.13,77
Non-Penalty xG,0.13,81
xAG,0.10,61
npxG + xAG,0.23,73
Progressive Carries,2.12,81
Progressive Passes,8.11,95
Progressive Passes Rec,1.11,27
Goals,0.14,77
Shots Total,1.66,85
Shots on target,0.37,65
Shots on target %,22.2,27
Goals/Shot,0.08,59
Goals/Shot on target,0.38,73
Average Shot Distance,18.10,75
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.13,77
Non-Penalty xG,0.13,81
npxG/Sh,0.08,63
Goals - xG,0.01,62
Non-Penalty Goals - npxG,0.01,62
Passes Completed,86.82,99
Passes Attempted,94.98,99
Pass Completion %,91.4,98
Total Passing Distance,1587.11,99
Progressive Passing Distance,380.60,97
Passes Completed (Short),36.44,99
Passes Attempted (Short),39.04,99
Pass Completion % (Short),93.3,92
Passes Completed (Medium),39.32,99
Passes Attempted (Medium),41.74,99
Pass Completion % (Medium),94.2,96
Passes Completed (Long),9.77,98
Passes Attempted (Long),11.80,95
Pass Completion % (Long),82.8,98
Assists,0.12,71
xAG,0.10,61
Expected Assists,0.11,67
Key Passes,0.92,50
Passes into Final Third,9.10,98
Passes into Penalty Area,0.94,71
Crosses into Penalty Area,0.05,31
Progressive Passes,8.11,95
Passes Attempted,94.98,99
Live-ball passes,93.43,99
Dead-ball passes,1.43,38
Passes from Free Kicks,1.22,55
Through Balls,0.09,37
Switches,0.81,81
Crosses,0.18,14
Throw-Ins taken,0.14,36
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,46
Passes Completed,86.82,99
Passes Offside,0.12,74
Passes Blocked,0.48,93
Shot-Creating Actions,2.83,69
SCA (PassLive),2.49,83
SCA (PassDead),0.05,53
SCA (TO),0.05,45
SCA (Sh),0.16,76
SCA (Fld),0.05,32
SCA (Def),0.05,50
Goal-Creating Actions,0.30,73
GCA (PassLive),0.30,85
GCA (PassDead),0.00,40
GCA (TO),0.00,41
GCA (Sh),0.00,36
GCA (Fld),0.00,38
GCA (Def),0.00,43
Tackles,2.30,66
Tackles Won,1.45,73
Tackles (Def 3rd),0.99,67
Tackles (Mid 3rd),1.04,58
Tackles (Att 3rd),0.28,58
Dribblers Tackled,1.11,77
Dribbles Challenged,1.80,45
% of dribblers tackled,61.5,90
Challenges Lost,0.69,80
Blocks,1.11,39
Shots Blocked,0.35,72
Passes Blocked,0.76,31
Interceptions,1.18,60
Tkl+Int,3.48,61
Clearances,1.36,72
Errors,0.02,42
Touches,104.73,99
Touches (Def Pen),3.34,86
Touches (Def 3rd),20.49,95
Touches (Mid 3rd),65.59,99
Touches (Att 3rd),19.34,84
Touches (Att Pen),1.91,75
Touches (Live-Ball),104.73,99
Take-Ons Attempted,0.67,17
Successful Take-Ons,0.46,34
Successful Take-On %,69.0,92
Times Tackled During Take-On,0.18,9
Tackled During Take-On Percentage,27.6,86
Carries,66.63,98
Total Carrying Distance,311.81,95
Progressive Carrying Distance,169.42,99
Progressive Carries,2.12,81
Carries into Final Third,2.07,86
Carries into Penalty Area,0.09,35
Miscontrols,0.58,97
Dispossessed,0.65,67
Passes Received,80.02,99
Progressive Passes Rec,1.11,27
Yellow Cards,0.12,84
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,1.31,53
Fouls Drawn,0.53,11
Offsides,0.05,45
Crosses,0.18,14
Interceptions,1.18,60
Tackles Won,1.45,73
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,9.40,99
Aerials won,2.60,95
Aerials lost,0.88,55
% of Aerials Won,74.8,99
