Non-Penalty Goals,0.04,57
Non-Penalty xG,0.12,98
Shots Total,0.79,88
Assists,0.04,78
xAG,0.03,69
npxG + xAG,0.15,97
Shot-Creating Actions,0.99,78
Passes Attempted,88.51,99
Pass Completion %,93.1,97
Progressive Passes,4.50,83
Progressive Carries,0.74,67
Successful Take-Ons,0.25,69
Touches (Att Pen),1.41,91
Progressive Passes Rec,0.08,20
Tackles,0.95,10
Interceptions,0.95,22
Blocks,0.95,19
Clearances,2.44,9
Aerials won,2.44,73
Goals,0.04,56
Assists,0.04,78
Goals + Assists,0.08,70
Non-Penalty Goals,0.04,57
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.08,91
Red Cards,0.00,63
xG,0.12,98
Non-Penalty xG,0.12,98
xAG,0.03,69
npxG + xAG,0.15,97
Progressive Carries,0.74,67
Progressive Passes,4.50,83
Progressive Passes Rec,0.08,20
Goals,0.04,56
Shots Total,0.79,88
Shots on target,0.29,92
Shots on target %,36.8,78
Goals/Shot,0.05,42
Goals/Shot on target,0.14,36
Average Shot Distance,9.80,79
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.12,98
Non-Penalty xG,0.12,98
npxG/Sh,0.16,90
Goals - xG,-0.08,2
Non-Penalty Goals - npxG,-0.08,2
Passes Completed,82.40,99
Passes Attempted,88.51,99
Pass Completion %,93.1,97
Total Passing Distance,1514.79,99
Progressive Passing Distance,506.65,98
Passes Completed (Short),30.25,98
Passes Attempted (Short),31.69,98
Pass Completion % (Short),95.4,97
Passes Completed (Medium),45.54,99
Passes Attempted (Medium),47.73,99
Pass Completion % (Medium),95.4,94
Passes Completed (Long),6.16,72
Passes Attempted (Long),7.89,41
Pass Completion % (Long),78.0,96
Assists,0.04,78
xAG,0.03,69
Expected Assists,0.02,53
Key Passes,0.25,60
Passes into Final Third,6.24,96
Passes into Penalty Area,0.00,4
Crosses into Penalty Area,0.00,28
Progressive Passes,4.50,83
Passes Attempted,88.51,99
Live-ball passes,86.45,99
Dead-ball passes,1.94,36
Passes from Free Kicks,1.36,36
Through Balls,0.00,23
Switches,0.37,40
Crosses,0.12,51
Throw-Ins taken,0.41,63
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,82.40,99
Passes Offside,0.12,48
Passes Blocked,0.12,93
Shot-Creating Actions,0.99,78
SCA (PassLive),0.74,69
SCA (PassDead),0.00,31
SCA (TO),0.04,87
SCA (Sh),0.21,97
SCA (Fld),0.00,35
SCA (Def),0.00,33
Goal-Creating Actions,0.17,91
GCA (PassLive),0.12,89
GCA (PassDead),0.00,48
GCA (TO),0.00,49
GCA (Sh),0.04,91
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,0.95,10
Tackles Won,0.58,17
Tackles (Def 3rd),0.50,8
Tackles (Mid 3rd),0.45,50
Tackles (Att 3rd),0.00,15
Dribblers Tackled,0.33,6
Dribbles Challenged,0.41,1
% of dribblers tackled,80.0,94
Challenges Lost,0.08,98
Blocks,0.95,19
Shots Blocked,0.45,16
Passes Blocked,0.50,49
Interceptions,0.95,22
Tkl+Int,1.90,13
Clearances,2.44,9
Errors,0.00,82
Touches,95.74,99
Touches (Def Pen),6.49,28
Touches (Def 3rd),32.48,58
Touches (Mid 3rd),58.84,99
Touches (Att 3rd),4.79,82
Touches (Att Pen),1.41,91
Touches (Live-Ball),95.74,99
Take-Ons Attempted,0.25,42
Successful Take-Ons,0.25,69
Successful Take-On %,100.0,92
Times Tackled During Take-On,0.00,11
Tackled During Take-On Percentage,0.0,89
Carries,63.84,98
Total Carrying Distance,329.63,95
Progressive Carrying Distance,199.26,97
Progressive Carries,0.74,67
Carries into Final Third,1.12,92
Carries into Penalty Area,0.08,88
Miscontrols,0.12,97
Dispossessed,0.08,78
Passes Received,76.03,99
Progressive Passes Rec,0.08,20
Yellow Cards,0.08,91
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,0.91,52
Fouls Drawn,0.29,18
Offsides,0.00,76
Crosses,0.12,51
Interceptions,0.95,22
Tackles Won,0.58,17
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.04,28
Own Goals,0.00,61
Ball Recoveries,4.55,17
Aerials won,2.44,73
Aerials lost,1.28,50
% of Aerials Won,65.6,73
