Non-Penalty Goals,0.00,21
Non-Penalty xG,0.12,96
Shots Total,0.94,92
Assists,0.13,99
xAG,0.09,99
npxG + xAG,0.22,99
Shot-Creating Actions,0.94,74
Passes Attempted,44.19,30
Pass Completion %,88.4,92
Progressive Passes,1.48,7
Progressive Carries,0.13,11
Successful Take-Ons,0.27,73
Touches (Att Pen),0.94,57
Progressive Passes Rec,0.40,77
Tackles,2.29,95
Interceptions,1.35,49
Blocks,0.81,11
Clearances,3.91,45
Aerials won,2.56,63
Goals,0.00,21
Assists,0.13,99
Goals + Assists,0.13,85
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.13,72
Red Cards,0.00,64
xG,0.12,96
Non-Penalty xG,0.12,96
xAG,0.09,99
npxG + xAG,0.22,99
Progressive Carries,0.13,11
Progressive Passes,1.48,7
Progressive Passes Rec,0.40,77
Goals,0.00,21
Shots Total,0.94,92
Shots on target,0.13,56
Shots on target %,14.3,19
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,10.60,69
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.12,96
Non-Penalty xG,0.12,96
npxG/Sh,0.13,81
Goals - xG,-0.12,1
Non-Penalty Goals - npxG,-0.12,1
Passes Completed,39.07,46
Passes Attempted,44.19,30
Pass Completion %,88.4,92
Total Passing Distance,725.93,32
Progressive Passing Distance,192.80,2
Passes Completed (Short),14.42,68
Passes Attempted (Short),15.09,60
Pass Completion % (Short),95.5,99
Passes Completed (Medium),21.42,49
Passes Attempted (Medium),23.04,40
Pass Completion % (Medium),93.0,85
Passes Completed (Long),2.96,6
Passes Attempted (Long),5.12,3
Pass Completion % (Long),57.9,48
Assists,0.13,99
xAG,0.09,99
Expected Assists,0.00,1
Key Passes,0.27,61
Passes into Final Third,1.89,24
Passes into Penalty Area,0.00,6
Crosses into Penalty Area,0.00,29
Progressive Passes,1.48,7
Passes Attempted,44.19,30
Live-ball passes,42.31,33
Dead-ball passes,1.75,32
Passes from Free Kicks,1.48,53
Through Balls,0.00,29
Switches,0.40,45
Crosses,0.00,10
Throw-Ins taken,0.27,48
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,39.07,46
Passes Offside,0.13,37
Passes Blocked,0.40,32
Shot-Creating Actions,0.94,74
SCA (PassLive),0.54,44
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.40,99
SCA (Fld),0.00,37
SCA (Def),0.00,34
Goal-Creating Actions,0.27,99
GCA (PassLive),0.00,17
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.27,99
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,2.29,95
Tackles Won,0.81,53
Tackles (Def 3rd),1.08,71
Tackles (Mid 3rd),1.21,99
Tackles (Att 3rd),0.00,21
Dribblers Tackled,0.54,30
Dribbles Challenged,0.67,14
% of dribblers tackled,80.0,95
Challenges Lost,0.13,96
Blocks,0.81,11
Shots Blocked,0.54,23
Passes Blocked,0.27,21
Interceptions,1.35,49
Tkl+Int,3.64,88
Clearances,3.91,45
Errors,0.00,75
Touches,54.16,29
Touches (Def Pen),6.87,35
Touches (Def 3rd),27.89,30
Touches (Mid 3rd),25.06,46
Touches (Att 3rd),1.48,19
Touches (Att Pen),0.94,57
Touches (Live-Ball),54.16,29
Take-Ons Attempted,0.40,69
Successful Take-Ons,0.27,73
Successful Take-On %,66.7,58
Times Tackled During Take-On,0.13,72
Tackled During Take-On Percentage,33.3,45
Carries,34.76,67
Total Carrying Distance,157.23,52
Progressive Carrying Distance,68.58,25
Progressive Carries,0.13,11
Carries into Final Third,0.27,40
Carries into Penalty Area,0.00,25
Miscontrols,0.13,96
Dispossessed,0.00,94
Passes Received,34.76,47
Progressive Passes Rec,0.40,77
Yellow Cards,0.13,72
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.54,88
Fouls Drawn,0.54,56
Offsides,0.13,5
Crosses,0.00,10
Interceptions,1.35,49
Tackles Won,0.81,53
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.00,60
Ball Recoveries,4.58,28
Aerials won,2.56,63
Aerials lost,1.75,34
% of Aerials Won,59.4,45
