Non-Penalty Goals,0.54,98
Non-Penalty xG,0.29,81
Shots Total,2.53,65
Assists,0.36,94
xAG,0.18,49
npxG + xAG,0.47,77
Shot-Creating Actions,5.05,84
Passes Attempted,38.96,60
Pass Completion %,75.0,56
Progressive Passes,3.79,48
Progressive Carries,5.59,99
Successful Take-Ons,1.44,54
Touches (Att Pen),5.95,97
Progressive Passes Rec,9.74,88
Tackles,1.44,56
Interceptions,0.18,4
Blocks,0.90,55
Clearances,0.90,84
Aerials won,1.44,88
Goals,0.54,96
Assists,0.36,94
Goals + Assists,0.90,98
Non-Penalty Goals,0.54,98
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.36,5
Red Cards,0.00,59
xG,0.29,72
Non-Penalty xG,0.29,81
xAG,0.18,49
npxG + xAG,0.47,77
Progressive Carries,5.59,99
Progressive Passes,3.79,48
Progressive Passes Rec,9.74,88
Goals,0.54,96
Shots Total,2.53,65
Shots on target,1.08,91
Shots on target %,42.9,86
Goals/Shot,0.21,96
Goals/Shot on target,0.50,93
Average Shot Distance,14.80,92
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.29,72
Non-Penalty xG,0.29,81
npxG/Sh,0.11,66
Goals - xG,0.25,99
Non-Penalty Goals - npxG,0.25,99
Passes Completed,29.22,63
Passes Attempted,38.96,60
Pass Completion %,75.0,56
Total Passing Distance,500.68,69
Progressive Passing Distance,105.51,45
Passes Completed (Short),15.15,59
Passes Attempted (Short),17.68,58
Pass Completion % (Short),85.7,59
Passes Completed (Medium),10.10,64
Passes Attempted (Medium),13.53,66
Pass Completion % (Medium),74.7,38
Passes Completed (Long),3.61,78
Passes Attempted (Long),4.87,54
Pass Completion % (Long),74.1,99
Assists,0.36,94
xAG,0.18,49
Expected Assists,0.18,49
Key Passes,1.98,63
Passes into Final Third,2.16,48
Passes into Penalty Area,1.98,82
Crosses into Penalty Area,1.08,98
Progressive Passes,3.79,48
Passes Attempted,38.96,60
Live-ball passes,37.70,71
Dead-ball passes,1.08,26
Passes from Free Kicks,0.36,43
Through Balls,0.00,2
Switches,0.54,79
Crosses,3.79,59
Throw-Ins taken,0.54,52
Corner Kicks,0.00,9
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,18
Straight Corner Kicks,0.00,38
Passes Completed,29.22,63
Passes Offside,0.18,45
Passes Blocked,1.44,14
Shot-Creating Actions,5.05,84
SCA (PassLive),3.97,93
SCA (PassDead),0.00,11
SCA (TO),0.18,35
SCA (Sh),0.36,85
SCA (Fld),0.54,93
SCA (Def),0.00,20
Goal-Creating Actions,1.62,99
GCA (PassLive),1.08,99
GCA (PassDead),0.00,29
GCA (TO),0.18,98
GCA (Sh),0.00,21
GCA (Fld),0.36,99
GCA (Def),0.00,46
Tackles,1.44,56
Tackles Won,0.36,7
Tackles (Def 3rd),0.18,13
Tackles (Mid 3rd),0.54,48
Tackles (Att 3rd),0.72,99
Dribblers Tackled,0.36,24
Dribbles Challenged,0.72,7
% of dribblers tackled,50.0,85
Challenges Lost,0.36,93
Blocks,0.90,55
Shots Blocked,0.00,9
Passes Blocked,0.90,66
Interceptions,0.18,4
Tkl+Int,1.62,40
Clearances,0.90,84
Errors,0.00,54
Touches,50.50,59
Touches (Def Pen),0.36,15
Touches (Def 3rd),4.69,35
Touches (Mid 3rd),20.20,52
Touches (Att 3rd),25.97,66
Touches (Att Pen),5.95,97
Touches (Live-Ball),50.50,59
Take-Ons Attempted,1.98,21
Successful Take-Ons,1.44,54
Successful Take-On %,72.7,99
Times Tackled During Take-On,0.54,6
Tackled During Take-On Percentage,27.3,98
Carries,32.28,60
Total Carrying Distance,225.81,73
Progressive Carrying Distance,118.68,79
Progressive Carries,5.59,99
Carries into Final Third,2.16,59
Carries into Penalty Area,2.16,98
Miscontrols,2.89,18
Dispossessed,0.90,90
Passes Received,35.17,56
Progressive Passes Rec,9.74,88
Yellow Cards,0.36,5
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.08,43
Fouls Drawn,1.98,67
Offsides,0.90,2
Crosses,3.79,59
Interceptions,0.18,4
Tackles Won,0.36,7
Penalty Kicks Won,0.36,99
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,5.05,67
Aerials won,1.44,88
Aerials lost,2.16,9
% of Aerials Won,40.0,66
