Non-Penalty Goals,0.08,65
Non-Penalty xG,0.13,82
Shots Total,1.31,73
Assists,0.08,58
xAG,0.07,47
npxG + xAG,0.19,66
Shot-Creating Actions,2.50,60
Passes Attempted,44.39,40
Pass Completion %,82.2,56
Progressive Passes,4.38,37
Progressive Carries,1.17,53
Successful Take-Ons,0.76,61
Touches (Att Pen),0.90,49
Progressive Passes Rec,1.17,35
Tackles,2.15,56
Interceptions,0.98,43
Blocks,1.03,42
Clearances,1.17,58
Aerials won,0.63,29
Goals,0.08,63
Assists,0.08,58
Goals + Assists,0.16,61
Non-Penalty Goals,0.08,65
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.16,69
Red Cards,0.05,7
xG,0.13,80
Non-Penalty xG,0.13,82
xAG,0.07,47
npxG + xAG,0.19,66
Progressive Carries,1.17,53
Progressive Passes,4.38,37
Progressive Passes Rec,1.17,35
Goals,0.08,63
Shots Total,1.31,73
Shots on target,0.44,78
Shots on target %,33.3,73
Goals/Shot,0.06,53
Goals/Shot on target,0.19,45
Average Shot Distance,21.80,53
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.13,80
Non-Penalty xG,0.13,82
npxG/Sh,0.10,85
Goals - xG,-0.04,15
Non-Penalty Goals - npxG,-0.04,15
Passes Completed,36.50,41
Passes Attempted,44.39,40
Pass Completion %,82.2,56
Total Passing Distance,702.02,55
Progressive Passing Distance,172.57,34
Passes Completed (Short),13.54,21
Passes Attempted (Short),15.48,18
Pass Completion % (Short),87.5,45
Passes Completed (Medium),17.49,63
Passes Attempted (Medium),19.83,61
Pass Completion % (Medium),88.2,63
Passes Completed (Long),4.71,65
Passes Attempted (Long),7.21,62
Pass Completion % (Long),65.3,55
Assists,0.08,58
xAG,0.07,47
Expected Assists,0.05,30
Key Passes,0.84,48
Passes into Final Third,4.22,50
Passes into Penalty Area,0.46,31
Crosses into Penalty Area,0.11,53
Progressive Passes,4.38,37
Passes Attempted,44.39,40
Live-ball passes,43.16,45
Dead-ball passes,1.14,22
Passes from Free Kicks,1.01,40
Through Balls,0.22,82
Switches,0.38,46
Crosses,0.49,39
Throw-Ins taken,0.11,20
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,36.50,41
Passes Offside,0.08,74
Passes Blocked,0.60,71
Shot-Creating Actions,2.50,60
SCA (PassLive),1.93,64
SCA (PassDead),0.05,47
SCA (TO),0.19,90
SCA (Sh),0.11,60
SCA (Fld),0.16,83
SCA (Def),0.05,57
Goal-Creating Actions,0.22,57
GCA (PassLive),0.16,60
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.03,80
GCA (Def),0.03,87
Tackles,2.15,56
Tackles Won,1.28,61
Tackles (Def 3rd),0.95,65
Tackles (Mid 3rd),1.01,56
Tackles (Att 3rd),0.19,46
Dribblers Tackled,1.06,67
Dribbles Challenged,2.15,60
% of dribblers tackled,49.4,62
Challenges Lost,1.09,44
Blocks,1.03,42
Shots Blocked,0.22,45
Passes Blocked,0.82,48
Interceptions,0.98,43
Tkl+Int,3.13,52
Clearances,1.17,58
Errors,0.00,67
Touches,54.18,41
Touches (Def Pen),1.93,45
Touches (Def 3rd),11.61,45
Touches (Mid 3rd),34.90,55
Touches (Att 3rd),8.35,26
Touches (Att Pen),0.90,49
Touches (Live-Ball),54.18,41
Take-Ons Attempted,1.47,62
Successful Take-Ons,0.76,61
Successful Take-On %,51.9,48
Times Tackled During Take-On,0.63,66
Tackled During Take-On Percentage,42.6,41
Carries,30.22,47
Total Carrying Distance,158.49,59
Progressive Carrying Distance,69.52,52
Progressive Carries,1.17,53
Carries into Final Third,0.95,36
Carries into Penalty Area,0.14,52
Miscontrols,1.01,70
Dispossessed,0.65,63
Passes Received,34.73,41
Progressive Passes Rec,1.17,35
Yellow Cards,0.16,69
Red Cards,0.05,7
Second Yellow Card,0.00,57
Fouls Committed,1.44,41
Fouls Drawn,0.63,20
Offsides,0.05,31
Crosses,0.49,39
Interceptions,0.98,43
Tackles Won,1.28,61
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.03,20
Own Goals,0.00,52
Ball Recoveries,6.58,60
Aerials won,0.63,29
Aerials lost,0.98,50
% of Aerials Won,39.0,23
