Non-Penalty Goals,0.20,54
Non-Penalty xG,0.25,74
Shots Total,2.18,54
Assists,0.28,82
xAG,0.22,68
npxG + xAG,0.47,75
Shot-Creating Actions,4.76,78
Passes Attempted,36.85,54
Pass Completion %,74.8,55
Progressive Passes,5.21,74
Progressive Carries,4.94,95
Successful Take-Ons,1.87,72
Touches (Att Pen),4.45,80
Progressive Passes Rec,9.49,85
Tackles,0.46,2
Interceptions,0.71,82
Blocks,0.66,25
Clearances,0.28,20
Aerials won,0.18,12
Goals,0.20,46
Assists,0.28,82
Goals + Assists,0.48,58
Non-Penalty Goals,0.20,54
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.05,92
Red Cards,0.00,59
xG,0.25,57
Non-Penalty xG,0.25,74
xAG,0.22,68
npxG + xAG,0.47,75
Progressive Carries,4.94,95
Progressive Passes,5.21,74
Progressive Passes Rec,9.49,85
Goals,0.20,46
Shots Total,2.18,54
Shots on target,0.78,58
Shots on target %,36.0,61
Goals/Shot,0.09,46
Goals/Shot on target,0.26,46
Average Shot Distance,17.60,67
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.25,57
Non-Penalty xG,0.25,74
npxG/Sh,0.11,66
Goals - xG,-0.04,36
Non-Penalty Goals - npxG,-0.04,36
Passes Completed,27.56,57
Passes Attempted,36.85,54
Pass Completion %,74.8,55
Total Passing Distance,473.56,63
Progressive Passing Distance,139.71,65
Passes Completed (Short),13.24,43
Passes Attempted (Short),15.87,46
Pass Completion % (Short),83.4,32
Passes Completed (Medium),10.55,68
Passes Attempted (Medium),13.36,66
Pass Completion % (Medium),79.0,65
Passes Completed (Long),2.73,62
Passes Attempted (Long),4.35,47
Pass Completion % (Long),62.8,91
Assists,0.28,82
xAG,0.22,68
Expected Assists,0.23,75
Key Passes,2.15,73
Passes into Final Third,2.68,63
Passes into Penalty Area,2.15,86
Crosses into Penalty Area,0.28,46
Progressive Passes,5.21,74
Passes Attempted,36.85,54
Live-ball passes,34.22,56
Dead-ball passes,2.13,45
Passes from Free Kicks,0.51,52
Through Balls,0.13,33
Switches,0.73,90
Crosses,2.56,43
Throw-Ins taken,1.14,85
Corner Kicks,0.43,39
Inswinging Corner Kicks,0.13,38
Outswinging Corner Kicks,0.15,46
Straight Corner Kicks,0.00,38
Passes Completed,27.56,57
Passes Offside,0.51,4
Passes Blocked,1.09,47
Shot-Creating Actions,4.76,78
SCA (PassLive),3.70,90
SCA (PassDead),0.20,45
SCA (TO),0.20,41
SCA (Sh),0.23,49
SCA (Fld),0.40,86
SCA (Def),0.03,41
Goal-Creating Actions,0.68,89
GCA (PassLive),0.63,97
GCA (PassDead),0.00,29
GCA (TO),0.00,25
GCA (Sh),0.03,44
GCA (Fld),0.03,54
GCA (Def),0.00,46
Tackles,0.46,2
Tackles Won,0.20,3
Tackles (Def 3rd),0.13,4
Tackles (Mid 3rd),0.20,4
Tackles (Att 3rd),0.13,15
Dribblers Tackled,0.23,5
Dribbles Challenged,0.58,3
% of dribblers tackled,39.1,52
Challenges Lost,0.35,93
Blocks,0.66,25
Shots Blocked,0.05,33
Passes Blocked,0.61,29
Interceptions,0.71,82
Tkl+Int,1.16,14
Clearances,0.28,20
Errors,0.00,54
Touches,47.18,47
Touches (Def Pen),0.33,13
Touches (Def 3rd),4.05,18
Touches (Mid 3rd),18.60,44
Touches (Att 3rd),25.23,64
Touches (Att Pen),4.45,80
Touches (Live-Ball),47.18,48
Take-Ons Attempted,4.07,71
Successful Take-Ons,1.87,72
Successful Take-On %,46.0,50
Times Tackled During Take-On,1.87,72
Tackled During Take-On Percentage,46.0,52
Carries,31.08,53
Total Carrying Distance,229.23,75
Progressive Carrying Distance,132.01,91
Progressive Carries,4.94,95
Carries into Final Third,2.71,75
Carries into Penalty Area,1.77,93
Miscontrols,1.77,84
Dispossessed,0.84,93
Passes Received,34.37,50
Progressive Passes Rec,9.49,85
Yellow Cards,0.05,92
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,0.58,90
Fouls Drawn,1.97,67
Offsides,0.18,61
Crosses,2.56,43
Interceptions,0.71,82
Tackles Won,0.20,3
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,4.88,61
Aerials won,0.18,12
Aerials lost,0.71,72
% of Aerials Won,20.0,13
