Non-Penalty Goals,0.09,71
Non-Penalty xG,0.15,89
Shots Total,2.19,95
Assists,0.09,61
xAG,0.10,65
npxG + xAG,0.25,81
Shot-Creating Actions,4.19,94
Passes Attempted,47.64,54
Pass Completion %,76.5,23
Progressive Passes,6.10,76
Progressive Carries,2.46,94
Successful Take-Ons,1.64,97
Touches (Att Pen),2.92,95
Progressive Passes Rec,5.56,96
Tackles,1.82,40
Interceptions,1.18,60
Blocks,1.28,70
Clearances,0.36,3
Aerials won,1.37,80
Goals,0.09,69
Assists,0.09,61
Goals + Assists,0.18,65
Non-Penalty Goals,0.09,71
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.46,5
Red Cards,0.00,62
xG,0.15,86
Non-Penalty xG,0.15,89
xAG,0.10,65
npxG + xAG,0.25,81
Progressive Carries,2.46,94
Progressive Passes,6.10,76
Progressive Passes Rec,5.56,96
Goals,0.09,69
Shots Total,2.19,95
Shots on target,0.64,93
Shots on target %,29.2,61
Goals/Shot,0.04,40
Goals/Shot on target,0.14,37
Average Shot Distance,20.10,67
Shots from free kicks,0.09,81
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.15,86
Non-Penalty xG,0.15,89
npxG/Sh,0.07,60
Goals - xG,-0.05,13
Non-Penalty Goals - npxG,-0.05,11
Passes Completed,36.44,41
Passes Attempted,47.64,54
Pass Completion %,76.5,23
Total Passing Distance,641.30,43
Progressive Passing Distance,178.18,37
Passes Completed (Short),16.94,49
Passes Attempted (Short),18.86,44
Pass Completion % (Short),89.9,69
Passes Completed (Medium),14.12,34
Passes Attempted (Medium),17.22,38
Pass Completion % (Medium),82.0,24
Passes Completed (Long),4.01,49
Passes Attempted (Long),8.02,72
Pass Completion % (Long),50.0,13
Assists,0.09,61
xAG,0.10,65
Expected Assists,0.09,60
Key Passes,1.73,87
Passes into Final Third,4.19,50
Passes into Penalty Area,1.37,90
Crosses into Penalty Area,0.36,92
Progressive Passes,6.10,76
Passes Attempted,47.64,54
Live-ball passes,43.00,44
Dead-ball passes,3.83,76
Passes from Free Kicks,1.09,45
Through Balls,0.09,50
Switches,0.36,43
Crosses,3.01,81
Throw-Ins taken,0.82,87
Corner Kicks,1.73,81
Inswinging Corner Kicks,0.18,68
Outswinging Corner Kicks,1.37,94
Straight Corner Kicks,0.00,42
Passes Completed,36.44,41
Passes Offside,0.82,1
Passes Blocked,0.73,52
Shot-Creating Actions,4.19,94
SCA (PassLive),2.64,91
SCA (PassDead),0.64,81
SCA (TO),0.46,99
SCA (Sh),0.36,99
SCA (Fld),0.09,60
SCA (Def),0.00,15
Goal-Creating Actions,0.36,83
GCA (PassLive),0.36,95
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.82,40
Tackles Won,1.09,46
Tackles (Def 3rd),0.46,11
Tackles (Mid 3rd),1.18,72
Tackles (Att 3rd),0.18,44
Dribblers Tackled,0.55,13
Dribbles Challenged,2.46,73
% of dribblers tackled,22.2,1
Challenges Lost,1.91,3
Blocks,1.28,70
Shots Blocked,0.18,34
Passes Blocked,1.09,82
Interceptions,1.18,60
Tkl+Int,3.01,46
Clearances,0.36,3
Errors,0.00,67
Touches,60.85,64
Touches (Def Pen),1.55,29
Touches (Def 3rd),9.11,21
Touches (Mid 3rd),32.06,43
Touches (Att 3rd),19.95,89
Touches (Att Pen),2.92,95
Touches (Live-Ball),60.85,65
Take-Ons Attempted,2.92,96
Successful Take-Ons,1.64,97
Successful Take-On %,56.3,60
Times Tackled During Take-On,1.18,93
Tackled During Take-On Percentage,40.6,48
Carries,34.89,72
Total Carrying Distance,177.72,72
Progressive Carrying Distance,89.54,76
Progressive Carries,2.46,94
Carries into Final Third,1.28,60
Carries into Penalty Area,0.73,97
Miscontrols,2.00,11
Dispossessed,1.73,1
Passes Received,38.81,60
Progressive Passes Rec,5.56,96
Yellow Cards,0.46,5
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,2.19,7
Fouls Drawn,1.28,65
Offsides,0.36,1
Crosses,3.01,81
Interceptions,1.18,60
Tackles Won,1.09,46
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,5.83,34
Aerials won,1.37,80
Aerials lost,2.10,2
% of Aerials Won,39.5,25
