Non-Penalty Goals,0.13,84
Non-Penalty xG,0.14,86
Shots Total,2.73,98
Assists,0.13,76
xAG,0.12,78
npxG + xAG,0.26,83
Shot-Creating Actions,5.32,99
Passes Attempted,61.77,87
Pass Completion %,81.0,47
Progressive Passes,7.66,92
Progressive Carries,2.47,94
Successful Take-Ons,0.84,66
Touches (Att Pen),0.91,49
Progressive Passes Rec,3.63,85
Tackles,1.82,40
Interceptions,1.10,54
Blocks,1.04,43
Clearances,1.23,65
Aerials won,1.88,92
Goals,0.13,81
Assists,0.13,76
Goals + Assists,0.26,80
Non-Penalty Goals,0.13,84
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.32,27
Red Cards,0.06,2
xG,0.14,84
Non-Penalty xG,0.14,86
xAG,0.12,78
npxG + xAG,0.26,83
Progressive Carries,2.47,94
Progressive Passes,7.66,92
Progressive Passes Rec,3.63,85
Goals,0.13,81
Shots Total,2.73,98
Shots on target,0.84,97
Shots on target %,31.0,67
Goals/Shot,0.05,46
Goals/Shot on target,0.15,39
Average Shot Distance,25.60,21
Shots from free kicks,0.45,98
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.14,84
Non-Penalty xG,0.14,86
npxG/Sh,0.05,30
Goals - xG,-0.01,54
Non-Penalty Goals - npxG,-0.01,54
Passes Completed,50.03,83
Passes Attempted,61.77,87
Pass Completion %,81.0,47
Total Passing Distance,1030.43,93
Progressive Passing Distance,290.31,84
Passes Completed (Short),17.52,56
Passes Attempted (Short),19.99,57
Pass Completion % (Short),87.7,47
Passes Completed (Medium),22.78,88
Passes Attempted (Medium),26.02,90
Pass Completion % (Medium),87.5,55
Passes Completed (Long),9.02,98
Passes Attempted (Long),13.50,97
Pass Completion % (Long),66.8,60
Assists,0.13,76
xAG,0.12,78
Expected Assists,0.14,81
Key Passes,1.56,82
Passes into Final Third,7.72,96
Passes into Penalty Area,0.97,78
Crosses into Penalty Area,0.45,97
Progressive Passes,7.66,92
Passes Attempted,61.77,87
Live-ball passes,57.43,86
Dead-ball passes,4.09,77
Passes from Free Kicks,2.14,82
Through Balls,0.06,38
Switches,1.36,97
Crosses,3.89,88
Throw-Ins taken,0.19,41
Corner Kicks,1.75,81
Inswinging Corner Kicks,0.52,77
Outswinging Corner Kicks,0.91,89
Straight Corner Kicks,0.06,94
Passes Completed,50.03,83
Passes Offside,0.26,17
Passes Blocked,0.91,28
Shot-Creating Actions,5.32,99
SCA (PassLive),4.22,99
SCA (PassDead),0.58,80
SCA (TO),0.00,17
SCA (Sh),0.19,84
SCA (Fld),0.32,96
SCA (Def),0.00,15
Goal-Creating Actions,0.45,92
GCA (PassLive),0.32,90
GCA (PassDead),0.13,97
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.82,40
Tackles Won,1.30,62
Tackles (Def 3rd),0.78,45
Tackles (Mid 3rd),0.97,53
Tackles (Att 3rd),0.06,7
Dribblers Tackled,0.71,31
Dribbles Challenged,1.56,26
% of dribblers tackled,45.8,50
Challenges Lost,0.84,72
Blocks,1.04,43
Shots Blocked,0.06,5
Passes Blocked,0.97,68
Interceptions,1.10,54
Tkl+Int,2.92,42
Clearances,1.23,65
Errors,0.00,67
Touches,73.97,90
Touches (Def Pen),1.95,46
Touches (Def 3rd),11.68,46
Touches (Mid 3rd),44.25,87
Touches (Att 3rd),18.95,87
Touches (Att Pen),0.91,49
Touches (Live-Ball),73.97,90
Take-Ons Attempted,1.69,73
Successful Take-Ons,0.84,66
Successful Take-On %,50.0,42
Times Tackled During Take-On,0.78,77
Tackled During Take-On Percentage,46.2,30
Carries,44.77,91
Total Carrying Distance,278.50,97
Progressive Carrying Distance,155.67,98
Progressive Carries,2.47,94
Carries into Final Third,2.53,99
Carries into Penalty Area,0.06,30
Miscontrols,1.69,22
Dispossessed,0.97,27
Passes Received,51.98,92
Progressive Passes Rec,3.63,85
Yellow Cards,0.32,27
Red Cards,0.06,2
Second Yellow Card,0.00,57
Fouls Committed,1.30,52
Fouls Drawn,1.75,87
Offsides,0.06,23
Crosses,3.89,88
Interceptions,1.10,54
Tackles Won,1.30,62
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,6.55,58
Aerials won,1.88,92
Aerials lost,1.36,21
% of Aerials Won,58.0,83
